Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors
23 Jan 2025,Infra.Market,Ecommerce,B2B Ecommerce,B2B,$121 Mn,Series F,"Tiger Global, Foundamental GmbH, Evolvence, Nikhil Kamath, Ashish Kacholia, Abhijit Pai, Sumeet Kanwar, Nuvama, Capri Global"
22 Jan 2025,Namdev Finvest,Fintech,Lendingtech,B2B-B2C,$38 Mn,Debt,"Developing World Markets, BlueOrchard, Mirova"
23 Jan 2025,Arya.ag,Agritech,Market Linkage,B2B,$30 Mn,Debt,HSBC
23 Jan 2025,Ati Motors,Deeptech,Robotics,B2B,$20 Mn,Series B,"Walden Catalyst Ventures, NGP Capital, True Ventures, Exfinity Venture Partners, Athera Venture Partners, Blume Ventures"
23 Jan 2025,ArisInfra,Ecommerce,B2B Ecommerce,B2B,$9.3 Mn,–,"Vanaja Sundar Iyer, Mukul Mahavir Agrawal, Rishabh Bharatbhai Bagdia"
22 Jan 2025,DeConstruct,Ecommerce,D2C,B2C,$7.5 Mn,–,"BOLD, V3 Ventures, DSG Consumer Partners, Kalaari Capital, BEENEXT"
23 Jan 2025,VuNet,Enterprisetech,Horizontal SaaS,B2B,$6.9 Mn,Series B,"Pravega Ventures, Mela Ventures, Athera Venture Partners, Dallas Venture Capital, TVS Capital Funds"
24 Jan 2025,Medusa,Alcoholic Beverage,–,B2C,$6.5 Mn,Series A,"Amal N Parikh, Ashwin Kedia, Ramesh Damani, Crest Opportunities"
21 Jan 2025,Snabbit,Consumer Services,Hyperlocal Services,B2C,$5.5 Mn,Series A,"Elevation Capital, Nexus Venture Partners, Vidit Aatrey, Sanjeev Barnwal, Gaurav Munjal, Niraj Singh"
23 Jan 2025,Landeed,Real Estate Tech,Real Estate SaaS,B2B,$5 Mn,–,"10x Founders Fund, Oliver Jung, Paradigm Shift, Pioneer Fund, Jeffrey Epstein, Aaron King"
20 Jan 2025,KisanKonnect,Agritech,Market Linkage,B2B-B2C,$4.5 Mn,Series A,"Mistry Ventures, Brand Capital, VC-Grid, Vishwang Desai, Shilpa Shetty"
24 Jan 2025,CapGrid,Enterprisetech,Vertical SaaS,B2B,$3.3 Mn,Series A,"Anicut Capital, Nexus Ventures, Axilor Ventures"
20 Jan 2025,Burma Burma,Consumer Services,Hyperlocal Delivery,B2C,$3 Mn,–,"Negen Capital, NV Alpha Fund Management"
24 Jan 2025,Pipeshift,Enterprisetech,Horizontal SaaS,B2B,$2.5 Mn,Seed,"Y Combinator, SenseAI Ventures, Arka Venture Labs, Good News Ventures, Nivesha Ventures, Astir VC, GradCapital, MyAsiaVC, Kulveer Taggar, Umur Cubukcu, Krishna Mehra"
22 Jan 2025,Zeelab Pharmacy,Healthtech,Online Pharmacy,B2C,$2.4 Mn,–,OTP Ventures
20 Jan 2025,ProcureYard,Ecommerce,B2B Ecommerce,B2B,$1.7 Mn,Seed,"Powerhouse Ventures, Java Capital, 2am VC, Abhishek Goyal, Rajesh Sawhney"
20 Jan 2025,Catalyx Space,Deeptech,Spacetech,B2B,$1.7 Mn,pre-Seed,"HF0 Residency, Founders, Inc."
21 Jan 2025,Workie,Real Estate Tech,Shared Spaces,B2B,$1.5 Mn,–,"Sunil Singhania family office, NAV Capital, Raman Roy, Dharmendra Jain, Gaurav Singhvi, Sunil Singhvi"
22 Jan 2025,Cancrie,Cleantech,Waste Management,B2B,$1.2 Mn,Seed,"Roots Ventures, Foundation Botnar, Sagana"
22 Jan 2025,Raaz,Healthtech,Telemedicine,B2C,$1 Mn,pre-Seed,"Fireside Venture, Campus Fund, Altaf Saiyed, Raymond Russell, Vaibhav Domkundwar, Shreyas Kumar, Bhargav Tarpara"
21 Jan 2025,Chelvies Coffee,Consumer Services,Hyperlocal Delivery,B2C,$1 Mn,–,Endurance Capital
20 Jan 2025,Prantae Solutions,Healthtech,Medtech,B2B,$580K,Seed,"IAN Group, IAN Alpha Fund, Samir Kalia, Deepank Kumar, Nitin Zamre"
22 Jan 2025,Exsure,Healthtech,Healthcare Services,B2C,$348K,Seed,Unicorn India Ventures
23 Jan 2025,Dream Aerospace,Deeptech,Spacetech,B2B,$348K,pre-Seed,Inflection Point Ventures
23 Jan 2025,SVASTEK,Healthtech,Medtech,B2C,$232K,pre-Seed,IAN Angel Fund
21 Jan 2025,JoySpoon,Ecommerce,D2C,B2C,$210K,Seed,"Dishit Nathwani, Prateek Toshniwal, Abhinav Jain, Ankit Jain"
22 Jan 2025,Spare8,Fintech,Investment Tech,B2C,–,–,"Param Agrawal, Rajiv Shastri"
