Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
29 Jan 2025,Leap,Edtech,–,B2C,$65 Mn*,Series E,"Apis Partners, Owl Ventures, Jungle Ventures, Peak XV Partners",Apis Partners
28 Jan 2025,Atomicwork,Enterprisetech,Horizontal SaaS,B2B,$25 Mn,Series A,"Khosla Ventures, Z47 Partners, Battery Ventures, Peak XV Partners","Khosla Ventures, Z47 Partners"
30 Jan 2025,SuperOps,Enterprisetech,Horizontal SaaS,B2B,$25 Mn,Series C,"March Capital, Addition, Z47",March Capital
28 Jan 2025,Innov8,Real Estate Tech,Shared Spaces,B2B,$12.7 Mn,–,"Mankind Pharma, Gauri Khan, Rupa Group, Jagruti Dalmia",–
27 Jan 2025,Emiza,Logistics,Ecommerce Logistics,B2B,$12 Mn,Series C,"Evolvence India, Mirabilis Investment Trust","Evolvence India, Mirabilis Investment Trust"
27 Jan 2025,Astrome,Deeptech,Spacetech,B2B,$10 Mn,–,"Apollo Global Management, IAN Group",Apollo Global Management
27 Jan 2025,VoltUp,Cleantech,Electric Vehicles,B2C,$8 Mn,Seed,EM Impact Capital,EM Impact Capital
28 Jan 2025,Ambak,Fintech,Lending Tech,B2C,$7 Mn,pre-Series A,"Peak XV, Advantage VC, DeVC",Peak XV
30 Jan 2025,GrowXCD Finance,Fintech,Lending Tech,B2C,$5.7 Mn,–,"Lok Capital, UC Impower",–
28 Jan 2025,Bizloan,Fintech,Lending Tech,B2C,$4.2 Mn,Series A,"Michael & Susan Dell Foundation, BLinC Invest","Michael & Susan Dell Foundation, BLinC Invest"
28 Jan 2025,Whizzo,Deeptech,–,B2B,$4.2 Mn,Seed,"Lightspeed, BEENEXT",Lightspeed
29 Jan 2025,Gallabox,Enterprisetech,Horizontal SaaS,B2B,$3.5 Mn,Seed,"FUSE, Prime Venture Partners, Neon Fund",FUSE
30 Jan 2025,Salad Days,Consumer Services,Hyperlocal Delivery,B2C,$3.4 Mn,Series A,"V3 Ventures, Client Associates Alternate Fund","V3 Ventures, Client Associates Alternate Fund"
30 Jan 2025,CHK,Ecommerce,D2C,B2C,$2.5 Mn*,Seed,Accel,Accel
28 Jan 2025,Metashot,Media & Entertainment,Gaming,B2C,$1.2 Mn,Seed,"Sauce.vc, Sharrp Ventures, Panthera Peak Capital",Sauce.vc
30 Jan 2025,BonV,Deeptech,Dronetech,B2B,$1.2 Mn*,pre-Series A,Unicorn Indian Ventures,Unicorn Indian Ventures
28 Jan 2025,Origin Fresh,Ecommerce,D2C,B2C,$1 Mn,pre-Seed,Aeravti Ventures,Aeravti Ventures
27 Jan 2025,Indulge Global,Consumer Services,Hyperlocal Services,B2C,$1 Mn,–,"Gautham Pai, Nikhil Shettar",–
29 Jan 2025,shoppin’,Consumer Services,Hyperlocal Services,B2C,$1 Mn,pre-Seed,Info Edge Ventures,Info Edge Ventures
28 Jan 2025,ThinkMetal,Deeptech,IoT & Hardware,B2B,$800K,pre-Series A,"YourNest Venture Capital, Concept Communications, Sanchi Connect",YourNest Venture Capital
30 Jan 2025,Utsav App,Consumer Services,–,B2C,$733K,pre-Series A,"Equanimity Investments, India Quotient",Equanimity Investments
28 Jan 2025,MedMitra AI,Healthtech,Healthcare SaaS,B2B,$346K,pre-Seed,"All In Capital, WEH Ventures, Rohan Khandelwal, Pawan Gupta, Venkat Subramanyam","All In Capital, WEH Ventures"
27 Jan 2025,trackNOW,Enterprisetech,Horizontal SaaS,B2B,–,–,Poonawalla Group,Poonawalla Group
29 Jan 2025,Manastu Space,Deeptech,Spacetech,B2B,–,–,Jeet Chandan,–
