Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
5 Feb 2025,Cashfree Payments,Fintech,Payments,B2B,$53 Mn,Series C,"KRAFTON, Apis Partners",KRAFTON
1 Feb 2025,Captain Fresh**,Ecommerce,B2B Ecommerce,B2B,$28.8 Mn*,–,"Prosus Ventures, Accel, Tiger Global, Sriharsha Majety Family Office, Sid Khanna, Sunjay Kapur, Shivalik Prints","Prosus Ventures, Accel, Tiger Global"
6 Feb 2025,TrueFondry,Enterprisetech,Horizontal SaaS,B2B,$19 Mn,Series A,"Intel Capital, Eniac Ventures, Peak XV, Jump Capital, Gokul Rajaram, Mohit Aron, Cyan Banister",Intel Capital
4 Feb 2025,HairOriginals,Ecommerce,D2C,B2C,$5 Mn,Series A,"Anicut Growth Fund, 12 Flags Consumer Holdings, Peyush Bansal","Anicut Growth Fund, 12 Flags Consumer Holdings"
3 Feb 2025,Shadowfax,Logistics,Ecommerce Logistics,B2B,$4 Mn,Series F,"Mirae Asset, Nokia Growth Partners",–
6 Feb 2025,Nua,Ecommerce,D2C,B2C,$3.9 Mn,pre-Series C,"Mirabilis Investment Trust, Samir Singh, Shuchi Kothari",Mirabilis Investment Trust
4 Feb 2025,Presentations.AI,Enterprisetech,Horizontal SaaS,B2B,$3 Mn,Seed,"Accel Partners, Vijay Shekhar Sharma, Kunal Shah, Phanindra Sama, Girish Mathrubhootham, Krish Subramanian, Rajaraman Santhanam",Accel Partners
5 Feb 2025,Astra Security,Enterprisetech,Horizontal SaaS,B2B,$2.7 Mn,–,"Emergent Ventures, Neon Fund, Blume Ventures, PointOne Capital",Emergent Ventures
5 Feb 2025,Dreamfly Innovations,Cleantech,Battery Tech,B2B,$1.4 Mn*,Seed,"Avaana Capital, Sunicon Ventures",Avaana Capital
5 Feb 2025,Mealawe,Consumer Services,Hyperlocal Delivery,B2C,$1 Mn,–,–,–
5 Feb 2025,Quicklend,Fintech,Lending Tech,B2C,$772K,pre-Seed,"Inuka Capital, Eximius Ventures, Upsparks Capital, GrowX","Inuka Capital, Eximius Ventures, Upsparks Capital, GrowX"
7 Feb 2025,Babynama,Healthtech,Telemedicine,B2C,$700K,Seed,"Good Capital, Amplify, Abhishek Gupta, Ankit Gupta, Akshay Saxena, Dhruv Dhanraj Bahl",Good Capital
6 Feb 2025,PlaySuper,Enterprisetech,Vertical SaaS,B2B,$500K,Seed,"IAN Group, 100X.VC, Uday Sodhi, KRS Jamwal, Pratham Mittal, Rajit Bhattacharya, Ankit Das","IAN Group, 100X.VC"
6 Feb 2025,Origamis AI,Enterprisetech,Horizontal SaaS,B2B,$500K,Seed,"Vikas Gautam, Naveen Agarwal","Vikas Gautam, Naveen Agarwal"
7 Feb 2025,LegUp,Consumer Services,Hyperlocal Services,B2C,$229K,pre-Seed,Bluebridge Capital,Bluebridge Capital
7 Feb 2025,Boba Bhai,Consumer Services,Hyperlocal Delivery,B2C,$103K,–,"Namita Thapar, Viraj Bahl",–
4 Feb 2025,Super Gaming,Media & Entertainment,Gaming,B2C,–,–,Bandai Namco,Bandai Namco
3 Feb 2025,BuilditIndia,Ecommerce,B2B Ecommerce,B2B,–,–,Parthiv Patel,Parthiv Patel
3 Feb 2025,Curefoods,Consumer Services,Hyperlocal Delivery,B2C,–,–,Hrithik Roshan,Hrithik Roshan
7 Feb 2025,Vahan.ai,Enterprisetech,Horizontal SaaS,B2B,–,–,PERSOL Group,PERSOL Group
6 Feb 2025,Basil Alliance,Enterprisetech,Horizontal SaaS,B2B,–,–,Inflection Point Ventures,Inflection Point Ventures
