Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
11 Feb 2025,ToneTag,Fintech,Payments,B2B,$77.5 Mn,Series B,"ValueQuest Scale Fund, Iron Pillar, Elevate Capital","ValueQuest Scale Fund, Iron Pillar"
13 Feb 2025,SpotDraft,Enterprisetech,Horizontal SaaS,B2B,$54 Mn,Series B,"Vertex Growth, Trident Partners, Xeed VC, Arkam Ventures, Prosus Ventures, Premji Invest","Vertex Growth, Trident Partners"
11 Feb 2025,Zeta,Fintech,Fintech SaaS,B2B,$50 Mn,–,Optum,Optum
14 Feb 2025,PMI Electro Mobility,Cleantech,Electric Vehicle,B2B,$29 Mn,–,"Authum Investment & Infrastructure, Gruhas, Antique Securities",–
12 Feb 2025,Lucidity,Enterprisetech,Horizontal SaaS,B2B,$21 Mn,Series A,"WestBridge Capital, Alpha Wave",WestBridge Capital
10 Feb 2025,BorderPlus,Edtech,Skill Development,B2B-B2C,$7 Mn,–,"Owl Ventures, Mithun Sacheti, Ritesh Agarwal, Apoorva Patni, Binny Bansal",Owl Ventures
12 Feb 2025,CapGrid Solutions,Enterprisetech,Enterprise Services,B2B,$5 Mn,Series A,"Anicut Growth Fund, Nexus Venture Partners, Axilor Ventures, chairman Sunjay Kapur, Vivek Vikram Singh",Anicut Growth Fund
11 Feb 2025,Bold Care,Ecommerce,D2C,B2C,$5 Mn,Series A,"Rainmatter, Mithun Sacheti, Siddhartha Sacheti, Gruhas Collective Consumer Fund, Claris Capital, MGA Ventures LLP, NB Ventures Limited, AP Partners",Rainmatter
12 Feb 2025,Toonsutra,Media & Entertainment,Digital Media,B2C,$3.2 Mn,Seed,"Holtzbrinck Publishing Group, Google, GMJP, T-Accelerate Capital, Graphic India",Holtzbrinck Publishing Group
8 Feb 2025,Eduvanz**,Fintech,Lending Tech,B2C,$2.9 Mn,–,"Juvo Ventures, Capria Fund, Peak XV Partners, Unitus Ventures","Juvo Ventures, Capria Fund"
12 Feb 2025,Mysa,Fintech,Fintech SaaS,B2B,$2.8 Mn,Seed,"Blume Ventures, Emphasis Ventures, Antler, Neon Fund",Blume Ventures
8 Feb 2025,Cremeitalia**,Ecommerce,D2C,B2C,$2.1 Mn,Series A,"Amit Jatia Family Office, B2V Ventures, Nikhil Vora, Vikram Saboo, Arunkumar Jatia, Vitalis Capital Family Trust, Anil Mittal Family Office",Amit Jatia Family Office
13 Feb 2025,Anscer Robotics,Deeptech,IoT & Hardware,B2B,$2 Mn,Seed,Info Edge Ventures,Info Edge Ventures
12 Feb 2025,ArthAlpha,Fintech,Fintech SaaS,B2B,$2 Mn,–,DSP,DSP
14 Feb 2025,Almond.ai,Enterprisetech,Horizontal SaaS,B2B,$1.9 Mn,Seed,"JIIF, Venture Catalyst, Ever Grow Capital, Nine ALPS, Hemant Jain, Nitin Jain",JIIF
14 Feb 2025,Raincheck Earth Co.,Alcoholic Beverage,–,B2C,$1.2 Mn,pre-Series A,AngelList India Syndicate,–
12 Feb 2025,Vidysea,Edtech,–,B2C,$1 Mn,Seed,"Zee Learn Limited, Aarvi Family LLP","Zee Learn Limited, Aarvi Family LLP"
10 Feb 2025,Rupeeflo,Fintech,Banking,B2C,$1 Mn,pre-Seed,"Piper Serica Angel Fund, Ravi Shankar, Kishore Natarajan, Kedar Kulkarni",Piper Serica Angel Fund
11 Feb 2025,The Honest Home Company,Ecommerce,D2C,B2C,$800K,pre-Series A,"OG Capital, Gaurav Verma, Anupam Mitta","OG Capital, Gaurav Verma"
12 Feb 2025,GoRally,Consumer Services,Hyperlocal Services,B2C,$750K,pre-Seed,"Sujeet Kumar, Mohit Kumar, Vatsal Singhal, Viren Singhvi, Kartik Kapoor, Abhishek Goyal, Deepak Singh, Arjun Vaidya, Bharat Founders Fund",Sujeet Kumar
12 Feb 2025,Rapture Innovation Labs,Ecommerce,D2C,B2C,$58K,–,Peyush Bansal,Peyush Bansal
10 Feb 2025,Rubyworks,Fintech,Fintech SaaS,B2B,–,pre-Series A,–,–
