Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
17 Feb 2025,Udaan,Ecommerce,B2B Ecommerce,B2B,$75 Mn,–,"M&G Prudential, Lightspeed Venture Partners",–
18 Feb 2025,Spyne,Enterprise Tech,Horizontal SaaS,B2B,$16 Mn,Series A,"Vertex Ventures, Accel, Storm Ventures, Alteria Capital",Vertex Ventures
20 Feb 2025,The Whole Truth,Ecommerce,D2C,B2C,$15 Mn,Series C,"Sofina, Z47, Peak XV Partners, Sauce.vc",Sofina
18 Feb 2025,Singulr,Enterprise Tech,Horizontal SaaS,B2B,$10 Mn,Seed,"Nexus Venture Partners, Dell Technologies Capital","Nexus Venture Partners, Dell Technologies Capital"
20 Feb 2025,Dogsee Chew,Ecommerce,D2C,B2C,$8 Mn,Series B,"Ektha.com, Shivanssh Holdings, Poddar Family office",Ektha.com
17 Feb 2025,Rare Rabbit,Ecommerce,D2C,B2C,$5.7 Mn*,–,A91 Partners,A91 Partners
19 Feb 2025,Credit Fair,Fintech,Lendingtech,B2B- B2C,$5 Mn,Debt,Symbiotics Investments,Symbiotics Investments
19 Feb 2025,Probus,Deeptech,Hardware & IoT,B2B,$5 Mn,Series A,Unicorn India Ventures,Unicorn India Ventures
18 Feb 2025,Swish Club,Ecommerce,B2B Ecommerce,B2B,$4.5 Mn,pre-Series A,"Powerhouse Ventures, Blume Ventures, Touchstone Ventures, Atrium Ventures",Powerhouse Ventures
20 Feb 2025,OneTab,Enterprise Tech,Horizontal SaaS,B2B,$3.3 Mn,Seed,"LIT Fund, Orbit, SOSV, Sunil Kumar Singhvi, Saket Dandotia, Sonal Dandotia, Alok Patil","LIT Fund, Orbit"
18 Feb 2025,The Energy Company,Cleantech,Electric Vehicle,B2B,$2 Mn,pre-Series A,"Siana Capital, Callapina Capital, Z21 Ventures, 1Crowd, LetsVenture","Siana Capital, Callapina Capital, Z21 Ventures, 1Crowd, LetsVenture"
18 Feb 2025,Dynolt Technologies,Cleantech,Electric Vehicle,B2B,$1.7 Mn,Seed,"Transition VC, Yashovardhan Shah",Transition VC
20 Feb 2025,NOTO,Ecommerce,Electric Vehicle,B2C,$1.7 Mn,–,"Inflection Point Ventures, JITO Incubation and Innovation Foundation, LetsVenture",Inflection Point Ventures
19 Feb 2025,Agrilectric,Agritech,Farm Inputs,B2B- B2C,$100K,Seed,ah! Ventures,ah! Ventures
15 Feb 2025,Ikonz**,Enterprise Tech,Horizontal SaaS,B2B,–,pre-Series A,"Marc Jordan, Madhusudhan Kela, Akash Bhanshali, Ramana Thumu",–
15 Feb 2025,RIDEV**,Cleantech,Electric Vehicle,B2B,–,–,"Vineet Tibrewala, Gulab Shrimal",–
17 Feb 2025,Lurny,Consumer Services,–,B2C,–,–,"John Varghese, Mathew Tharakan, Manoj Kumar","John Varghese, Mathew Tharakan, Manoj Kumar"
