Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
24 Feb 2025,Geniemode,Ecommerce,B2B Ecommerce,B2B,$50 Mn,Series C,"Multiples Alternate Asset Management, Fundamentum, Paramark Ventures, InfoEdge Ventures",Multiples Alternate Asset Management
24 Feb 2025,Oxyzo,Fintech,Lendingtech,B2B,$11.5 Mn,Debt,AK Capital,AK Capital
22 Feb 2025,Niyogin**,Fintech,Financial Services,B2B,$6.4 Mn,–,"MK Ventures, Aionios Alpha Investment Management, Ashika Groupm, Amit Rajpal",–
26 Feb 2025,Quick Clean,Consumer Services,Hyperlocal Services,B2C,$6 Mn,–,"Alkemi Growth Capital, Blue Ashva Capital","Alkemi Growth Capital, Blue Ashva Capital"
27 Feb 2025,FanTV,Media & Entertainment,Digital Media,B2C,$3 Mn,–,"Mysten Labs, Cypher Capital, CoinSwitch Ventures, Illuminati Capital",Mysten Labs
26 Feb 2025,Vidyut,Cleantech,Electric Vehicles,B2B,$2.5 Mn,–,Flourish Ventures,Flourish Ventures
26 Feb 2025,HiWiPay,Fintech,Payments,B2C,$2 Mn,Seed,"Unicorn India Ventures, Dewang Neralla’s family office, Jupiter Metaverse, Ritesh Malik, Mitesh Shah, Nilesh Doshi",Unicorn India Ventures
28 Feb 2025,Sisir Radar,Deeptech,Spacetech,B2B,$1.5 Mn,Seed,"Shastra VC, Riverwalk Holdings, INVSTT",Shastra VC
27 Feb 2025,Astrogate Labs,Deeptech,Spacetech,B2B,$1.3 Mn,–,Piper Serica Angel Fund,Piper Serica Angel Fund
26 Feb 2025,Triple Tap Games,Media & Entertainment,Gaming,B2C,$1.2 Mn,Seed,"Eximius Ventures, Kalaari Capital","Eximius Ventures, Kalaari Capital"
25 Feb 2025,Dodo Payments,Fintech,Payments,B2B,$1.1 Mn,pre-Seed,"Antler, 9Unicorns, Venture Catalysts, Nitin Gupta, Maninder Gulati, Raymond Russell, Preethi Kasireddy, Nishant Verman","Antler, 9Unicorns, Venture Catalysts"
27 Feb 2025,Earthful,Ecommerce,D2C,B2C,$572K,–,"Srinivasan Namala, Ritesh Agarwal",Srinivasan Namala
27 Feb 2025,Pickkup,Logistic,Freight,B2B,$500K,Seed,We Founder Circle,We Founder Circle
26 Feb 2025,Hornet,Fintech,Fintech SaaS,B2B,$458K,Seed,Artha Venture Fund,Artha Venture Fund
24 Feb 2025,Make in Box,Deeptech,Robotics,B2B,$260K,pre-Seed,Mile Deep Works,Mile Deep Works
24 Feb 2025,KiranaPro,Consumer Services,Hyperlocal Delivery,B2C,–,–,PV Sindhu,PV Sindhu
