Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
5 Mar 2025,Darwinbox,Enterprise Tech,Horizontal SaaS,B2B,$140 Mn,–,"Partners Group, KKR, Gravity Holdings","Partners Group, KKR"
5 Mar 2025,Leap Finance,Fintech,Lendingtech,B2C,$100 Mn,Debt,HSBC,HSBC
4 Mar 2025,InsuranceDekho,Fintech,Insurtech,B2B-B2C,$70 Mn,–,"Beams Fintech Fund, Mitsubishi UFJ Financial Group, BNP Paribas Cardif","Beams Fintech Fund, Mitsubishi UFJ Financial Group, BNP Paribas Cardif"
6 Mar 2025,Swish,Consumer Services,Hyperlocal Delivery,B2C,$14 Mn,Series A,"Accel, Hara Global, Gaurav Munjal",–
6 Mar 2025,MaxIQ,Enterprise Tech,Horizontal SaaS,B2B,$7.8 Mn,Seed,"Dell Technologies Capital, Intel Capital",Dell Technologies Capital
5 Mar 2025,Beacon.li,Enterprise Tech,Horizontal SaaS,B2B,$7 Mn,Series A,"Sorin Investments, Sanjay Nayar, Athera Venture Partners, JAFCO Asia, Unicorn India Ventures, Aneesh Reddy, Aravind Sanka, Kapil Bharti",Sorin Investments
7 Mar 2025,Furlenco,Ecommerce,D2C,B2C,$7 Mn,Debt,"Northern Arc, CredAvenue",–
5 Mar 2025,Zetwerk,Enterprise Tech,Enterprise Services,B2B,$5 Mn,–,"Arc Investments, Oriental Biotech Limited","Arc Investments, Oriental Biotech Limited"
7 Mar 2025,indē wild,Ecommerce,D2C,B2C,$5 Mn,–,"Unilever Ventures, SoGal Ventures, True",Unilever Ventures
4 Mar 2025,Nuuk,Ecommerce,D2C,B2C,$4.6 Mn,Series A,Vertex Ventures,Vertex Ventures
6 Mar 2025,Innoviti,Fintech,Payments,B2B,$4 Mn,–,"Ashutosh Joshi, Bessemer Venture Partners",–
4 Mar 2025,Rezolv,Fintech,Fintech SaaS,B2B,$3.5 Mn,Seed,3one4 Capital,3one4 Capital
4 Mar 2025,FluxGen,Cleantech,Water Tech,B2B,$3.4 Mn,pre-Series A,"IAN Alpha Fund, Rainmatter, Gameskraft Technologies, Intersection Ventures, Force Ventures, Axilor Ventures, Arali Ventures",IAN Alpha Fund
4 Mar 2025,Deciml,Enterprise Tech,Horizontal SaaS,B2B,$3 Mn,Seed,Jainam Broking Limited,Jainam Broking Limited
6 Mar 2025,Phot.AI,Enterprise Tech,Horizontal SaaS,B2B,$2.7 Mn,Seed,"Info Edge Ventures, Together Fund, AC Ventures, Saahil Goel, Akshay Ghulati, Aakash Anand, Arjun Vaidya, Prabhkiran Singh, Puneet Gupta, Anmol Jain, Sandeep Aggarwal, Vishesh Khurana, Raj Snehil Junej, Pawan Gupta",Info Edge Ventures
7 Mar 2025,Bacca Bucci,Ecommerce,D2C,B2C,$2.5 Mn,–,JP Taparia,JP Taparia
3 Mar 2025,CredResolve,Fintech,Fintech SaaS,B2B,$1.1 Mn,Seed,"UNLEASH Capital Partners, CDM Capital",UNLEASH Capital Partners
6 Mar 2025,Yenmo,Fintech,Lendingtech,B2C,$1.1 Mn,–,"Y Combinator, Pioneer Fund, Zaka VC",Y Combinator
7 Mar 2025,Vobble,Media & Entertainment,OTT,B2C,$1 Mn*,Seed,"MIXI Investments, Lumikai, Namita Thapar, Sattva Investments",MIXI Investments
4 Mar 2025,TakeMe2Space,Deeptech,Spacetech,B2B,$633K,pre-Seed,"Seafund, Ventures, Artha Venture Fund, AC Ventures","Seafund, Ventures"
4 Mar 2025,NapTapGo,Travel Tech,Accommodation,B2C,$500K,pre-Seed,T9L Qube,–
4 Mar 2025,Beautywise,Ecommerce,D2C,B2C,$345K,–,"Aman Gupta, Kunal Bahl, Ritesh Agarwal",–
5 Mar 2025,DotMe,Consumer Services,–,B2C,$150K,–,Mirza L. Baig,Mirza L. Baig
6 Mar 2025,Zuppa Neo Navigation Technologies,Deeptech,Dronetech,B2B,$115K,–,Garuda Aerospace,Garuda Aerospace
4 Mar 2025,Fuzen.io,Enterprise Tech,Horizontal SaaS,B2B,$100K,pre-Seed,ah! Ventures,ah! Ventures
5 Mar 2025,Naarica,Ecommerce,D2C,B2C,–,–,Saina Nehwal,Saina Nehwal
4 Mar 2025,UptimeAI,Enterprise Tech,Horizontal SaaS,B2B,–,–,ABB Motion,ABB Motion
4 Mar 2025,Bull Agritech,Agritech,Market Linkage,B2B-B2C,–,–,iCreate,iCreate
