Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
11 Mar 2025,Zolve,Fintech,Banking,B2C,$251 Mn,Series B,"Creaegis, HSBC, SBI, GMO, DG Daiwa",Creaegis
13 Mar 2025,Purple Style Labs,Ecommerce,Roll Ups,B2C,$40 Mn,Series E,"SageOne Flagship Growth OE Fund, Alchemy Long Term Ventures Fund, Minerva Ventures Fund, Bajaj Holdings, S Four Capital, Sopariwala Exports, Kemfin Family Office, Cordelia Family Trust, Weikfield Family Office, Salil Taneja Family Office, PKM Capital","SageOne Flagship Growth OE Fund, Alchemy Long Term Ventures Fund, Minerva Ventures Fund, Bajaj Holdings"
12 Mar 2025,Scimplify,Enterprisetech,Enterprise Services,B2B,$40 Mn,Series B,"Accel, Bertelsmann Investments, UMI, Omnivore, 3one4 Capital","Accel, Bertelsmann Investments"
11 Mar 2025,Infinite Uptime,Enterprisetech,Horizontal SaaS,B2B,$35 Mn,Series C,"Avataar Ventures, StepStone Group, LGVP, Tiger Global, GSR Ventures",Avataar Ventures
13 Mar 2025,InCred Finance,Fintech,Lendingtech,B2B-B2C,$30 Mn,Debt,"Neo Group, MAS Financial Services, CredAvenue Securities",Neo Group
10 Mar 2025,GIVA,Ecommerce,D2C,B2C,$11.7 Mn,–,"Alteria Capital, Northern Arc",–
12 Mar 2025,AmpereHour Energy,Cleantech,–,B2B,$5 Mn,Series A,"Avaana Capital, UC Impower",Avaana Capital
12 Mar 2025,Weskill,Edtech,Skill Development,B2C,$4.5 Mn,pre-Seed,–,–
11 Mar 2025,goSTOPS,Travel Tech,Travel Planning & Activities,B2C,$4.2 Mn,Series A,"Blume Ventures, 1Crowd, Mumbai Angels, Chennai Angels, Indian Angel Network, Lead Angels, Yuj Ventures",Blume Ventures
11 Mar 2025,Felicity Games,Media & Entertainment,Gaming,B2C,$3 Mn,Seed,"3one4 Capital, T-Accelerate Capital, MIXI Global Investments, DeVC, Visceral Capital",3one4 Capital
11 Mar 2025,Ambitio,Edtech,Online Discovery,B2C,$2 Mn,Seed,"BLinC Invest, Ritu Bapna",BLinC Invest
12 Mar 2025,Allo Health,Healthtech,Telemedicine,B2C,$1.8 Mn,pre-Series A,Rainmatter,Rainmatter
13 Mar 2025,Neural Defend,Enterprisetech,Horizontal SaaS,B2B,$600K,pre-Seed,"Inflection Point Ventures, MIT SBXI, Techstars San Francisco, Soonicorn Ventures",Inflection Point Ventures
11 Mar 2025,Dreamtime Learning,Edtech,K-12,B2C,–,pre-Series A,"Nikhil Kamath, Abhijeet Pai","Nikhil Kamath, Abhijeet Pai"
