Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
17 Mar 2025,Nivara Home Finance,Fintech,Lendingtech,B2C,$28 Mn,Series B,"True North, Baring Private Equity, Sunil Rohokale, Monik Koticha",True North
18 Mar 2025,Pilgrim,Ecommerce,D2C,B2C,$23 Mn,–,"Narotam Sekhsaria Family Office, Vertex Ventures SEAI, Mirabilis Investment Trust, Vertex Growth Fund, Anicut Equity Continuum Fund",–
19 Mar 2025,Navadhan,Fintech,Lendingtech,B2B,$12.8 Mn,Series A,"NabVentures, Prime Ventures, LNB Group, Varanium NexGen Fintech Fund, Gemba Capital, Faad, VC-Grid, Anicut","NabVentures, Prime Ventures"
21 Mar 2025,STAGE,Media & Entertainment,OTT,B2C,$12.5 Mn,Series B,"Goodwater Capital, Blume Ventures, Physis Capital, Venture Catalysts, Inflection Point Ventures, Mumbai Angels, The Chennai Angels","Goodwater Capital, Blume Ventures"
20 Mar 2025,Magenta Mobility,Cleantech,Electric Vehicle,B2B,$11.5 Mn,pre-Series B,"BP Tech Ventures, Morgan Stanley India Infrastructure",–
18 Mar 2025,Protectt.ai,Enterprisetech,Horizontal SaaS,B2B,$8.7 Mn,Series A,Bessemer Venture Partners,Bessemer Venture Partners
18 Mar 2025,Go Zero,Ecommerce,D2C,B2C,$3.5 Mn,Series A,"DSG Consumer Partners, Saama Capital, V3 Ventures, Aman Gupta, Namita Thapar",–
18 Mar 2025,Slikk Club,Consumer Services,Hyperlocal Delivery,B2C,$3.2 Mn,Seed,"Lightspeed, Multiply Ventures, Abhishek Goyal, Madhav Tandan, Abhinav Pathak",Lightspeed
19 Mar 2025,Nourish You,Ecommerce,D2C,B2C,$1.8 Mn,Series A,SIDBI Venture Capital,SIDBI Venture Capital
20 Mar 2025,Lighthouse PropTech,Real Estate Tech,Listing & Discovery Services,B2B-B2C,$1 Mn*,–,"Turbostart, Dabur family office",Turbostart
20 Mar 2025,Qila Games,Media & Entertainment,Gaming,B2C,$1 Mn,pre-Seed,"Chimera VC, Visceral Capital, Atrium Angels, Ventatana Ventures, 91 ventures, Untitled Ventures",Chimera VC
18 Mar 2025,Hypergro.ai,Enterprisetech,Horizontal SaaS,B2B,$814K,pre-Series A,"Eternal Capital, Silver Needle Ventures, VCats, Astir Ventures, FAAD Network",Eternal Capital
19 Mar 2025,Harvested Robotics,Agritech,Precision Agriculture,B2B,$582K,pre-Seed,"Arali Ventures, Anand Mahindra, Chakradhar Gade",Arali Ventures
18 Mar 2025,iHub Robotics,Deeptech,IoT & Hardware,B2B,$520K,pre-Seed,–,–
17 Mar 2025,The Bear House,Ecommerce,D2C,B2C,$349K,–,Namita Thapar,Namita Thapar
18 Mar 2025,Broadway,Ecommerce,Social Commerce,B2C,–,–,Gruhas,Gruhas
20 Mar 2025,My Pahadi Dukan,Ecommerce,D2C,B2C,–,pre-Seed,Inflection Point Ventures,Inflection Point Ventures
20 Mar 2025,Kraftshala,Edtech,Online Certification,B2C,–,pre-Series A,"Phanindra Sama, Sujayath Ali, Pallav Jain, Tie Nizamabad",–
