Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
28 Mar 2025,smallcase,Fintech,Investment Tech,B2C,$50 Mn,Series D,"Elev8 Venture Partners, State Street Global Advisors, Niveshaay AIF, Faering Capital, Arkam Ventures",Elev8 Venture Partners
28 Mar 2025,Lendingkart,Fintech,Lending Tech,B2B,$29.5 Mn*,Series E,Fullerton Financial Holdings,Fullerton Financial Holdings
27 Mar 2025,Abound,Fintech,Payments,B2C,$14 Mn,Seed,"NEAR Foundation, Circle Ventures, Times Internet",NEAR Foundation
27 Mar 2025,Outplay,Enterprise Tech,Horizontal SaaS,B2B,$14 Mn,–,JungleWorks,JungleWorks
25 Mar 2025,Grow Indigo,Agritech,Farm Inputs,B2B-B2C,$10 Mn,–,British International Investment,British International Investment
25 Mar 2025,Dozee,Healthtech,Medtech,B2B,$8 Mn,–,"C3H, Stockhausen International",–
26 Mar 2025,Firefly Diamonds,Ecommerce,D2C,B2C,$3 Mn,Seed,WestBridge Capital,WestBridge Capital
26 Mar 2025,Nabhdrishti Aerospace,Deeptech,Spacetech,B2B,$3 Mn,–,"Accel, IIMA Ventures",Accel
26 Mar 2025,Droom,Ecommerce,Recommerce,B2C,$3 Mn,–,"India Accelerator, Finvolve, Hardik Kothiya","India Accelerator, Finvolve"
26 Mar 2025,Vahdam,Ecommerce,D2C,B2C,$3 Mn,–,SIDBI Venture Capital,SIDBI Venture Capital
28 Mar 2025,axiTrust Surety,Fintech,Fintech SaaS,B2B,$2.6 Mn,–,"General Catalyst, Veltis Capital, Good Capital, AngelList",General Catalyst
27 Mar 2025,OneStack,Fintech,Fintech SaaS,B2B,$2 Mn,Series A,"Pentathlon Ventures, Yatra Angel Network, 100Unicorns, Venture Catalysts",Pentathlon Ventures
25 Mar 2025,Irame.ai,Enterprise Tech,Horizontal SaaS,B2B,$1 Mn,Seed,SenseAI Ventures,SenseAI Ventures
26 Mar 2025,Antithesis,Enterprise Tech,Horizontal SaaS,B2B,$585K,Seed,"Rukam Capital, V3 Ventures India","Rukam Capital, V3 Ventures India"
26 Mar 2025,Zealopia Technologies,Healthtech,Fitness & Wellness,B2C,–,–,ah! Ventures,ah! Ventures
27 Mar 2025,Konect U,Edtech,–,B2C,–,–,ah! Ventures,ah! Ventures
