Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
3 Apr 2025,Scapia,Fintech,Lendingtech,B2C,$40 Mn,Series B,"Peak XV Partners, Elevation Capital, Z47, 3STATE Capital",Peak XV Partners
3 Apr 2025,Tonbo Imaging,Deeptech,Defense Tech,B2B,$20.4 Mn,Series D,"Florintee Advisors, EXIM Bank",–
3 Apr 2025,Pratilipi,Media & Entertainment,Digital Media,B2C,$20 Mn,Series E,"Jungle Ventures, Ravish Naresh, Arnav Kumar",Jungle Ventures
4 Apr 2025,Aerem,Fintech,Solar Tech,B2B-B2C,$12 Mn,Series A,"Tokyo Edge Capital Partners, British International Investment, SE Ventures, Riverwalk Holdings, along with existing investors Blume Ventures, Avaana Capital, IDFC, AU Small Finance, Axis Bank, Northern Arc, MAS Financials, Vivriti Capital",Tokyo Edge Capital Partners
3 Apr 2025,Sweet Karam Coffee,Ecommerce,D2C,B2C,$8 Mn,Series A,"Peak XV Partners, Fireside Ventures",Peak XV Partners
3 Apr 2025,RapidClaims,Enterprise Tech,Horizontal SaaS,B2B,$8 Mn,Series A,"Accel, Together Fund",Accel
1 Apr 2025,The Bear House,Ecommerce,D2C,B2C,$5.8 Mn,Series A,JM Financial Private Equity,JM Financial Private Equity
3 Apr 2025,FurtherAI,Fintech,Fintech SaaS,B2B,$5 Mn,Seed,"Nexus Venture Partner, Pioneer AI Fund, South Park Commons, Y Combinator, Converge VC, Xceedance",Nexus Venture Partner
2 Apr 2025,Infinity Fincorp,Fintech,Lendingtech,B2B,$5 Mn*,Series A,Beams Fintech Fund,–
1 Apr 2025,Evenflow,Ecommerce,Roll Ups,B2C,$5 Mn,Series A,"Venture Catalysts, Sunder Ramachandran",Venture Catalysts
4 Apr 2025,Jai Kisan,Fintech,Lendingtech,B2B,$3 Mn,–,"Mirae Asset, Unitary Fund, Blume Ventures",–
1 Apr 2025,DeCharge,Cleantech,Electric Vehicle,B2B-B2C,$2.5 Mn,Seed,"Lemniscap, Colosseum, Daedalus Angels, EV3 Labs, Chainyoda Jedis, Levitate Labs, Nom, Arnold Lee",Lemniscap
1 Apr 2025,Wendor,Retail Tech,–,B2B,$2.5 Mn,–,Elanpro,Elanpro
1 Apr 2025,LehLah,Ecommerce,Social Commerce,B2C,$1.5 Mn,Seed,Gruhas,Gruhas
1 Apr 2025,Tvaster Genkalp,Healthtech,Healthcare Services,B2C,$1.3 Mn,Pre-Series A,"Ideaspring Capital, Invigo Softwares, Mohamed Rela",Ideaspring Capital
4 Apr 2025,Alienkind,Consumer Services,Foodtech,B2C,$1.2 Mn,Seed,"Prakash Sikaria, Ravi Iyer, Arpan Sheth","Prakash Sikaria, Ravi Iyer, Arpan Sheth"
2 Apr 2025,Stance Health,Healthtech,Fitness & Wellness,B2C,$1 Mn,Pre-Seed,"General Catalyst, Antler, DEVC, EX Capital, Sriharsha Majety, Nandan Reddy, Kulin Shah",General Catalyst
3 Apr 2025,Perkant Tech,Healthtech,MedTech,B2B,$772K,Seed,"YourNest Venture Capital, Atal New India Challenge, Villgro Foundation, Sanchi Connect",YourNest Venture Capital
2 Apr 2025,Entvin AI,Healthtech,Healthcare SaaS,B2B,$585K,–,Y Combinator,Y Combinator
2 Apr 2025,InnerGize,Healthtech,MedTech,B2C,$525K,Pre-Seed,"Antler, Arjun Vaidya, ​Sharan Hegde, Ritesh Agarwal, Aman Gupta, Azhar Iqubal",Antler
3 Apr 2025,DriverShaab,Consumer Services,Hyperlocal Services,B2B,$330K,Pre-Series A,"Firstport Capital, Inflection Point Ventures","Firstport Capital, Inflection Point Ventures"
