Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
7 Apr 2025,Juspay,Fintech,Payments,B2B,$60 Mn,Series D,"Kedaara Capital, SoftBank, Accel",Kedaara Capital
7 Apr 2025,Easebuzz,Fintech,Fintech SaaS,B2B,$30 Mn,Series A,"Bessemer Venture Partners, 8i Ventures, Varanium Capital",Bessemer Venture Partners
9 Apr 2025,Noise,Ecommerce,D2C,B2C,$20 Mn,–,Bose,Bose
10 Apr 2025,Mosaic Wellness,Ecommerce,D2C,B2C,$20 Mn,–,Think Investments,Think Investments
7 Apr 2025,Innovist,Ecommerce,D2C,B2C,$15.8 Mn,Series B,"ICICI Ventures, Mirabilis Investment Trust, Niveshaay Investment, Sauce.vc",ICICI Ventures
10 Apr 2025,EloElo,Media & Entertainment,Social Media,B2C,$13.5 Mn,Series B,"Play Ventures, Kalaari Capital, MIXI Investments, Gameskraft Technologies, Griffin Gaming Partners, Waterbridge Ventures, Courtside Ventures, Rocket Capital",Play Ventures
10 Apr 2025,Xindus,Logistics,Ecommerce Logistics,B2B,$10 Mn,Series A,"3one4 Capital, Orios Venture Partners, Shastra VC, Caret Capital",3one4 Capital
9 Apr 2025,AgroStar,Agritech,–,B2B,$6.7 Mn,–,"Accel India, Aavishkaar India, Bertelsmann, Evolvence India, Chiratae Ventures, Hero Enterprises",Accel India
8 Apr 2025,OUTZIDR,Ecommerce,D2C,B2C,$3.5 Mn,Seed,"Stellaris Venture Partners, Ramakant Sharma, Ghazal Alagh",Stellaris Venture Partners
7 Apr 2025,Vimano,Cleantech,Climate Tech,B2B,$2.9 Mn,Seed,Ankur Capital,Ankur Capital
9 Apr 2025,Let’s Try,Ecommerce,D2C,B2C,$2.5 Mn,Pre-Series A,"SWC Global, Wipro Consumer, 100Unicorns, Venture Catalysts, Aman Gupta",SWC Global
8 Apr 2025,Eat Better,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"Prath Ventures, Spring Marketing Capital","Prath Ventures, Spring Marketing Capital"
10 Apr 2025,Bower School of Entrepreneurship,Edtech,Cohort Based Courses,B2C,$1.4 Mn,Seed,Astir Ventures,–
10 Apr 2025,AskMyGuru,Consumer Services,–,B2C,$1.2 Mn,–,"Lumikai, Amarnath Thombre",Lumikai
4 Apr 2025,Better Nutrition**,Ecommerce,D2C,B2C,$1.2 Mn,–,–,–
7 Apr 2025,Calligo Technologies,Deeptech,IoT & Hardware,B2B,$1.1 Mn,Pre-Series A,"Seafund, Artha Venture Fund","Seafund, Artha Venture Fund"
10 Apr 2025,Bhagva,Consumer Services,–,B2C,$1 Mn,Pre-Series A,Pradeep Nain,–
9 Apr 2025,Amicco,Ecommerce,B2B Ecommerce,B2B,$1 Mn,Seed,"Eximius Ventures, FJ Labs",Eximius Ventures
10 Apr 2025,DRIVE FITT,Healthtech,Fitness & Wellness,B2C,–,–,Glenn Maxwell,–
