Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
16 Apr 2025,Garuda Aerospace,Deeptech,Spacetech,B2B,$11.7 Mn,Series B,Venture Catalysts,Venture Catalysts
16 Apr 2025,OfBusiness,Ecommerce,B2B Ecommerce,B2B,$11.7 Mn,–,Cornerstone Ventures,Cornerstone Ventures
17 Apr 2025,Varthana,Fintech,Lendingtech,B2C,$8.7 Mn,Debt,"OfBusiness, Oxyzo","OfBusiness, Oxyzo"
14 Apr 2025,Optimized Electrotech,Deeptech,Defencetech,B2B,$6 Mn,Series A,"Blume Ventures, Mela Ventures, Venture Catalysts, 100Unicorns, Rajiv Dadlani Group, Sandeep Shah","Blume Ventures, Mela Ventures"
16 Apr 2025,Magma,Enterprisetech,Enterprise Services,B2B,$5 Mn,Series A,"Capria Ventures, Avinya Ventures, Sanjiv Rangrass, General Catalyst, Accion Venture Lab, WEH Ventures",Capria Ventures
16 Apr 2025,Peppermint Robotics,Deeptech,Robotics,B2B,$4 Mn,Series A,"Indian Angel Network, JDSS, Enrission India Capital",–
16 Apr 2025,Jewelbox,Ecommerce,D2C,B2C,$3.2 Mn,pre-Series A,"V3 Ventures, Atrium Angels, Dexter Ventures, Infinyte Club, Samarthya Capital, JIIF",V3 Ventures
17 Apr 2025,IPEC,Cleantech,Electric Vehicle,B2B,$3 Mn,–,Gruhas,Gruhas
16 Apr 2025,Nothing Before Coffee,Ecommerce,D2C,B2C,$2.3 Mn,Pre-Series A,"Prath Ventures, SYL Investments",Prath Ventures
15 Apr 2025,CENTA,Edtech,Online Certification,B2C,$2.3 Mn,Series A,"Colossa Ventures, Discovery Asset Management",Colossa Ventures
18 Apr 2025,Good Monk,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"RPSG Capital Ventures, Multiply Ventures, Sharrp Ventures, ThinKuvate",RPSG Capital Ventures
14 Apr 2025,PujaShree Products Global,Ecommerce,D2C,B2C,$1.5 Mn,Seed,–,–
14 Apr 2025,EON Space Labs,Deeptech,Spacetech,B2B,$1.2 Mn,Pre-Series A,MountTech Growth Fund-Kavachh,MountTech Growth Fund-Kavachh
17 Apr 2025,That Sassy Thing,Ecommerce,D2C,B2C,$703K,Seed,"Inflection Point Ventures, Bala Sarda, Saurabh Munjal, Kirti Jangra",Inflection Point Ventures
14 Apr 2025,NOTO,Ecommerce,D2C,B2C,$700K*,Pre-Series A,"Equentis Angel Fund, Inflection Point Ventures, JITO, Signal Ventures",Equentis Angel Fund
14 Apr 2025,Cura Care,Healthtech,Home Healthcare,B2C,$586K,Pre-Seed,"Zeropearl VC, Shripad Nadkarni, Rohan Mirchandani",Zeropearl VC
16 Apr 2025,Iyaso,Edtech,Skill Development,B2C,$500K,Pre-Seed,Malpani Ventures,Malpani Ventures
15 Apr 2025,BeastLife,Ecommerce,D2C,B2C,$222K,–,Rinku Singh,Rinku Singh
17 Apr 2025,JetSynthesys,Media & Entertainment,Gaming,B2C,–,–,KRAFTON,KRAFTON
14 Apr 2025,uppercase,Ecommerce,D2C,B2C,–,–,Jasprit Bumrah,Jasprit Bumrah
14 Apr 2025,SportsSkill,Consumer Services,Hyperlocal Services,B2C,–,Pre-Seed,Waimea Bay Investments,Waimea Bay Investments
15 Apr 2025,Ochre Spirits,Alcoholic Beverages,Alcoholic Beverages,B2C,–,–,ah! Ventures,ah! Ventures
