Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
25 Apr 2025,DeHaat,Agritech,Farm Inputs,B2B-B2C,$23.4 Mn,Debt,Trifecta Capital,Trifecta Capital
22 Apr 2025,Uniqus,Enterprise Tech,Enterprise Services,B2B,$20 Mn,Series C,"Nexus Venture Partners, Sorin Investments",Nexus Venture Partners
24 Apr 2025,Fabric IoT,Deeptech,IoT & Hardware,B2B,$13.5 Mn,Series A,Nuveen,Nuveen
22 Apr 2025,Vayudh,Deeptech,Defencetech,B2B,$10 Mn,–,"Dharana Capital, Deepinder Goyal, LetsVenture, Navam Capital",Dharana Capital
23 Apr 2025,BankBazaar,Fintech,Lendingtech,B2C,$6 Mn*,Series D2,Muthoot FinCorp,–
23 Apr 2025,Emversity,Edtech,Skill Development,B2C,$5 Mn,Pre-Series A,"Z47, Lightspeed Venture Partners, Alteria Capital, InnoVen Capital","Z47, Lightspeed Venture Partners"
23 Apr 2025,SaveIn,Healthtech,Healthcare Services,B2C,$4.3 Mn,–,"10x Founders, Oliver Jung, Leblon Capital, Stem AI","10x Founders, Oliver Jung, Leblon Capital"
24 Apr 2025,Bachatt,Fintech,Investment Tech,B2C,$4 Mn,Seed,"Lightspeed, Info Edge Ventures, Abhiraj Bhal, Sunil Prabhune, Abhinav Sinha, Maninder Gulati","Lightspeed, Info Edge Ventures"
24 Apr 2025,GreenGrahi,Agritech,Farm Inputs,B2B,$3.7 Mn,Seed,"Avaana Capital, Huddle Ventures, Campus Fund, Blume Founders Fund, Nitin Sharma, Anchit Gupta",Avaana Capital
21 Apr 2025,Finodaya,Fintech,Lending Tech,B2B,$2.5 Mn,Seed,"White Venture Capital, Gemba Capital",White Venture Capital
24 Apr 2025,Visa2Fly,Travel Tech,Travel Planning & Activities,B2C,$2 Mn,Seed,"M Venture Partners, Flipkart Ventures, FinSight Ventures, Thinkuvate",M Venture Partners
25 Apr 2025,phab,Ecommerce,D2C,B2C,$2 Mn,Seed,"OTP Ventures, Capri Global, Sim And San Law Firm",OTP Ventures
22 Apr 2025,MyDesignation,Ecommerce,D2C,B2C,$1.3 Mn,Seed,"Multiply Ventures, Veltis Capital, Sattva Ventures, Dominor Investment Holdings, Green Trunk Ventures",Multiply Ventures
21 Apr 2025,Ivory,Healthtech,Healthcare Services,B2C,$1 Mn,–,"IIM-A Ventures, Capital-A, 1Crowd, Stanford Angels, Sanjay Arora, Adarsh Narahari, Juhi Bhatnagar","IIM-A Ventures, Capital-A"
17 Apr 2025,Uni Seoul**,Ecommerce,D2C,B2C,$585K,Seed,"Sauce VC, Panthera Peak Ventures, Arun Venkatachalam, Sangeet Agrawal, Navin Parwal, Yogesh Kabra",Sauce VC
22 Apr 2025,KiranaPro,Consumer Services,Hyperlocal Delivery,B2C,–,–,Arjun Vaidya,Arjun Vaidya
22 Apr 2025,DevAssure,Enterprise Tech,Horizontal SaaS,B2B,–,Pre-Seed,Eximius Ventures,Eximius Ventures
22 Apr 2025,Catalogus,Enterprise Tech,Vertical SaaS,B2B,–,Seed,"Zeropearl VC, Sangeet Agarwal, Navin Parval, Rohin Mittal",Zeropearl VC
