Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
19 May 2025,Euler Motors,Cleantech,Electric Vehicles,B2B,$75 Mn,Series D,"Hero MotoCorp, British International Investment",Hero MotoCorp
22 May 2025,Oxyzo,Fintech,Lending Tech,B2B,$62.4 Mn,Debt,Neo Group,Neo Group
20 May 2025,CureBay,Healthtech,Telemedicine,B2C,$21 Mn,Series B,"Bertelsmann India Investments, Elevar Equity, British International Investment",Bertelsmann India Investments
20 May 2025,CloudSEK,Enterprise Tech,Horizontal SaaS,B2B,$19 Mn,Series A2,"MassMutual Ventures, Inflexor Ventures, Prana Ventures, Tenacity Ventures, Commvault, Meeran Family, StartupXSeed, Neon Fund, Exfinity Ventures",–
21 May 2025,Mythik,Media & Entertainment,Digital Media,B2C,$15 Mn,Seed,"Sakal Media Group, BITKRAFT, VC Grid, Visceral Capital, Shah Rukh Khan Family Office, Patni Family Office",–
22 May 2025,Alt Carbon,Cleantech,Climate Tech,B2B,$12 Mn,Seed,"Lachy Groom, Jason Zhao, Amrendra Singh, Tanmay Bhat, Arjun Soin, Nakuul Mehta, Arjun Ramani, Advaith Vishwanath, Rahul Seth",Lachy Groom
22 May 2025,Data Sutram,Enterprise Tech,Horizontal SaaS,B2B,$9 Mn***,Series A,"Lightspeed Venture Partners, B Capital","Lightspeed Venture Partners, B Capital"
20 May 2025,Miraggio,Ecommerce,D2C,B2C,$6.5 Mn,Series A,"RPSG Capital Ventures, Client Associates Alternate Fund, Prath Ventures","RPSG Capital Ventures, Client Associates Alternate Fund"
22 May 2025,Shuru,Consumer Services,Hyperlocal Services,B2C,$3.4 Mn,–,"KRAFTON, Omidyar Network India, Eximius Ventures",KRAFTON
20 May 2025,Tan90 Thermal Solutions,Logistics,Storage Services,B2B,$2.3 Mn,Series A,"NABVENTURES, Blue Ashva Capital, Capital-A, 3i Partners",NABVENTURES
23 May 2025,Borderless,Fintech,Investment Tech,B2C,$2.3 Mn*,–,"Equirus, Credence Family Office, July Ventures",Equirus Credence Family Office
22 May 2025,Promethean Energy,Cleantech,Climate Tech,B2B,$2 Mn,Pre-Series A,"Transition VC, Sangam Venture, Sagana Capital, Fondation Botnar",Transition VC
20 May 2025,PaySprint,Fintech,Fintech SaaS,B2B,$1.2 Mn*,Series A,–,–
20 May 2025,Misfits,Consumer Services,Hyperlocal Services,B2C,$586K,Seed,"Info Edge Ventures, Better Capital","Info Edge Ventures, Better Capital"
22 May 2025,BlackCarrot,Ecommerce,D2C,B2C,–,Pre-Seed,"Venture Catalysts, We Founder Circle, EvolveX Accelerator, GX Ventures, Suraj Nalin, Neha Dhupia, Agnello Dias",Venture Catalyst
21 May 2025,The Sock Street,Ecommerce,D2C,B2C,–,–,Knit World Inc,Knit World Inc
