Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
2 Jun 2025,Snitch,Ecommerce,D2C,B2C,$40 Mn,Series B,"360One Asset, Ravi Modi Family Office, IvyCap Ventures, SWC Global",360One Asset
2 Jun 2025,Udaan,Ecommerce,B2B Ecommerce,B2B,$39 Mn*,Series G,–,–
3 Jun 2025,Stable Money,Fintech,Investment Tech,B2C,$20 Mn,Series B,"Fundamentum Partnership, Aditya Birla Ventures, Z47, RTP Global Lightspeed",Fundamentum Partnership
5 Jun 2025,LoanTap,Fintech,Lending Tech,B2B-B2C,$8.6 Mn,Pre-Series C,"July Ventures, 3one4 Capital, Avaana Capital, Kae Capital, Swapurna Family Office",July Ventures
3 Jun 2025,GyanDhan,Fintech,Lending Tech,B2C,$5.8 Mn,Series A,"Classplus, Pravega Ventures",–
4 Jun 2025,Plush,Ecommerce,D2C,B2C,$4.7 Mn,–,"Rahul Garg, Blume Founders Fund, OTP Ventures, Careernet, Patni Family Office, Sumit Jalan, Ajay Kumar Aggarwal",Rahul Garg
6 Jun 2025,Biopeak,Healthtech,Fitness & Wellness,B2C,$3.5 Mn,Seed,"Prashanth Prakash, Nikhil Kamath, Nithin Kamath, Claypond Capital",Prashanth Prakash
6 Jun 2025,Decentro,Fintech,Fintech SaaS,B2B,$3.5 Mn,Series B,"InfoEdge Ventures, Stargazer Growth, Uncorrelated Venture",InfoEdge Ventures
3 Jun 2025,True Diamond,Ecommerce,D2C,B2C,$3 Mn,–,"India Quotient, Titan Capital, Huddle Ventures",India Quotient
4 Jun 2025,Naagin,Ecommerce,D2C,B2C,$2.1 Mn,–,360One Asset,360One Asset
2 Jun 2025,Spense,Fintech,Fintech SaaS,B2B,$1.9 Mn,Pre-Seed,"GrowthCap Ventures, Kunal Shah, Sayandeb Banerjee, Suresh Rayasam, Ravi Sudhakar",GrowthCap Ventures
3 Jun 2025,Gully Labs,Ecommerce,Recommerce,B2C,$1 Mn,Seed,"Zeropearl VC, Vivekananda Hallekere, Suhasini Sampath, Nishchay AG, Ashutosh Valani, Anurag Ramadasan, Rahul Seth, Untitled Ventures, Atrium Ventures, Stride Ventures",Zeropearl VC
5 Jun 2025,Biglilpeople,Ecommerce,D2C,B2C,$466K,Seed,Capwise Financial Services,–
5 Jun 2025,Khari Foods,Ecommerce,D2C,B2C,$350K,Seed,Meri Punji IMF,Meri Punji IMF
5 Jun 2025,The Tarzan Way,Travel Tech,Booking Services,B2C,$233K,Seed,"Inflection Point Venture, Your Trips, Prateek Maheshwari",Inflection Point Venture
6 Jun 2025,Kosmc AI,Enterprise Tech,Horizontal SaaS,B2B,$200K,Pre-Seed,–,–
