Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
13 Jun 2025,Groww,Fintech,Investment Tech,B2C,$202.3 Mn,Series F,"GIC, ICONIQ Capital",–
12 Jun 2025,Spinny,Ecommerce,Recommerce,B2C,$170 Mn***,Series F,"Accel Leaders Fund, Fundamentum, WestBridge",Accel Leaders Fund
10 Jun 2025,CRED,Fintech,Payments,B2C,$72 Mn,Series G,"Lathe Investment, RTP Capital, Sofina, QED Innovation Labs",Lathe Investment
10 Jun 2025,FlexiLoans,Fintech,Lending tech,B2B,$43.8 Mn*,Series C,"Nuveen, Fundamentum, Accion Digital Transformation, Maj Invest, British International Investment",Nuveen
9 Jun 2025,Sanlayan,Advanced Hardware & Technology,Defence Tech,B2B,$21.7 Mn,Series A,"Ashish Kacholia, Lashit Sanghvi, Jungle Ventures",Ashish Kacholia
9 Jun 2025,Vecmocon,Clean Tech,Electric Vehicles,B2B,$18 Mn,Series A,"Ecosystem Integrity Fund, Aavishkaar Capital, British International Investment","Ecosystem Integrity Fund, Aavishkaar Capital"
10 Jun 2025,Wow! Momo,Foodtech,QSR,B2C,$10 Mn,Debt,Stride Ventures,Stride Ventures
11 Jun 2025,PowerUp Money,Fintech,Investment Tech,B2C,$7.1 Mn,Seed,"Accel, Blume Ventures, Kae Capital, 8i Ventures, DeVC","Accel, Blume Ventures, Kae Capital"
11 Jun 2025,Refyne,Fintech,Fintech SaaS,B2B,$4 Mn,Debt,Stride Ventures,Stride Ventures
10 Jun 2025,Flick TV,Media & Entertainment,OTT,B2C,$2.3 Mn,Seed,"Stellaris Venture Partners, Gemba Capital, Titan Capital",Stellaris Venture Partners
11 Jun 2025,Leumas,Enterprise Services,Manufacturing Solutions,B2B,$2.2 Mn,Seed,"Capital 2B, Capital-A, Anicut Capital",Capital 2B
10 Jun 2025,Kisah Apparels,Ecommerce,D2C,B2C,$1.5 Mn,–,"Sagar Daryani, Apoorv Salarpuria, Rahul Todi, Vinod Dugar, Inflection Point Ventures",Sagar Daryani
11 Jun 2025,Machaxi,Consumer Services,Hyperlocal Services,B2C,$1.5 Mn,–,"Rainmatter, Prakash Padukone",Rainmatter
12 Jun 2025,Repello AI,Artficial Intelligence (AI),Application Layer,B2B,$1.2 Mn,Seed,"Venture Highway, pi Ventures, Entrepreneur First, Charles Songhurst, Vivek Raghavan, Satya Vyas",–
12 Jun 2025,PlutoPe,Web3,Digital Currencies & Assets,B2C,$500K,Pre-Seed,Manit Gupta,Manit Gupta
12 Jun 2025,Iom Bioworks,Ecommerce,D2C,B2C,$465K,Seed,Inflection Point Ventures,Inflection Point Ventures
9 Jun 2025,Roomstory.ai,Consumer Services,Hyperlocal Services,B2C,$348K,Pre-Seed,Rukam Sitara Fund,Rukam Sitara Fund
13 Jun 2025,Pehla Jaisa,Agritech,Agri & Farm Inputs,B2B,$300K,Pre-Series A,"Pantnagar Capital, Climate Angels",–
11 Jun 2025,Zolo,Consumer Services,Property Listing & Discovery,B2C,–,Debt,VentureSoul Partners,VentureSoul Partners
