Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
18 Jun 2025,WIOM,Consumer Services/ Enteprise Services,–,B2B-B2C,$35 Mn,–,"Bertelsmann India Investments, Accel, Prosus, Promaft Partners, RTP global","Accel, Prosus"
17 Jun 2025,POP,Fintech,Banking,B2C,$30 Mn,–,Razorpay,Razorpay
18 Jun 2025,Oben Electric,Cleantech,Electric Vehicles,B2C,$11.5 Mn*,Series A,"Helios Holdings, Sharda family office, Kay family",–
18 Jun 2025,Techfino,Fintech,Lending Tech,B2B-B2C,$7.5 Mn,–,"Stellaris Venture Partners, Saison Capital",–
17 Jun 2025,Saswat Finance,Fintech,Banking,B2B,$2.6 Mn,Pre-Series A,"Ankur Capital, Incubate Fund Asia",Ankur Capital
19 Jun 2025,illumine,Enterprise Tech,Vertical SaaS (Edtech),B2B,$2.5 Mn,Seed,Prime Venture Partners,Prime Venture Partners
17 Jun 2025,Darwix AI,Artificial Intelligence,Application Layer,B2B,$1.5 Mn,–,"Rebalance, IPV, JITO Incubation and Innovation Foundation, Growth Sense, Growth91, Ankit Nagori, Sanjay Suri, Amit Lakhotia, Mekin Maheshwari",–
18 Jun 2025,7 Ring,Ecommerce,D2C (Consumer Electronics),B2C,$462K,Pre-Series A,"Venture Catalysts, Anchorage Capital Partners, Sheth family office",Venture Catalysts
16 Jun 2025,Nuvie,Ecommerce,D2C (F&B),B2C,$450K,Pre-Seed,PedalStart,PedalStart
17 Jun 2025,Xportel,Logistics,Shipping & Delivery,B2B,–,Seed,"Rukam Sitara, Flipkart Ventures","Rukam Sitara, Flipkart Ventures"
