Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
26 Jun 2025,Raphe mPhibr,Advanced Hardware & Technology,Aerial Vehicles,B2B,$100 Mn,–,"General Catalyst, Think Investments, Amal Parikh",General Catalyst
25 Jun 2025,GIVA,Ecommerce,D2C,B2C,$62 Mn,–,"Creaegis, Premji Invest, Epiq Capital, Edelweiss Discovery Fund",Creaegis
23 Jun 2025,EKA Mobility,Cleantech,Electric Vehicles,B2C,$23 Mn,–,Enam Holdings,Enam Holdings
26 Jun 2025,ShopOS,Artificial Intelligence (AI),Application Layer,B2B,$20 Mn,Seed,3STATE Ventures,3STATE Ventures
24 Jun 2025,GoKwik,Fintech,Banking,B2B,$13 Mn,–,"RTP Global, Z47, Peak XV Partners, Think Investments",RTP Global
25 Jun 2025,Sahi,Fintech,Investment Tech,B2C,$10.5 Mn,Series A,"Accel, Elevation Capital","Accel, Elevation Capital"
24 Jun 2025,Fabheads,Advanced Hardware & Technology,Aerial Vehicles,B2B,$10 Mn,Series A,"Accel, Trifecta Capital",Accel
23 Jun 2025,Kazam,Cleantech,Electric Mobility,B2B,$6.2 Mn,Series B,"International Finance Corporation, Vertex Ventures SEA & India, Avaana Capital",International Finance Corporation
26 Jun 2025,Flipspaces,Real Estate Tech,Real Estate Services,B2B,$5.9 Mn*,–,Asiana Fund,Asiana Fund
26 Jun 2025,StayVista,Travel Tech,Booking Services,B2C,$5 Mn,Series B,"JSW Ventures, DSG Consumer Partners, Capri Global Family Office",JSW Ventures
23 Jun 2025,Rabitat,Ecommerce,D2C,B2C,$4.6 Mn,Series A,"RPSG Capital, DSG Consumer Partners, Capital A, Accurize Syndicate, Flair Writing Family Office, Eagle Venture Fund, AG Ventures, Vedang Patel, Harsh Lal, Rohin Samtaney, Ramakant Sharma, Sourabh Jain, Ankit Nagori","RPSG Capital, DSG Consumer Partners"
27 Jun 2025,ZILO,Consumer Services,Quick Commerce,B2C,$4.5 Mn,Seed,"Info Edge Ventures, Chiratae Ventures","Info Edge Ventures, Chiratae Ventures"
24 Jun 2025,Evera Cabs,Travel Tech,Booking Services,B2C,$4 Mn,Debt,Mufin Green Finance,Mufin Green Finance
27 Jun 2025,Coratia Technologies,Advanced Hardware & Technology,Maritime Tech,B2B,$2 Mn,Pre-Series A,MGF-Kavachh,MGF-Kavachh
24 Jun 2025,Fantail,Enterprise Services,Manufacturing Solutions,B2B,$1.6 Mn,Seed,"Riverwalk Holdings, Incubate Fund Asia, All in Capital","Riverwalk Holdings, Incubate Fund Asia, All in Capital"
25 Jun 2025,Armory,Advanced Hardware & Technology,Defence Tech,B2B,$1.5 Mn,–,"growX Ventures, Industrial 47, Antler, AC Ventures, Dexter Ventures",growX Ventures
26 Jun 2025,Jobizo,Enterprise Tech,Horizontal SaaS,B2B,$1.4 Mn,Pre-Series A,"Inflection Point Ventures, Alkemi Ventures","Inflection Point Ventures, Alkemi Ventures"
24 Jun 2025,Skippi,Ecommerce,D2C,B2C,$1.4 Mn,Pre-Series A,–,–
25 Jun 2025,AuraML,Artificial Intelligence (AI),AI Infrastructure & Development,B2B,$1 Mn,pre-Seed,"Turbostart, DeVC, GSF Accelerator, Indian Angel Network",Turbostart
23 Jun 2025,Truliv,Real Estate Tech,Property Listing & Discovery,B2C,–,–,"Bennett, Coleman & Co","Bennett, Coleman & Co"
