Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
30 Jun 2025,Jumbotail,Ecommerce,Horizontal Marketplace,B2B,$120 Mn,Series D,"SC Ventures, Artal Asia",SC Ventures
30 Jun 2025,Infra.Market,Real Estate Tech,Construction,B2B,$50 Mn*,Debt,Mars Growth Capital,Mars Growth Capital
3 Jul 2025,InCred Finance,Fintech,Lending Tech,B2B,$46.8 Mn,Debt,"Morgan Stanley, Nippon Life India",–
30 Jun 2025,Eggoz,Ecommerce,D2C,B2C,$20 Mn,Series C,"Gaja Capital, IvyCap Ventures, Rebright Partners, Avaana Capital, NABVENTURES, Merisis Opportunities Fund, Arvind Thakur, S Ramadorai, Artek Chemicals, Blue Dot Capital",Gaja Capital
11 Jul 2025,AppsForBharat,Consumer Services,eDarshan Services,B2C,$20 Mn,Series C,"Susquehanna Asia VC, Fundamentum, Elevation Capital, Peak XV Partners",Susquehanna Asia VC
30 Jun 2025,Aukera,Ecommerce,D2C,B2C,$15 Mn,Series B,"Peak XV Partners, Fireside Ventures, Sparrow Capital, Prath Ventures, Alteria Capital",Peak XV Partners
1 Jul,Bambrew,Enterprise Services,Manufacturing Solutions,B2B,$10.5 Mn,Series B,"Ashok Goel, Enrission India Capital","Ashok Goel, Enrission India Capital"
1 Jul 2025,Eeki,Agritech,Market Linkage,B2B,$7 Mn,Series A,Sixth Sense Ventures,Sixth Sense Ventures
1 Jul 2025,Zango AI,Artificial Intelligence (AI),Application Layer,B2B,$4.8 Mn,Seed,"Nexus Venture Partners, South Park Commons, Notion Capital, No Label Ventures, Start Ventures",Nexus Venture Partners
3 Jul 2025,Maieutic Semiconductor,Advanced Hardware & Technology,Semiconductors,B2B,$4.2 Mn,Seed,"Endiya Partners, Exfinity Venture Partners","Endiya Partners, Exfinity Venture Partners"
3 Jul 2025,Luma Fertility,Health Tech,In-Clinic Healthcare,B2C,$4 Mn,Seed,"Peak XV, Ameera Shah, Vijay Taparia",Peak XV
3 Jul 2025,GobbleCube,Artificial Intelligence (AI),Application Layer,B2B,$3.5 Mn,Pre-Series A,"InfoEdge Ventures, Kae Capital",InfoEdge Ventures
2 Jul 2025,Loopworm,Health Tech,Lifescience,B2B,$3.3 Mn,Pre-Series A,"WaterBridge Ventures, Enrission India Capital","WaterBridge Ventures, Enrission India Capital"
2 Jul 2025,CIMware,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$2.3 Mn,Pre-Series A,Transition VC,Transition VC
30 Jun 2025,Sthyr Energy,Cleantech,Climate Tech,B2B,$1 Mn,Seed,"Speciale Invest, Antares Ventures",Speciale Invest
1 Jul 2025,Astrophel Aerospace,Advanced Hardware & Technology,Space Tech,B2B,$800K,Pre-Seed,–,–
1 Jul 2025,Lamark Biotech,Health Tech,Lifescience,B2B,$767K,Pre-Series A,"IAN Alpha Fund, Vinayender Tulla, Nita Roy, Venkataraman KNK",IAN Alpha Fund
3 Jul 2025,FitFeast,Ecommerce,D2C,B2C,$644K,Seed,"Inflection Point Ventures, Raghav Singhal, Santosh Govindaraju, Abhishek Chopra, Aabhas Khanna",Inflection Point Ventures
1 Jul 2025,Garaaz,Enteprise Tech,Vertical SaaS,B2B,$531K,Seed,GVFL,GVFL
3 Jul 2025,FES Cafe,Foodtech,QSR,B2C,$351K,Seed,Wolfpack Labs,Wolfpack Labs
4 Jul 2025,AjnaLens,Advanced Hardware & Technology,AR/VR,B2B,–,–,Lenskart,Lenskart
