Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
10 Jul 2025,Infinity Fincorp,Fintech,Lending Tech,B2B,$70 Mn*,–,Partners Group,Partners Group
9 Jul 2025,Varthana,Fintech,Lending Tech,B2B-B2C,$18.6 Mn,Debt,"BlueEarth Capital, Franklin Templeton AIF, responsAbility",–
7 Jul 2025,Khetika,Ecommerce,D2C,B2C,$18 Mn,Series B,"Narotam Sekhsaria Family Office, Anicut Capital, Incofin India Progress Fund, Rajasthan Gum, Shree Ram India Gums, SIDBI Venture Capital","Narotam Sekhsaria Family Office, Anicut Capital"
7 Jul 2025,InPrime Finserv,Fintech,Lending Tech,B2C,$6 Mn,Series A,"Pravega Ventures, Z47, InfoEdge Ventures, Kettleborough VC",Pravega Ventures
9 Jul 2025,Chai Bisket,Media & Entertainment,OTT,B2C,$5 Mn,Seed,"InfoEdge Ventures, General Catalyst, Sriharsha Majety, Nandan Reddy, Phanindra Sama, Rohit Chennamaneni, Alakh Pandey, Prateek Maheshwari, Aravind Sanka, Rishikesh SR, Pavan Guntupalli, Amar Nagaram, Rana Daggubati","InfoEdge Ventures, General Catalyst"
9 Jul 2025,Belong,Fintech,Banking,B2C,$5 Mn,Seed,"Elevation Capital, Relentless Ventures, Abhiraj Singh Bahl, Varun Khaitan, Akshant Goyal, Varun Alagh, Vineet Sethi, Aditya Sharma",Elevation Capital
10 Jul 2025,Clean Fanatics,Consumer Services,Hyperlocal Services,B2C,$2 Mn,Seed,"Inflection Point Ventures, Blume Ventures, Let’s Ventures, Trica, TiE Angels",Inflection Point Ventures
7 Jul 2025,Cookd,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"Spring Marketing Capital, Eternal Capital, Sun Icon Ventures, PeerCheque",Spring Marketing Capital
11 Jul 2025,Gramik,Agritech,Market Linkage,B2B-B2C,$2 Mn,–,"Sammaan Global Ventures, Money Creeper Investment, Gev Aryaton, Irfan Alam, Nikhil Bhagat, Salvia Siddiqui, Balram Yadav",–
9 Jul 2025,Green Aero,Advanced Hardware & Technology,Aerial Vehicles,B2B,$1.6 Mn,Seed,"pi Ventures, Antler",pi Ventures
7 Jul 2025,AMAMA,Ecommerce,D2C,B2C,$1 Mn,–,Mistry Ventures,Mistry Ventures
8 Jul 2025,WiseLife,Ecommerce,D2C,B2C,$932K,Seed,Rukam Capital,Rukam Capital
8 Jul 2025,Linkrunner,AI,Application Layer,B2B,$560K,–,"Titan Capital, 2am VC, Samir Sood",Titan Capital
7 Jul 2025,Divine Hindu,Ecommerce,D2C,B2C,$181K,Seed,"BeyondSeed, D2C Insider Super Angels, Signal Ventures",–
9 Jul 2025,Jeh Aerospace,Advanced Hardware & Technology,Aerial Vehicles,B2B,–,–,Indigo Ventures,Indigo Ventures
9 Jul 2025,LdotR,Enterprise Services,Marketing Agency,B2B,–,–,"Basil Moftah, Mark Garlinghouse, Jerry Lim, David Yu Liu, Vinay Hebbar","Basil Moftah, Mark Garlinghouse"
8 Jul 2025,Qoruz,Media & Entertainment,Creator Economy,B2B,–,Pre-Series A,Chennai Angels,Chennai Angels
