Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
16 Jul 2025,QpiAI,Advanced Hardware & Technology,Semiconductors,B2B,$32 Mn,Series A,"Avataar Ventures, National Quantum Mission","Avataar Ventures, National Quantum Mission"
16 Jul 2025,Truemeds,Healthtech,Online Pharmacy,B2C,$20 Mn,Series C,Peak XV Partners,Peak XV Partners
16 Jul 2025,Phi Commerce,Fintech,Banking,B2B,$5.9 Mn,Series B,BEENEXT,BEENEXT
16 Jul 2025,KNOT,Consumer Services,Quick Commerce,B2C,$3 Mn,Pre-Series A,"Kae Capital, Sparrow Capital, Boundless VC, Kumar Saurabh, WEH Ventures, All In Capital",Kae Capital
15 Jul 2025,Trupeer.AI,Artificial intelligence (AI),Application Layer,B2B-B2C,$3 Mn,Seed,"RTP Global, Salesforce Ventures",RTP Global
18 Jul 2025,Omspace Rocket & Exploration,Advanced Hardware & Technology,Spacetech,B2B,$3 Mn,Pre-Seed,–,–
12 Jul 2025,Vaaree**,Ecommerce,D2C,B2C,$2.1 Mn,Pre-Series A,"PeerCapital, Peak XV Surge, Sattva Family Office, Satyadharma Investments, Castle Investment, All In Capital LLP Asian Paints family office","PeerCapital, Peak XV Surge"
18 Jul 2025,CureFit,Health Tech,Fitness & Wellness,B2C,$2 Mn,–,First Luxembourg SCA,First Luxembourg SCA
17 Jul 2025,DCG Tech,Ecommerce,Horizontal Marketplace,B2C,$1.7 Mn,Pre-Series A,"GVFL, Auxano Capital",GVFL
16 Jul 2025,Zuppa,Advanced Hardware & Technology,Drone Tech,B2B,$1.5 Mn,–,"Rahul Dewan, Ajay Gupta",Rahul Dewan
16 Jul 2025,Deep Algorithm,Enterprise Tech,Horizontal SaaS,B2B,$1.3 Mn,–,Unicorn India Ventures,Unicorn India Ventures
15 Jul 2025,Dial4242,Health Tech,–,B2C,$1.1 Mn,Pre-Series A,"IAN Group, BioAngels, NSRCEL",IAN Group
16 Jul 2025,The Wedding Company,Consumer Services,Hyperlocal Services,B2C,$1 Mn,Pre-Seed,"LVX, Tremis Capital, Chaitanya Ramalingegowda, Ajith Pai, Arash Ferdowsi",LVX
15 Jul 2025,Navana.ai,Artificial intelligence (AI),Application Layer,B2B,$812K,Pre-Series A,"Antler India, Ajay Agarwal, Ronnie Screwvala, Sandeep Singhal",Antler India
14 Jul 2025,Unibose,Advanced Hardware & Technology,Robotics,B2B,$639K,Pre-Series A,"O2 Angels, IN44 Capital, Coimbatore Innovation and Business Incubator",O2 Angels
16 Jul 2025,Zulu Club,Consumer Services,Quick Commerce,B2C,$250K,Pre-Seed,TDV Partners,TDV Partners
17 Jul 2025,Parkobot,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B-B2C,$243K,Seed,Inflection Point Ventures,Inflection Point Ventures
9 Jul 2025,Enercomp**,Advanced Hardware & Technology,Drone Tech,B2B,$232K,–,–,–
15 Jul 2025,CosMoss,Ecommerce,D2C,B2C,–,Seed,Malika Sadani,Malika Sadani
17 Jul 2025,Onetab.ai,Artificial intelligence (AI),Application Layer,B2B,–,–,"Hyperscope, Elrise","Hyperscope, Elrise"
16 Jul 2025,Fire AI,Artificial intelligence (AI),Application Layer,B2B,–,Pre-Seed,Venture Catalysts,Venture Catalysts
