Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
23 Jul 2025,Gupshuup,Enterprise Tech,Horizontal SaaS,B2B,$60 Mn,–,"Globespan Capital Partners, EvolutionX Debt Capital",–
24 Jul 2025,Netrasemi,Advanced Hardware &Technology,Semiconductors,B2B,$12.4 Mn,Series A,"Zoho Corporation, Unicorn India Ventures",Zoho Corporation
24 Jul 2025,SuperK,Consumer Services,–,B2C,$11.5 Mn,Series B,"3STATE Ventures, Mithun Sacheti, Shubman Gill, Blume Ventures, Xeed Ventures",3STATE Ventures
23 Jul 2025,Kluisz.ai,Artificial Intelligence (AI),Application Layer,B2B/ B2C,$9.6 Mn,Seed,"RTP Global, Unicorn India Ventures, Blume Founders Fund, Climber Capital, Ritesh Agarwal, Ritesh Malik, Aditya Virwani",RTP Global
21 Jul 2025,EduFund,Fintech,Lendingtech,B2B,$6 Mn,Series A,"Cercano Management, MassMutual Ventures",Cercano Management
25 Jul 2025,EVeez,Travel Tech,Electric MaaS,B2B,$5.4 Mn,Series A,"Michael & Susan Dell Foundation, Caret Capital, ThinKuvate, Ev2 Ventures, Barbershop With Shantanu, SailThru Ventures, ah! Ventures",Michael & Susan Dell Foundation
24 Jul 2025,Enlite Research,Enterprise Tech,Vertical SaaS,B2B,$5.3 Mn,Series A,"Avaana Capital, Claypond Capital",Avaana Capital
23 Jul 2025,iTuring.AI,Artificial Intelligence (AI),Application Layer,B2B,$5 Mn,Series A,"Dallas Venture Capital, Mela Ventures","Dallas Venture Capital, Mela Ventures"
23 Jul 2025,Sugar Cosmetics,Ecommerce,D2C,B2C,$5 Mn,–,"Anicut Capital, Stride Ventures, L Catterton",Anicut Capital
22 Jul 2025,Escape Plan,Ecommerce,D2C,B2C,$5 Mn,Seed,"Jungle Ventures, Fireside Ventures","Jungle Ventures, Fireside Ventures"
21 Jul 2025,Hudle,Enterprise Tech,Vertical SaaS,B2B,$2.5 Mn,Series A,"Sky Impact Capital, Physis Capital, Atrium Venture, Blue Tokai, Mahesh Bhupathi, Gaurav Kapur",Sky Impact Capital
23 Jul 2025,Grexa AI,Artificial Intelligence (AI),Application Layer,B2B,$1.8 Mn,Seed,"Utsav Somani, DeVC, Bharat Founders Fund, Vernalis Capital, Revant Bhate, Vaibhav Domkundwar, Sumit Gupta, Ramakant Sharma",Utsav Somani
21 Jul 2025,ANNY,Ecommerce,D2C,B2C,$1.2 Mn,Pre-Series A,Atomic Capital,Atomic Capital
25 Jul 2025,Ammunic Systems,Advanced Hardware &Technology,Defence Tech,B2B,$1.1 Mn,Seed,"India Accelerator, Finvolve","India Accelerator, Finvolve"
23 Jul 2025,Inbound Aerospace,Advanced Hardware &Technology,Spacetech,B2B,$1 Mn,Pre-Seed,"Speciale Invest, Piper Serica",Speciale Invest
21 Jul 2025,Plenome Technologies,Enterprise Tech,Vertical SaaS,B2B,$752K,Seed,"Ovington Capital Partners, AADI, Manish Gandhi",Ovington Capital Partners
24 Jul 2025,Bharatsure,Fintech,Fintech SaaS,B2B,$694K,–,"Inflection Point Ventures, Capital A, Atrium Angels",Inflection Point Ventures
22 Jul 2025,ApClub,Consumer Services,Hyperlocal Services,B2C,$231K,Pre-Seed,"Curefit, Pranay Jivrajka",Curefit
23 Jul 2025,Coluxe,Ecommerce,D2C,B2C,–,–,"Startup Sherpas, Ajai Chowdhry, Tej Kapoor, Sairee Chahal, Kunal Chowdhry, Rachin Dewan, Kunal Milwani",–
22 Jul 2025,Magma,Enterprise Services,Manufacturing Solutions,B2B,–,–,GVFL Limited,GVFL Limited
24 Jul 2025,Roast Foods,Ecommerce,D2C,B2C,–,–,Pagariya Exports Pvt Ltd,Pagariya Exports Pvt Ltd
22 Jul 2025,KlugKlug,Enterprise Services,Marketing Agency,B2B,–,–,–,–
