Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
31 Jul 2025,Safe Security,Enterprise Tech,Horizontal SaaS,B2B,$70 Mn,Series C,"Avataar Venture Partners, Susquehanna Asia Venture Capital, NextEquity Partners, Prosperity7 Ventures, Eight Roads, John Chambers, Sorenson Capital",Avataar Venture Partners
31 Jul 2025,Metaforms,AI,Application Layer,B2B,$9 Mn,Series A,"Peak XV Partners, Nexus Venture Partners, Together Fund",Peak XV Partners
31 Jul 2025,STAN,Media & Entertainment,Gaming,B2C,$8.5 Mn,Series A,"Bandai Namco, Square Enix, Reazon Holdings, Google, Aptos Labs, General Catalyst, GFR Fund, T-Accelerate Capital, Pix Capital",–
31 Jul 2025,Arivihan,Edtech,Digital Learning Platform,B2C,$4.2 Mn,Pre-Series A,"Prosus, Accel, GSF Investors","Prosus, Accel"
29 Jul 2025,Sharpsell.ai,Enterprise Tech,Horizontal SaaS,B2B,$3.4 Mn,Series A,"Equentis Angel Fund, Cornerstone Venture Partners, Mistry Ventures",Equentis Angel Fund
28 Jul 2025,Drizz,AI,Application Layer,B2B,$2.7 Mn,Seed,"Stellaris Venture Partners, Shastra VC, Anuj Rathi, Vaibhav Domkundwar","Stellaris Venture Partners,"
30 Jul 2025,Littlebox,Ecommerce,D2C,B2C,$2.1 Mn,Seed,"Huddle Ventures, Prath Ventures","Huddle Ventures, Prath Ventures"
31 Jul 2025,Snooplay,Ecommerce,D2C,B2C,$916K,Pre-Series A,Pravek Family Office,Pravek Family Office
29 Jul 2025,Zepto,Consumer Services,Quick Commerce,B2C,$857K,–,Elcid Investments,Elcid Investments
31 Jul 2025,Heizen,Enterprise Services,Consulting,B2B,$500K,Pre-Seed,"Titan Capital, Varun Alagh, Abhishek Goyal",Titan Capital
29 Jul 2025,Passprt Trips,Travel Tech,Booking Services,B2C,$500K,Pre-Seed,Aroa Venture Partners,Aroa Venture Partners
30 Jul 2025,ILine,Logistics,Shipping & Delivery,B2B,$500K,–,–,–
29 Jul 2025,Genexis Biotech,Health Tech,Lifescience,B2B,$457K,Seed,"GVFL, Benzai10",GVFL
30 Jul 2025,Vahan.ai,AI,Application Layer,B2B,–,–,Temasek,Temasek
