Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
11 Aug 2025,Truemeds,Healthtech,Online Pharmacy,B2C,$65 Mn*,Series C,"Accel, Peak XV Partners, WestBridge Capital, Info Edge Ventures",–
12 Aug 2025,Zepto,Consumer Services,Quick Commerce,B2C,$45.7 Mn,–,Motilal Oswal Financial Services Ltd,Motilal Oswal Financial Services Ltd
14 Aug 2025,Darwinbox,Enterprise Tech,HR Tech,B2B,$40 Mn*,–,Ontario Teachers’ Pension Plan,Ontario Teachers’ Pension Plan
12 Aug 2025,Ultraviolette,Cleantech,Electric Vehicles,B2C,$21 Mn,–,TDK Ventures,TDK Ventures
14 Aug 2025,Arintra,Enterprise Tech,Vertical SaaS,B2B,$21 Mn,Series A,"Peak XV Partners, Endeavor Health Ventures, Y Combinator, Counterpart Ventures, Spider Capital, Ten13",Peak XV Partners
12 Aug 2025,Dashverse,Media & Entertainment,Digital Content,B2C,$13 Mn,Series A,"Peak XV Partners, Z47, Stellaris Venture Partners",Peak XV Partners
14 Aug 2025,Lifelong Online,Ecommerce,D2C,B2C,$13 Mn,–,"Sunil Kant Munjal, Tanglin Ventures",–
12 Aug 2025,Pronto,Consumer Services,Hyperlocal Services,B2C,$11 Mn,Series A,"General Catalyst, Glade Brook Capital, Bain Capital Ventures","General Catalyst, Glade Brook Capital"
12 Aug 2025,Elivaas,Travel Tech,Accomodation,B2C,$10 Mn,Series B,"Vertex Ventures, Peak XV Partners (Surge), 3one4 Capital",Vertex Ventures
11 Aug 2025,Graas.ai,Artificial Intelligence (AI),Application Layer,B2B,$9 Mn,Series B,"Tin Men Capital, Incred Wealth, Orzon, Integra Partners, Yuj Ventures",Tin Men Capital
13 Aug 2025,Refold AI,Artificial Intelligence (AI),Application Layer,B2B,$6.5 Mn,Seed,"Eniac Ventures, Tidal Ventures, Better Capital, Ahead VC, Karman Ventures, Z21","Eniac Ventures, Tidal Ventures"
13 Aug 2025,Olee Space,Advanced Hardware & IoT,Spacetech,B2B,$3 Mn,Seed,Rockstud Capital,–
12 Aug 2025,Holiday Tribe,Travel Tech,Booking Services,B2C,$3 Mn,Pre-Series A,"Powerhouse Ventures, GSF",Powerhouse Ventures
12 Aug 2025,Fairdeal.Market,Ecommerce,Horizontal Marketplace,B2B,$3 Mn,Pre-Series A,"Incubate Fund Asia, Waterbridge Ventures",Incubate Fund Asia
12 Aug 2025,Manastu Space Technologies,Advanced Hardware & IoT,Spacetech,B2B,$3 Mn,Series A,"Capital-A, Capital 2B, Indian Angel Network, E2MC, Bhagnani family office",Capital-A
13 Aug 2025,Comminent,Advanced Hardware & IoT,Internet Of Things (IoT) & Hardware,B2B,$2 Mn,–,Transition VC,Transition VC
12 Aug 2025,Spike AI,Artificial Intelligence (AI),Application Layer,B2B,$1.9 Mn,Pre-Seed,"Sorin Investments, Principal Venture Partners, GSI",Sorin Investments
12 Aug 2025,Trackk,Fintech,Investment Tech,B2C,$1 Mn,Seed,"Mga Ventures, GSF Ventures, GNP Group, Paras Defence",–
