Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
28 Aug 2025,TransBnk,Fintech,Fintech SaaS,B2B,$25 Mn,Series B,"Bessemer Venture Partners, Arkam Ventures, Fundamentum Partnership, 8i Ventures, Accion Venture Labs, GMO Venture Partners",Bessemer Venture Partners
25 Aug 2025,Altum Credo,Fintech,Lending Tech,B2B-B2C,$19.4 Mn,–,British International Investment,British International Investment
25 Aug 2025,CredRight,Fintech,Lending Tech,B2B,$10 Mn,Series B,"Abler Nordic, Michael & Susan Dell Foundation, Unleash Capital",Abler Nordic
25 Aug 2025,WizCommerce,Enteprise Tech,Vertical SaaS (Ecommerce),B2B,$8 Mn,Series A,"Peak XV Partners, Blume Ventures, Z47, Alpha Wave",Peak XV Partners
29 Aug 2025,Vutto,Ecommerce,Vertical Marketplace,B2C,$7 Mn,Series A,"RTP Global, Blume Ventures",RTP Global
25 Aug 2025,Palmonas,Ecommerce,D2C,B2C,$6.2 Mn,Series A,Vertex Ventures Southeast Asia & India,Vertex Ventures Southeast Asia & India
25 Aug 2025,Enmovil,Logistics,Logistics SaaS,B2B,$6 Mn,Series A,"Sorin Investments, Capria Ventures, Twynam",Sorin Investments
26 Aug 2025,Peeko,Consumer Services,Quick Commerce,B2C,$3.2 Mn,Seed,"Stellaris Venture Partners, Lightspeed partner Maninder Gulati, Abhishek Goyal, Nitin Gupta, Arjun Vaidya, Kunal Bahl, Rohit Bansal",Stellaris Venture Partners
26 Aug 2025,Matiks,Media & Entertainment,Gaming,B2C,$3.1 Mn,Pre-Series A,"Tanglin Ventures, Info Edge Ventures, Aman Gupta, Gaurav Munjal, Roman Saini, Anil Goteti",Tanglin Ventures
25 Aug 2025,Wastelink,Cleantech,Climate Tech,B2B,$3 Mn,Series A,Avaana Capital,Avaana Capital
26 Aug 2025,Harajuku Tokyo Cafe,Fooddtech,QSR,B2C,$2 Mn,Seed,"Indian Angel Network, Samved VC, LetsVenture, Capitar Ventures",Indian Angel Network
27 Aug 2025,Cumin Co,Ecommerce,D2C,B2C,$1.5 Mn,–,"Fireside Ventures, Huddle Ventures",Fireside Ventures
27 Aug 2025,Anmasa,Ecommerce,D2C,B2C,$1.1 Mn,Pre-Seed,"Chris Kolenaty, Veltis Capital, Blume Ventures, Indigram Labs Foundation",–
25 Aug 2025,Nugen,Artificial Intelligence,Application Layer,B2B,$1 Mn,Pre-Seed,Antler,Antler
25 Aug 2025,Vaave,Enteprise Tech,Horizontal SaaS,B2B,$748K,–,"VCMint, Raj Narayanam",VCMint
26 Aug 2025,Hexafun,Ecommerce,D2C,B2C,$510K,Seed,Prajay Advisors,Prajay Advisors
27 Aug 2025,Nuyug,Ecommerce,D2C,B2C,$283K,Pre-Seed,AJVC,AJVC
27 Aug 2025,BhaoBhao,Consumer Services,Hyperlocal Services,B2C,$200K,–,–,–
