Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
2 Sep 2025,CityMall,Ecommerce,Marketplace,B2B-B2C,$47 Mn,Series D,"Accel, Waterbridge Ventures, Citius, General Catalyst, Elevation Capital, Norwest Venture Partners, Jungle Ventures",Accel
3 Sep 2025,Seekho,Media & Entertainment,OTT,B2C,$28 Mn,Series B,"Bessemer Venture Partners, Goodwater Capital, Lightspeed Venture Partners, Elevation Capital",Bessemer Venture Partners
1 Sep 2025,Blue Tokai Coffee Roasters,Ecommerce,D2C,B2C,$25 Mn,–,"A91 Partners, Anicut, Verlinvest, 12 Flags",–
4 Sep 2025,FirstClub,Consumer Services,Quick Commerce,B2C,$23 Mn,Series A,"Accel, RTP Global, Blume, 2am VC, Paramark Ventures, Aditya Birla Ventures","Accel, RTP Global"
4 Sep 2025,Colive,Real Estate Tech,Property Listing & Discovery,B2C,$20 Mn,Series B,"Bain Capital, Sattva Group",Bain Capital
2 Sep 2025,Offgrid Energy,Clean Tech,Climate Tech,B2B,$15 Mn,Series A,"Archean Chemicals Industries, Ankur Capital",Archean Chemicals Industries
4 Sep 2025,Reveal Healthtech,AI,Application Layer (Health Tech),B2B,$7.2 Mn,Series A,"Leo Capital, Sanos Capital",Leo Capital
3 Sep 2025,PlatinumRx,Health Tech,Online Pharmacy,B2C,$6 Mn,Series A,"Stellaris Venture Partners, India Quotient",Stellaris Venture Partners
2 Sep 2025,LeafyBus,Travel Tech,Transport Tech,B2C,$4.1 Mn,Pre-Series A,"Enetra India, Impact Capital Asia Management",Enetra India
2 Sep 2025,Tuco Kids,Ecommerce,D2C,B2C,$4 Mn,Series A,"RTP Global, MG Investments, Whiteboard Capital, Fireside Ventures",RTP Global
4 Sep 2025,FlexifyMe,Health Tech,Telemedicine,B2C,$2.3 Mn,Pre-Series A,"IvyCap Ventures, Signal Ventures",IvyCap Ventures
4 Sep 2025,AutoDukan,Ecommerce,Vertical Marketplace,B2C,$1 Mn,Pre-Series A,"Rohit Goyal (managing partner, Windrose Capital), Raghu Venkatraman (Angel Investor)",–
4 Sep 2025,House of Zelena,Ecommerce,D2C,B2C,$793K,Seed,"Sprout Venture Partners, M Venture Partners, GSF","Sprout Venture Partners, M Venture Partners"
1 Sep 2025,Cuzor,Ecommerce,D2C,B2C,$566K,Seed,"Ramesh Kannan (MD, Kaynes Technology)","Ramesh Kannan (MD, Kaynes Technology)"
4 Sep 2025,RxMen,Health Tech,Telemedicine,B2C,$566K,Seed,"Inflection Point Ventures, Family Ventures, Ankit Goel (More Retail), Seven Square Ventures, Prosus (Grant)",Inflection Point Ventures
4 Sep 2025,QuantE Energy,Clean Tech,Climate Tech,B2B,$500K,Seed,"Trillion Dollar Venture Partners, Raghunandan G (founder, Zolve), Amit Lakhotia (founder, Park+) Ankit Gupta (ex-CEO, OYO), Hari Krishnan Nair (cofounder, Great Learning)",Trillion Dollar Venture Partners
5 Sep 2025,Dectrocel,Health Tech,Diagnostics,B2B,$453K,–,"BioAngels (IAN Group), PadUp Ventures, Vinners",BioAngels (IAN Group)
2 Sep 2025,Zanskar,Ecommerce,D2C,B2C,$317K,Seed,"Zeropearl VC, Pawan Gupta (founder, Fashinza), Amit Baid (managing partner, 10X Growth Ventures), Nidhish Mundra (SVP, Oaktree Capital)",Zeropearl VC
3 Sep 2025,Waterscience,Ecommerce,D2C,B2C,$159K,–,Valar Ventures,Valar Ventures
3 Sep 2025,Edgehax,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B-B2C,$158K,Seed,Inflection Point Ventures,Inflection Point Ventures
