Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
8 Sep 2025,Flipspaces,Real Estate Tech,Real Estate Services,B2B,$9 Mn*,Series C,"CE-Invests, Panthera Growth Partners, SMBC Asia Rising Fund",–
8 Sep 2025,Indrajaal,Advanced Hardware & Technology,Defence Tech,B2B,$5.5 Mn,Pre-Series A,"India Accelerator, Finvolve","India Accelerator, Finvolve"
10 Sep 2025,Presolv360,Enterprise Services,–,B2B,$4.7 Mn,Series A,"Elevation Capital, MGA Ventures","Elevation Capital, MGA Ventures"
9 Sep 2025,Indigrid Technology,Enterprise Services,Manufacturing Solutions,B2B,$4 Mn,–,Cactus Partners,Cactus Partners
11 Sep 2025,Ember,Ecommerce,D2C,B2C,$3.2 Mn,Seed,"Yoga Bar cofounder Suhasini Sampath (cofounder, Yoga Bar), Apurva Salarpuria (MD, Salarpuria Group)",–
10 Sep 2025,Asaya,Ecommerce,D2C,B2C,$3.2 Mn,Pre-Series A,"RPSG Capital, OTP Ventures, Huddle Ventures, Suyash Saraf (cofounder, Dot & Key), Anisha Agarwal Saraf (cofounder, Dot & Key)",RPSG Capital
11 Sep 2025,Inamo,Enterprise Services,–,B2B,$3 Mn,Seed,"Shastra VC, Antler India, Gemba Capital, Scope Promoters",Shastra VC
11 Sep 2025,WeHouse,Real Estate Tech,Construction,B2C,$2.8 Mn,Series A,"Anthill Ventures, Suresh Babu Daggubati (Telugu film producer), Gaurav Marya (founder, Franchise India Holdings), Mohnish Yerra (founder,Leaders For India)",–
10 Sep 2025,EndureAir Systems,Advanced Hardware & Technology,Aerial Vehicles,B2B,$2.8 Mn,–,Indian Angel Network,Indian Angel Network
11 Sep 2025,Snap-E-Cabs,Travel Tech,Booking Services,B2C,$2.5 Mn,–,"Inflection Point Ventures, Shish Kharesiya (founder, Beybee), Praveen Chand (director, The Empire Estates), Jaspreet Kaur (director, JIS Group)",Inflection Point Ventures
9 Sep 2025,Aurva,Enterprise Tech,Horizontal SaaS,B2B,$2.2 Mn,Seed,"Nexus Venture Partners, DeVC, Chris Bream (ex-director, Meta), Rahul Sood (CPO, Pindrop), Ankit Sobti (cofounder, Postman), Abhinav Asthana (cofounder, Postman)",Nexus Venture Partners
11 Sep 2025,BacAlt Biosciences,Health Tech,Lifescience,B2B,$2 Mn,Pre-Seed,"Avaana Capital, Lubrizol InnoVentures",Avaana Capital
11 Sep 2025,PeakAmp,Clean Tech,Electric Vehicles,B2B,$1.4 Mn,Seed,"Caret Capital, IIM Ahmedabad Ventures, Basant Sharma (senior consultant, TCS)",Caret Capital
12 Sep 2025,FarmDidi,Ecommerce,D2C,B2C,$793K,Seed,"Samved Ventures, LetsVenture, Indigram Labs, IIM Calcutta Innovation Park",Samved Ventures
9 Sep 2025,Prowrrap,Enterprise Services,–,B2B,$453K,Pre-Series A,"Calance Software, Amit Govil (chairman, Calance Corporation)","Calance Software, Amit Govil (chairman, Calance Corporation)"
11 Sep 2025,Biokraft Foods,Clean Tech,Climate Tech (Biotechnology),B2C,$227K,Seed,GVFL,GVFL
8 Sep 2025,Misfits,Ecommerce,D2C,B2C,–,Seed,"Nu Ventures, Subba Rao Telidevara (angel investor), Bijoy Daga (MD, Turiya Advisory Services)",Nu Ventures
9 Sep 2025,TraqCheck,AI,Application Layer,B2B,–,–,"Alok Oberoi (chairman, Everstone Capital), Siddharth Mehta (founder, Bay Capital), Sivaramakrishnan S. Iyer (advisor, Bay Capital)","Alok Oberoi (chairman, Everstone Capital), Siddharth Mehta (founder, Bay Capital)"
