Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
18 Sep 2025,Infra.Market,Real Estate Tech,Construction,B2B,$83 Mn,Series G,"Silverline Homes Pvt Ltd, NK Squared, Tiger Global, Accel, Nexus",–
17 Sep 2025,EvoluteIQ,Enterprise Tech,Horizontal SaaS,B2B,$53 Mn,–,Baird Capital,Baird Capital
17 Sep 2025,FinBox,Fintech,Fintech SaaS,B2B,$40 Mn,Series B,"WestBridge Capital, A91 Partners, Aditya Birla Ventures",WestBridge Capital
19 Sep 2025,Blue Energy Motors,Clean Tech,Electric Vehicles,B2B,$30 Mn,–,"Nikhil Kamath (Cofounder, Zerodha), Omnitex Industries","Nikhil Kamath (Cofounder, Zerodha), Omnitex Industries"
16 Sep 2025,InCred Money,Fintech,Investment Tech,B2C,$30 Mn,–,"Ranjan Pai (Chairman, Manipal Group), Ram Nayak (Ex-Investment Bank Head, Deutsche Bank), Mankind Family Office",–
17 Sep 2025,EcoSoul,Ecommerce,D2C,B2C,$20 Mn*,Series B,"Accel, Bajaj Financial Securities, StartupXseed Ventures, JSW Ventures, CK Birla Group, Singh Capital Partner, Alteria Capital, SIDBI","Accel, Bajaj Financial Securities"
16 Sep 2025,Indkal,Ecommerce,D2C,B2C,$20 Mn,–,Aries Opportunities Fund,–
17 Sep 2025,Scalekit,AI,Application Layer,B2B,$5.5 Mn,Seed,"Together Fund, Z47, Adam Frankl (US-based Angel Investor), Oliver Jay (MD, OpenAI), Jagadeesh Kunda (Cofounder, Oleria Security)","Together Fund, Z47"
17 Sep 2025,Lucira,Ecommerce,D2C,B2C,$5.5 Mn,Seed,"Blume Ventures, Spring Marketing Capital, SiriusOne Capital",Blume Ventures
18 Sep 2025,SpaceFields,Advanced Hardware & Technology,Space Tech,B2B,$5 Mn,Pre-Series A,"Globaz Technologies, Rockstud Capital, Venture Catalysts, Rainmatter, Burla Angel Network, Faad Capital, SIDBI, O2 Angels, MeitY Startup Hub",Globaz Technologies
17 Sep 2025,Pelocal,Fintech,Banking,B2B,$5 Mn,Series A,"UNLEASH Capital Partners, Unicorn India Ventures","UNLEASH Capital Partners, Unicorn India Ventures"
16 Sep 2025,iDO Devices,Ecommerce,D2C,B2C,$4 Mn,–,"Blume Ventures, Merak Ventures","Blume Ventures, Merak Ventures"
15 Sep 2025,Pascal AI Labs,AI,Application Layer,B2B,$3.1 Mn,Seed,"Kalaari Capital, Norwest Venture Partners, Info Edge Ventures, Antler",Kalaari Capital
19 Sep 2025,Equilibrium,Clean Tech,Climate Tech,B2B,$3 Mn,Seed,"Kalaari Capital, Peak XV Partners, Avaana Capital",–
19 Sep 2025,INCLUD,Ecommerce,D2C,B2C,$2.9 Mn,Pre-Series A,"3one4 Capital, Incubate Fund Asia",3one4 Capital
19 Sep 2025,Blinkit-AI,AI,Application Layer,B2B,$1.2 Mn,Seed,Foliflex Cables,Foliflex Cables
17 Sep 2025,Supply6,Ecommerce,D2C,B2C,$1.1 Mn,Seed,"Zeropearl VC, Kunal Shah (Founder, CRED), Ashutosh Valani (Cofounder, Beardo), Priyank Shah (Cofounder, Renee Cosmetics), Yogesh Kabra (Founder, XYXX)",Zeropearl VC
11 Sep 2025,UGX.ai**,AI,Application Layer,B2B,$1 Mn,Seed,"Blue Ocean Venture Partners, DeVC, iSeed, Atrium Ventures, Point One Capital, Ramakant Sharma (Founder & CEO, Livspace), Prateek Maheshwari (Cofounder, PhysicsWallah), Lovleen Bhatia (Cofounder, Edureka), Meghna Agarwal (Cofounder, IndiQube), Varun Pahwa (Pahwa Group), Asad Khan (Cofounder & CEO, LambdaTest), Dinesh Prasad (ex-India & SA Head, Qualcomm), Sai Yagnyamurthy (ex-Head of Partnerships, Ford Motor Company), Gopi Prashant (ex-SVP – AI, Salesforce), Shekhar Vemuri (Founder, Emerge-In), Manish Agarwal (Co-Founder, KGeN)",Blue Ocean Venture Partners
16 Sep 2025,PlaySuper,Media & Entertainment,Gaming,B2B,$1 Mn,Seed,"Chimera, Audacity VC, India Angel Network, Dhruv Vohra (Managing Director – APAC Emerging Markets, Meta)",Chimera
19 Sep 2025,Wankel Energy Systems,Clean Tech,Climate Tech,B2B,$1 Mn,Pre-Seed,Shastra VC,Shastra VC
15 Sep 2025,MyNaksh,Consumer Services,Astrology Services,B2C,$852K,Pre-Seed,"Eximius Ventures, Gemba Capital",Eximius Ventures
16 Sep 2025,uKnowva,Enterprise Tech,Horizontal SaaS,B2B,$500K,Pre-Series A,"Parv Network, Growth 91, Aapna Infotech",–
18 Sep 2025,Raptee.HV,Clean Tech,Electric Vehicles,B2C,–,–,Technology Development Board (Ministry of Science & Technology),Technology Development Board (Ministry of Science & Technology)
