Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
29 Sep 2025,Kapiva,Ecommerce,D2C,B2C,$60 Mn**,Series D,"360 ONE Asset, Vertex Growth, Vertex Ventures, 3one4 Capital","360 ONE Asset, Vertex Growth"
29 Sep 2025,Recur Club,Fintech,Lending Tech,B2B,$50 Mn*,–,"InfoEdge Ventures, LC Nueva, Physis Capital, String Ventures, iA Finvolve, Incred, Ugro, Lighthouse Canton",–
29 Sep 2025,Petpooja,Enterprise Tech,Horizontal SaaS,B2B,$15.4 Mn**,–,"Dharana Capital, Ashish Gupta (Helion Ventures), Abhiraj Singh Bhal (Urban Company), Varun Khaitan (Urban Company), Raghav Chandra (Urban Company), Mukund Kulashekaran (Urban Company)",Dharana Capital
29 Sep 2025,Hocco,Ecommerce,D2C,B2C,$12.9 Mn,–,Sauce.VC,Sauce.VC
30 Sep 2025,Assessli,AI,Application Layer,B2B,$5 Mn,–,Foxhog Ventures,Foxhog Ventures
30 Sep 2025,Ignosis,Fintech,Fintech SaaS,B2B,$4 Mn,Pre-Series A,"Peak XV Partners (Surge), Razorpay Ventures, Force Ventures, Kunal Shah (CRED)",Peak XV Partners (Surge)]
30 Sep 2025,Fyno,Enterprise Tech,Horizontal SaaS,B2B,$4 Mn,–,"Arkam Ventures, 3one4 Capital","Arkam Ventures, 3one4 Capital"
30 Sep 2025,VAMA,Consumer Services,eDarshan Services,B2C,$2.5 Mn,Pre-Series A,"Wavemaker Partners, 500 Global, Sadev Ventures, Venture Catalysts, Silverneedle Ventures, Alok Nanavaty (Centrum International Services), Harit Nagpal (Tata Play), Swati Parikh (Angel), Mahesh Kamdar (Angel)",Wavemaker Partners
30 Sep 2025,Climaty AI,AI,Application Layer,B2B,$2 Mn,–,Turbostart,Turbostart
30 Sep 2025,Unmannd,Advanced Hardware & Technology,Defence Tech,B2B,$2 Mn,Pre-Seed,"Speciale Invest, Accel","Speciale Invest, Accel"
30 Sep 2025,Plazza,Consumer Services,Quick Commerce,B2C,$1.4 Mn,–,"All In Capital, Better Capital, Abhishek Goyal (Tracxn), Singhania family office","All In Capital, Better Capital"
29 Sep 2025,Vaani AI,AI,Application Layer,"B2B, B2C",$400K,Pre-Seed,"Venture Catalysts, Dr Abhishek Sharma (Meta’s SuperIntelligence team), Dr Viveka Kulharia (MoonValley), Shashikant Chaudhary (ex-GlobalLogic), Ejaz Ahmed (Meta Reality Labs), Nikhil Tripathi (Bijak), Uday Sodhi (ex-Sony Pictures India), KK Venkata (Oliver Wyman), Swapnil Sheth (IndigoEdge), Michele Barbazza (VAT Group)",Venture Catalysts
30 Sep 2025,SuperFam,Consumer Services,–,B2C,$400K,Pre-Seed,"Fundamental VC, Untitled Ventures, SSV Fund",Fundamental VC
1 Oct 2025,Mishmash Naturals,Ecommerce,D2C,B2C,$270K,Pre-Seed,"Inflection Point Ventures, IIT Delhi Angels Network, Nihit Jain (MakeMyTrip), Rahul Anurag (Voltas), Kamlakar Rao (BCG), Piyush Kumar (Urban Vault), Riddhi Verma Ayyagari (Baby-Led Weaning India), Anurag Tayal (Google)",Inflection Point Ventures
