Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
16 Oct 2025,Zepto,Consumer Services,Quick Commerce,B2C,$450 Mn*,–,"California Public Employees Retirement System, Avenir, Avra, Lightspeed, Glade Brook, Stepstone Group, Nexus Venture Partners",California Public Employees Retirement System
16 Oct 2025,Kuku FM,Media & Entertainment,OTT,B2C,$85 Mn,Series C,"Granite Asia, Vertex Growth Fund, Krafton, International Finance Corporation, Paramark, Tribe Capital India, Bitkraft",Granite Asia
17 Oct 2025,EKA Mobility,Clean Tech,Electric Vehicles,B2B,$56.9 Mn,–,National Investment and Infrastructure Fund,National Investment and Infrastructure Fund
13 Oct 2025,Dezerv,Fintech,Investment Tech,B2C,$39.4 Mn,Series C,"Premji Invest, Accel, Elevation Capital, Z47","Premji Invest, Accel"
14 Oct 2025,HouseEazy,Real Estate Tech,Property Listing & Discovery,B2C,$16.9 Mn,Series B,"Accel, Chiratae Ventures, Antler",Accel
14 Oct 2025,SpeakX,Edtech,Digital Learning Platform,B2C,$16 Mn,Pre-Series B,"WestBridge Capital, Goodwater Capital, Elevation Capital, Ronnie Screwvala (cofounder, upGrad), Shyamal Anadkat (executive, OpenAI)",WestBridge Capital
13 Oct 2025,GoodScore,Fintech,Lending Tech,B2C,$13 Mn,Series A,"Peak XV Partners, Stellaris Venture Partners, Saison Capital",Peak XV Partners
13 Oct 2025,Two Brothers Organic Farms,Ecommerce,D2C,B2C,$12.4 Mn,Series B,"360 ONE Asset, Rainmatter, Narotam Sekhsaria Family Office, Rahul Garg (managing partner, IGNITE Growth Solutions)",360 ONE Asset
14 Oct 2025,Airbound,Advanced Hardware & Technology,Aerial Vehicles,"B2B, B2G",$8.7 Mn,Seed,"Lachy Groom (founder, Physical Intelligence), Humba Ventures, Lightspeed",Lachy Groom
13 Oct 2025,smallest.ai,AI,Application Layer,B2B,$8 Mn,Seed,"Sierra Ventures, 3one4 Capital, Better Capital, Upsparks Capital, Schema Ventures, DeVC, peercheque, Mission Street Capital, Boris Wertz (founder, Version One Ventures), Raveen Sastry (founding partner, Multiply Ventures), Shyamal Hitesh Anadkat (applied AI, OpenAI)",Sierra Ventures
13 Oct 2025,Chara Technologies,Clean Tech,Electric Vehicles,B2B,$5.8 Mn,Series A,"Arkam Ventures, IIMA Ventures, Exfinity Venture Partners, Kalaari Capital",Arkam Ventures
15 Oct 2025,Matters.AI,AI,Application Layer,B2B,$4.7 Mn,Seed,"Kalaari Capital, Endiya Partners, Better Capital, Carya Venture Partners","Kalaari Capital, Endiya Partners"
16 Oct 2025,Graph AI,AI,Application Layer,B2B,$3 Mn,Seed,Bessemer Venture Partners,Bessemer Venture Partners
14 Oct 2025,Airoclip,Media & Entertainment,Gaming,B2C,$2.8 Mn,Seed,"T-Accelerate Capital, Centre Court Capital, BITKRAFT Ventures","T-Accelerate Capital, Centre Court Capital, BITKRAFT Ventures"
17 Oct 2025,HooLiv,Real Estate Tech,Property Listing & Discovery,B2C,$2.7 Mn,Pre-Series A,Negen Capital,Negen Capital
15 Oct 2025,Fragaria,Agritech,Modern Farming,B2B,$2 Mn,Seed,"WEH Ventures, Rainmatter, Spiral Ventures, Sashi Kumar (founder, Akshayakalpa Organic)",WEH Ventures
19 Oct 2025,Fundamento,AI,Application Layer,B2B,$1.9 Mn,Pre-Series A,"IIFL, The Players Fund, Venture Catalysts, Lead Invest, Epic Angels",–
13 Oct 2025,Without,Clean Tech,Climate Tech,"B2B, B2C",$1.9 Mn,Seed,"Rewilding Wealth, Spectrum Impact, Dia Mirza (Actor), Veena More (ex-Unilever exec), Vishwanath Ramarao (cofounder, Acko)",Rewilding Wealth
16 Oct 2025,Dashamlabs,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$1.4 Mn,Seed,"Speciale Invest, IIMA Ventures",Speciale Invest
15 Oct 2025,Consuma,AI,Application Layer,B2B,$1.3 Mn,Seed,"Equirus InnovateX, Abhishek Goyal (cofounder, Tracxn), Mekin Maheshwari (ex-CPO, Flipkart), Bhavik Dholakia (founder, Swatantra Wealth), Harsh Shah (founder, Fynd), Arnav Kumar (founder, Leap Finance), Shiv Kapoor (VP, Titan Capital), Biswa Kalyan Rath (Comedian)",Equirus InnovateX
15 Oct 2025,Currently,Media & Entertainment,Social Networking Platform,B2C,$1 Mn,–,"Aarvi Family Office LLP, LJ Knowledge Foundation, Dhruv Patel (angel investor), Pratik Patel (angel investor), Neerav Dad (founder, FinFirst), Arpit Patel (angel investor), Priyank Parmar (angel investor)",Aarvi Family Office LLP
15 Oct 2025,RARA Barefoot,Ecommerce,D2C,B2C,$500K,Pre-Seed,"Prashant Tandon (cofounder, Tata 1mg), Akshat Babbar (managing director, ChrysCapital)",–
14 Oct 2025,Orange Sugar,Ecommerce,D2C,B2C,$455K,Pre-Seed,"Consumer Collective by Atrium, Ramakant Sharma (cofounder, Livspace), Saurabh Jain (cofounder, Livspace), Srivatsan Chari (cofounder, Cleartax), Kunal Mahipal (cofounder, Onsitego) Meghana Agarwal (cofounder, Indiqube) Sunil Khaitan (MD & Head of India Capital Solutions Group, Goldman Sachs)","Consumer Collective by Atrium, Ramakant Sharma (cofounder, Livspace), Saurabh Jain (cofounder, Livspace), Srivatsan Chari (cofounder, Cleartax), Kunal Mahipal (cofounder, Onsitego) Meghana Agarwal (cofounder, Indiqube) Sunil Khaitan (MD & Head of India Capital Solutions Group, Goldman Sachs)"
