Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
6 Nov 2025,Giga,AI,Application Layer,B2B,$61 Mn,Series A,"Redpoint Ventures, Y Combinator, Nexus Venture Partners",Redpoint Ventures
5 Nov 2025,Spacewood Furnishers,Ecommerce,D2C,B2C,$33.8 Mn,–,A91 Partners,A91 Partners
7 Nov 2025,Miko Robotics,Advanced Hardware & Technology,Robotics,B2C,$10 Mn,–,iHeartMedia,iHeartMedia
7 Nov 2025,Agnikul Cosmos,Advanced Hardware & Technology,Spacetech,B2B,$7.6 Mn**,–,"Advenza Global Limited, Atharva Green Ecotech, Pratithi Investments",Advenza Global Limited
4 Nov 2025,Zynk,Fintech,Banking,B2B,$5 Mn,Seed,"Hivemind Capital, Coinbase Ventures, Transpose Platform VC, Polymorphic Capital, Tykhe Ventures",Hivemind Capital
5 Nov 2025,StackBOX,Logistics,Logistics Process Solutions,B2B,$4 Mn,–,Enrission India Capital,Enrission India Capital
5 Nov 2025,BabyOrgano,Ecommerce,D2C,B2C,$2.3 Mn,Pre-Series A,"RPSG Capital Ventures, Sauce.vc",RPSG Capital Ventures
6 Nov 2025,MeshDefend,AI,AI Infrastructure & Development,B2B,$2.3 Mn,Pre-Seed,"Kalaari Capital, Kettleborough VC",Kalaari Capital
6 Nov 2025,ULOOK,Advanced Hardware & Technology,Spacetech,B2B,$2.1 Mn,Seed,"growX ventures, Info Edge Ventures","growX ventures, Info Edge Ventures"
6 Nov 2025,Game State Labs,AI,Application Layer,B2B,$2 Mn,Seed,"PeerCapital, Neon Fund","PeerCapital, Neon Fund"
4 Nov 2025,Protouch,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"GVFL, Enrission India Capital, Anicut Capital",GVFL
4 Nov 2025,QuickAds,AI,Application Layer,B2B,$1.7 Mn,–,Kae Capital,Kae Capital
6 Nov 2025,The Artment,Ecommerce,D2C,B2C,$1.1 Mn,Pre-Series A,"Inflection Point Ventures, Siyaram Family Office, ESV, Capitar Ventures",Inflection Point Ventures
4 Nov 2025,Tsalla Aerospace,Advanced Hardware & Technology,Spacetech,B2B,$1 Mn,–,"Sunny Stalnaker (ASML), SIDBI",Sunny Stalnaker
5 Nov 2025,Krieya Beauty & Wellness,Ecommerce,D2C,B2C,$789K,–,"Sauce.vc, Riverwalk Holdings, Aneesh Sheth (Dr. Sheth’s)","Sauce.vc, Riverwalk Holdings"
5 Nov 2025,WYZARD.AI,AI,Application Layer,B2B,$500K,–,"Tim Davis (OLX Group), Ambarish Kenghe (Angel One), Bhuvan Gupta (OfBusiness), Rajul Jain (Increff), Manav Kamboj (PropertyGuru), Andrew Garrihy (Samsung), Puja Kapoor (Hero FinCorp)",–
5 Nov 2025,MedySeva,Healthtech,Telemedicine,B2C,$451K,Seed,Unicorn India Ventures,Unicorn India Ventures
6 Nov 2025,InsightAI,AI,Application Layer,B2B,$124K,Pre-Seed,PedalStart,PedalStart
4 Nov 2025,Blyp,Travel Tech,Transport Tech,B2C,$56K*,Pre-Series A,Sandesh Sharda (Sharda Family Group),Sandesh Sharda
