Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
4 Dec 2025,Ultraviolette,Cleantech,Electric Vehicles,B2C,$45 Mn*,Series E,"Zoho, Lingotto",–
2 Dec 2025,StockGro,Fintech,Investment Tech,B2C,$16.7 Mn,Series B,Mukul Agrawal (Param Capital),Mukul Agrawal (Param Capital)
1 Dec 2025,Finfactor,Fintech,Fintech SaaS,B2B,$15 Mn,Series A,"WestBridge Capital, Varanium Capital, DMI Sparkle Fund, IIFL",WestBridge Capital
3 Dec 2025,Furlenco,Ecommerce,D2C,B2C,$13.9 Mn,–,"Sheela Foam, WhiteOak Capital, Madhu Kela (MK Ventures)",Sheela Foam
4 Dec 2025,Planys Technologies,Advanced Hardware & Technology,Maritime Tech,"B2B, B2G",$11.1 Mn,–,"Ashish Kacholia (Lucky Investment Manager), Lashit Sanghvi (Alchemy Capital), Pratithi Investment, Samarthya Investment Advisors, 3i Partners, Letsventure","Ashish Kacholia (Lucky Investment Manager), Lashit Sanghvi (Alchemy Capital)"
2 Dec 2025,Modulus Housing,Real Estate Tech,Construction,–,$7.7 Mn,Seed,"Kalaari Capital, Hero Group, Samarthya Investments, SVAS Strategic Management, Sigma Ventures, Srinath Ramakkrushnan (Zetwerk)","Kalaari Capital, Hero Group, Samarthya Investments"
4 Dec 2025,Ayekart,Agritech,Market Linkage,B2B,$6.5 Mn,Debt,Symbiotics Investments,Symbiotics Investments
3 Dec 2025,Moonrider,Cleantech,Electric Vehicles,B2C,$6 Mn,Series A,"pi Ventures, Singularity AMC, Micelio Fund",pi Ventures
4 Dec 2025,CoreOps.AI,AI,Application Layer,B2B,$3.5 Mn,Pre-Series A,"Siana Capital Management, Kettleborough VC, Aroa Venture Partners",Siana Capital Management
3 Dec 2025,Mirror Security,Enterprise Tech,Horizontal SaaS,B2B,$2.5 Mn,Pre-Seed,"Sure Valley Ventures, Atlantic Bridge","Sure Valley Ventures, Atlantic Bridge"
3 Dec 2025,Mannjal,Fintech,Lending Tech,B2B,$2 Mn,Seed,"Arali Ventures, B Capital, Sparrow Capital, Gemba Capital","Arali Ventures, B Capital"
2 Dec 2025,GetReplies,AI,Application Layer,B2B,$1 Mn,Seed,Patni Family Office,Patni Family Office
3 Dec 2025,ReplyAll,Ecommerce,D2C,B2C,$756K,Seed,"Sparrow Capital, Antler India, Bharat Founders Fund, DeVC, Shantanu Deshpande (Bombay Shaving Company), Revant Bhate (Mosaic Wellness), Ashish Goel (OctoLife), Sangeet Agarwal (Mokobara), Navin Parwal (Mokobara), Nikhil Bhandarkar (Panthera Peak Capital), Arjun Vaidya (V3 Ventures)","Sparrow Capital, Antler India"
5 Dec 2025,Redapto,AI,Application Layer,B2B,$500K,Pre-Seed,Y Combinator,Y Combinator
4 Dec 2025,TIDA Sports,Consumer Services,Hyperlocal Services,B2C,$333K,Seed,Inflection Point Ventures,Inflection Point Ventures
29 Nov 2025**,Iztri,Consumer Services,Hyperlocal Services,B2C,$180K,Seed,ajvc,ajvc
2 Dec 2025,Superhealth,Healthtech,In-Clinic Healthcare,B2C,–,–,"MS Dhoni Famli Office, Panthera Peak Capital",–
4 Dec 2025,InMobi,Enterprise Tech,Horizontal SaaS,B2B,$250 Mn,Secondary Round,"Naveen Tewari, Mohit Saxena, Abhay Singhal, Piyush Shah","Naveen Tewari, Mohit Saxena, Abhay Singhal, Piyush Shah"
