Date,Company,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
17 Dec 2025,MoEngage,Enterprise Tech,Horizontal SaaS,B2B,$180 Mn*,Series F,"Chrys Capital, Dragon Funds and Schroders Capital, Goldman Sachs Alternatives and new investor A91 Partners","Chrys Capital, Dragon Funds and Schroders Capital"
16 Dec 2025,Dignatara,Advanced Hardware and Technology,Spacetech,"B2B, B2G",$50 Mn,Series B,"SBI Investments Co Japan, 360 One Asset and entrepreneur Ronnie Screwvala, Peak XV Partners and Kalaari Capital",–
16 Dec 2025,Moxie Beauty,Ecommerce,D2C,B2C,$15 Mn,Series A,"Navin Parwal, Sangeet Agarwal, Arjun Purkayastha, Fireside Ventures, Shantanu Deshpande, Suhasini Sampath, Rohit Kapoor, Bessemer Venture Partners",Bessemer Venture Partners
19 Dec 2025,StockGro,Fintech,Investment Tech,B2C,$13 Mn,Series B,BITKRAFT Ventures,BITKRAFT Ventures
18 Dec 2025,WorkIndia,Enterprise tech,HR Software,B2B,$10.8 Mn,Series B,"BEENEXT Capital, Avishkaar Capital",Avishkaar Capital
17 Dec 2025,Tagbin,Enterprise Services,Consulting,B2B,$10 Mn,–,"SageOne Flagship Growth OE Fund, Jyotivardhan Sonthalia, Sanjay Kaul, Ramesh Damani, Moheet Agarwal, Siddharth Iyer, Abhinandan Lodha, and the Kurl-on Group",–
18 Dec 2025,Oben Electric,Clean Tech,Electric Vehicles,B2B,$10 Mn,Pre-Series B,"Raj K Soin, Musa Dakri, Ramesh Bhutada",–
19 Dec 2025,Virohan,Edtech,Digital Learning Platform,B2C,$7.5 Mn,Series B,"Mynavi Corporation, Blume Ventures, Bharat Inclusive Technologies Seed Fund, Rebright Partners",Mynavi Corporation
17 Dec 2025,SuperYou,Ecommerce,D2C,B2C,$7 Mn,Series B,"V3 Ventures, Rainmatter, Gruhas Collective Consumer Fund",V3 Ventures
15 Dec 2025,Sisir Radar,Advanced Hardware and Technology,Spacetech,"B2B, B2G",$7 Mn,Series A,360 ONE Asset and Shastra VC,360 ONE Asset
16 Dec 2025,Underneat,Ecommerce,D2C,B2C,$6 Mn,Pre-Series A,Fireside Ventures,Fireside Ventures
19 Dec 2025,Alimento Agro Foods,Ecommerce,D2C,B2C,$5.8 Mn,Series A,IvyCap Ventures,IvyCap Ventures
15 Dec 2025,Atomberg,Ecommerce,D2C,B2C,$4.8 Mn,–,"Forj Capital, White Whale Partners, Tanmay Bhatt",Forj Capital
15 Dec 2025,Rotoris,Ecommerce,D2C,B2C,$3 Mn,–,"Nikhil Kamath, Venture Catalysts, 100Unicorns, Vivek Oberoi, Tanmay Bhatt, Varun Alagh, Gaurav Khatri, Nitin Jain, Vivesh Khurana","Nikhil Kamath, Venture Catalysts, 100Unicorns, Vivek Oberoi, Tanmay Bhatt"
18 Dec 2025,Magma,Enterprise Services,Manufacturing services,B2B,$3 Mn,Series A,"Rainmatter, Unicorn India Ventures, Maithan Alloys",Rainmatter
16 Dec 2025,Aurassure,Clean Tech,Climate Tech,B2B,$ 2.8 Mn,Pre-Series A,"Rainmatter, Unicorn India Ventures, Maithan Alloys","Rainmatter, Unicorn India Ventures"
19 Dec 2025,Milk Station,Ecommerce,D2C,B2C,$2.5 Mn,–,V-Dairy,V-Dairy
17 Dec 2025,WickedGud,Ecommerce,D2C,B2C,$2.2 Mn,–,"Shilpa Shetty, Orios Venture Partners, Asiana Fund",–
15 Dec 2025,CuePilot AI,AI,Application Layer,B2B,$1.8 Mn,Pre-Seed,"Eximius Ventures, Titan Capital, Unilazer Ventures",Unilazer Ventures
17 Dec 2025,Decode Age,Health Tech,Lifesciences,B2B,$1.7 Mn,Pre-Series A,Krishna Prasad Chigurupati,Krishna Prasad Chigurupati
16 Dec 2025,EDT,Ecommerce,D2C,B2C,$1.4 Mn,Pre-Seed,"Sauce VC, Consumer Collective, Mithun Sacheti, Amit Khatr, Varun Khaitan",Sauce VC
16 Dec 2025,Quintrans,Advanced Hardware and Technology,Robotics,B2B,$750 K,Pre-Seed,"Capital-A, Sumeet Kabra, SanchiConnect, AIC-Pinnacle, IIMA Ventures",Capital-A
17 Dec 2025,Cellarim Labs,Clean Tech,Climate Tech,B2B,$714K,Seed,"3i Partners, Venture Catalysts, Momentum Capital, Jashan Bhumkar, Gayathri Kuppendra Reddy","3i Partners, Venture Catalysts"
15 Dec 20205,IPF,Ecommerce,Vertical Marketplace,B2C,$385K,Seed,"Titan Capital, Better Capital and Ranjit Pratap Singh, Aashish Jindal, Vivek Gulati, Abhishek Bhayana",Titan Capital
16 Dec 2025,Swizzle,Ecommerce,D2C,B2C,$238K,Seed,"Sooraj Singh, Shaili Chopra",–
9 Dec 2025,ClayWorks**,Real Estate Tech,Property Listing & Discovery,B2B,–,–,NuVentures,NuVentures
17 Dec 20205,Novyte Materials,AI,Application Layer,B2B,–,Seed,"Sandesh Paturi, Niharika Jain, Theia Ventures",Theia Ventures
