Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
20 Jan 2026,Emergent,AI,Application Layer,B2C,$70 Mn,Series B,"Khosla Ventures, SoftBank, Prosus, Lightspeed, Together Fund, Y Combinator","Khosla Ventures, SoftBank"
23 Jan 2026,Juspay,Fintech,Banking,B2B,$50 Mn**,Series D,WestBridge Capital,WestBridge Capital
20 Jan 2026,Unbox Robotics,Advanced Technology & Hardware,Robotics,B2B,$28 Mn,Series B,"ICICI Ventures, Redstart Labs, F-Prime, 3one4 Capital, Navam Capital, Force Ventures","ICICI Ventures, Redstart Labs"
22 Jan 2026,Escape Plan,Ecommerce,Verticle Marketplace,B2C,$25 Mn,Series A,"Jungle VC, Fireside Ventures, IndiGo Ventures",Jungle VC
19 Jan 2026,AssetPlus,Fintech,Investment Tech,B2C,$21 Mn,–,Nexus Venture Partners,Nexus Venture Partners
20 Jan 2026,Whizzo,Enterprise Services,Manufacturing Solutions,B2B,$15 Mn,Series A,"Fundamentum, LB Investment, Lightspeed, BEENEXT",Fundamentum
21 Jan 2026,Aerem Solutions,Fintech,Lending Tech,B2C,$15 Mn,Pre-Series B,"SMBC Asia Rising Fund, British International Investment, The University of Tokyo Edge Capital Partners, Blume Ventures, Avaana Capital, Riverwalk Holdings, SE Ventures",SMBC Asia Rising Fund
22 Jan 2026,Optimist,Ecommerce,D2C,B2C,$12 Mn,Pre-Series A,"Accel, Arkam Ventures","Accel, Arkam Ventures"
21 Jan 2026,Bolna,AI,Application Layer,B2B,$6.3 Mn,Seed,"General Catalyst, Y Combinator, Blume Ventures, Orange Collective, Pioneer Fund, Transpose Capital, Eight Capital",General Catalyst
21 Jan 2026,WanderOn,Traveltech,Online Travel Agency,B2C,$5.9 Mn,Series A,DSG Consumer Brand and CAAF,DSG Consumer Brand and CAAF
21 Jan 2026,Ringg,AI,Application Layer,B2B,$5.5 Mn,Series A,"Arkam Ventures, Groww’s Founder Fund, CRED founder Kunal Shah, White Venture Capital, Capital2B",Arkam Ventures
21 Jan 2026,Enerzolve,Advanced Technology & Hardware,Internet Of Things (IoT) & Hardware,B2B2C,$5.1 Mn,Seed,"Jungle Ventures, Kae Capital, Amrit Acharya (Zetwerk) Srinath Ramakrrushnan (Zetwerk) , Ramakant Sharma (Livspace), Roman Saini (Unacademy), Gaurav Munjal (Unacademy), Amal Mishra (Urban Vault), Nikhil Bhandarkar (Panthera Peak)","Jungle Ventures, Kae Capital"
21 Jan 2026,Cumin Co.,Ecommerce,D2C,B2C,$5 Mn,Pre-Series A,"Fireside Ventures, Huddle Ventures, Alteria Capital",Fireside Ventures
22 Jan 2026,Troovy,Ecommerce,D2C,B2C,$5 Mn,Series A,"Fireside Ventures, Sharrp Ventures, Spring Marketing Capital, Veltis Capital","ireside Ventures, Sharrp Ventures"
