4 Feb 2026,The Whole Truth,Ecommerce,D2C,B2C,$51 Mn,Series D,"Sauce.vc, Sofina, Peak XV Partners, Rainmatter Health, AYRA Ventures, Z47","Sauce.vc, Sofina"
4 Feb 2026,Varaha,Cleantech,Climate Tech,B2B,$20 Mn**,Series B,"WestBridge Capital, Omnivore Ventures, RTP Global",WestBridge Capital
5 Feb 2026,ZILO,Consumer Services,Quick Commerce,B2C,$15.3 Mn,Series A,"Peak XV Partners, Info Edge Ventures, Chiratae Ventures, Alteria Capital, Stride Ventured",Peak XV Partners
3 Feb 2026,Loop AI,AI,Application Layer,B2B,$14 Mn,Series A,"Nyca Partners, Gokul Rajaram, Base10, Afore Capital, Converge, Alumni Ventures, Data Tech Fund, John Pepper, 9Yards Capital, Operators Studio",Nyca Partners
5 Feb 2026,Material Depot,Ecommerce,Vertical Marketplace,B2C,$10 Mn,Series A,"Accel, Stellaris Venture Partners, Whiteboard Capital, DeVC, Soma Capital, MyAsiaVC, Ramakant Sharma (Livspace), Ankit Nagori (Curefoods), Shashvat Nakrani (BharatPe), Niraj Singh (Spinny), Abhishek Goyal (Tracxn), Vineet Khanna (Supertails)","Accel, Stellaris Venture Partners"
4 Feb 2026,Fibr AI,AI,Application Layer,B2B,$5.7 Mn,Seed,"Accel, WillowTree Ventures, MVP Ventures",Accel
5 Feb 2026,Good Monk,Ecommerce,D2C,B2C,$3.6 Mn,Pre-Series A,"RPSG Capital Ventures, Sharrp Ventures, Hyperscale Ventures",RPSG Capital Ventures
5 Feb 2026,Dr. Doodley,Consumer Services,Hyperlocal Services,B2C,$3.3 Mn,Pre-Series A,"V3 Ventures, Campus Fund, Thackersey Family Office, Yatin Shah (360 ONE Wealth), Karan Bhagat (360 ONE Wealth), Gautam Dalmia (Dalmia Bharat)",V3 Ventures
5 Feb 2026,EyeROV,Advanced Technology & Hardware,Maritime Tech,B2B,$1.4 Mn,Pre-Series A,"AWE Funds, Unicorn India Ventures","AWE Funds, Unicorn India Ventures"
5 Feb 2026,Octobotics,Advanced Technology & Hardware,Robotics,B2B,$1.1 Mn,Seed,"Navam Capital, BYT Capital",Navam Capital
4 Feb 2026,1.5 Degree,Ecommerce,D2C,B2C,$1 Mn,Pre-Series A,35North Venture,35North Venture
4 Feb 2026,Vibrium,AI,Application Layer,B2B,$1 Mn,Seed,–,–
3 Feb 2026,Digital Striker,Advanced Technology & Hardware,IoT & Hardware,B2B,$1 Mn,–,Foxhog Ventures,–
4 Feb 2026,Gamepoint,Consumer Services,Hyperlocal Services,B2C,$771K,Pre-Series A,"Raj Narayanam (Zaggle), Aditya Vuchi (VCMint), Praveen Raju (Suchitra Academy)","Raj Narayanam (Zaggle), Aditya Vuchi (VCMint)"
3 Feb 2026,Sanyark Space,Advanced Technology & Hardware,Spacetech,B2B,$500K,Pre-Seed,AUM Ventures,AUM Ventures
2 Feb 2026,Dreamfly Innovations,Advanced Technology & Hardware,Aerial Vehicles,B2B,$331K,Debt,SIDBI,SIDBI
6 Feb 2026,Invogue,Ecommerce,D2C,B2C,$221K,–,Aman Gupta (boAt),Aman Gupta (boAt)
3 Feb 2026,Mindcase,AI,Application Layer,B2B,$165K,–,ajvc,ajvc
3 Feb 2026,CHINI KUM,Ecommerce,D2C,B2C,$120K,Pre-Seed,"Shobhit Gupta (One8 Commune), Varun Sachdeva (boAt), Eiti Singhal (Eiti Ventures)",–
6 Feb 2026,EM5,Ecommerce,D2C,B2C,–,–,Surya Kumar Yadav (Cricketer),Surya Kumar Yadav (Cricketer)
