Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
13 Feb 2026,IDfy,Enterprise Tech,Horizontal SaaS,B2B,$52.5 Mn,Series F,"Neo Asset Management, Blume Ventures, Analog Capital, Elev8, IndiaMART, Kae Capital.",Neo Asset Management
10 Feb 2026,Supertails,Ecommerce,D2C,B2C,$30 Mn,Series C,"Venturi Partners, Nippon India Alternative Investments, Titan Capital, Fireside Ventures, RPSG Capital Ventures, Sauce VC, Saama Capital",Venturi Partners
11 Feb 2026,Olyv,Fintech,Lending Tech,B2C,$23 Mn,Series B,"The Fundamentum Partnership, SMBC Asia Rising Fund",The Fundamentum Partnership
9 Feb 2026,Pandorum Technologies,Health Tech,Lifescience,B2B,$18 Mn,Series B,"Protons Corporate, Galentic Pharma, Noblevast Advisory and Avinya Fund, Burman Family, Ashish Kacholia (Lucky Investment Advisors)",Protons Corporate
11 Feb 2026,Showroom B2B,Ecommerce,–,B2B,$16.5 Mn*,Series A,"Cactus Partners, Zephyr Peacock Jungle Ventures, Accion Ventures, NBD Ventures",Cactus Partners
12 Feb 2026,Elixiir Foods,Ecommerce,D2C,B2C,$9 Mn,Seed,"3one4 Capital, Incubate Fund Asia",3one4 Capital
11 Feb 2026,Care.fi,Fintech,Fintech SaaS,B2B,$8 Mn*,Series A,"July Ventures, Peak XV Partners, Accion Ventures, Sadev Ventures, Trifecta Capital, Vivriti",July Ventures
13 Feb 2026,Six Sense Mobility,Logistics,Electric Vehicles,B2B,$4.8 Mn,Pre-Series A,"Ashish Kacholia (Lucky Investment Advisors), Piper Serica",Ashish Kacholia
12 Feb 2026,Indigrid,Clean Tech,–,B2B,$4.4 Mn,Series A,"Valour Capital, ITI Growth Opportunities Fund, Vimson Group, Global South Capital",Valour Capital
13 Feb 2026,ClayCo,Ecommerce,D2C,B2C,$3.3 Mn,Series A,Twenty Nine Capital Partners,Twenty Nine Capital Partners
13 Feb 2026,e-TRNL Energy,Clean Tech,Electric Vehicles,B2B,$3 Mn,Seed,"IAN Group, Navam Capital, Speciale Invest",IAN Group
11 Feb 2026,ThirdAI,AI,Application Layer,B2B,$3 Mn,Seed,"Endiya Partners, Capria Ventures","Endiya Partners, Capria Ventures"
10 Feb 2026,PadCare,Clean Tech,Climate Tech,B2B,$3 Mn,Pre-Series A,"Rainmatter, 3one4 Capital, Brigade Group, PKRBCV Shroff Trust, Lavni Ventures, 3i Partners",Rainmatter
11 Feb 2026,Go Desi,Ecommerce,D2C,B2C,$2.8 Mn,Series B**,"ENRISSION INDIA CAPITAL, DSG Consumer Partners, Aavishkaar Capital","ENRISSION INDIA CAPITAL, DSG Consumer Partners, Aavishkaar Capital"
12 Feb 2026,DUSQ,Health Tech,Healthcare Devices,B2C,$2.6 Mn,Seed,"Fireside Ventures, Antler India, Climber Capital, Startup Sherpas, Vaishav Investments, Avnish Anand (CaratLane), Shivam Puri (Cipla Health)",Fireside Ventures
10 Feb 2026,SimpleAI,AI,Application Layer,B2B,$2.5 Mn,Seed,"JBV Capital, Hovancik Fund, 1947 Rise, PointOne Capital",JBV Capital
10 Feb 2026,CURAPOD,Health Tech,Healthcare Devices,B2C,$2.2 Mn,Pre-Series A,"V3 Ventures, 3i Partners, Ideaspring Capital","V3 Ventures, 3i Partners, Ideaspring Capital"
11 Feb 2026,Nester,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"Fireside Ventures, OTP Ventures, Sadev Ventures, Titan Capital",Fireside Ventures
10 Feb 2026,BotGauge AI,AI,Application Layer,B2B,$2 Mn,–,"Surface Ventures, IA Seed Ventures, Saka Ventures",Surface Ventures
10 Feb 2026,Elevate Now,Health Tech,Fitness & Wellness,B2C,$2 Mn,Seed,"Physis Capital, Inflection Point Ventures, Titan Capital",Physis Capital
11 Feb 2026,Benny’s Bowl,Ecommerce,D2C,B2C,$1.4 Mn,Pre-Series A,Atomic Capital,Atomic Capital
12 Feb 2026,UKHI,Clean Tech,Climate Tech,B2B,$1.2 Mn,Seed,"Venture Catalysts, 100Unicorns, 888 VC, DCG Pack",Venture Catalysts
11 Feb 2026,Satlabs,Advanced Hardware & Technology,Spacetech,B2B,$1 Mn,–,"Finvolve, India Accelerator","Finvolve, India Accelerator"
12 Feb 2026,Digitory,Enterprise Services,–,B2B,$500K,Pre-Series A,Tejas Paresh Lodaya (angel investor),Tejas Paresh Lodaya
12 Feb 2026,Heliware,Advanced Hardware & Technology,Spacetech,B2B,$497K,–,Inflection Point Ventures,Inflection Point Ventures
11 Feb 2026,SteamPRO,Ecommerce,Hyperlocal Services,B2C,$419K,Seed,"Anicut Capital, Zeropearl VC, D2C Insider Super Angels, Atrium Ventures","Anicut Capital, Zeropearl VC, D2C Insider Super Angels, Atrium Ventures"
11 Feb 2026,TimBuckDo,Consumer Services,Hyperlocal Services,B2C,$298K,–,"Turbostart, Rukam Capital, Anupam Bansal, Arjun Vaidya (V3 Ventures), Shaili Chopra (Gytree), Sandesh Sharda (Angel Investor)",–
11 Feb 2026,Truth & Hair,Ecommerce,D2C,B2C,$276K,–,Varun Alagh (Honasa Consumer),Varun Alagh (Honasa Consumer)
9 Feb 2026,Preventify,Health Tech,In-Clinic Healthcare,B2C,$200K,Pre-Seed,"PedalStart, Viren Shetty (Narayana Health), Jatin Kakrani (Dezy)",PedalStart
11 Feb 2026,Articulus Surgical,Health Tech,Healthcare Devices,B2B,–,Seed,Kalaari Capital,Kalaari Capital
