Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
14 Feb 2026*,Spinny,Ecommerce,Vertical Marketplace,B2C,$170 Mn,Series G**,"Fidelity Investments, Accel","Fidelity Investments, Accel"
18 Feb 2026,Stable Money,Fintech,Investment Tech,B2C,$25 Mn,Pre-Series C,"Peak XV Partners, Z47, RTP Global, Lightspeed, Fundamentum Partnership",Peak XV Partners
18 Feb 2026,Statiq,Clean Tech,Electric Vehicles,B2B,$18 Mn,–,"Tenacity Ventures, Y Combinator, Shell Ventures, RCD Holdings",Tenacity Ventures
20 Feb 2026,Portkey,AI,Application Layer,B2B,$15 Mn,Series A,"Elevation Capital, Lightspeed",Elevation Capital
16 Feb 2026,C2i Semiconductors,Advanced Hardware & Technology,Semiconductor,B2B,$15 Mn,Series A,"Peak XV Partners, TDK Ventures, Yali Capital",Peak XV Partners
18 Feb 2026,Vervesemi,Advanced Hardware & Technology,Semiconductor,B2B,$10 Mn,Series A,"Ashish Kacholia (Lucky Investment), Unicorn India Ventures, Roots Ventures, Caperize Fina, MAIQ Growth Scheme","Ashish Kacholia (Lucky Investment), Unicorn India Ventures"
18 Feb 2026,Peptris,Health Tech,Lifescience,B2B,$7.7 Mn,Series A,"IAN Alpha Fund, Speciale Invest, Tenacity Ventures, BYT Ventures","IAN Alpha Fund, Speciale Invest"
17 Feb 2026,HomeRun,Consumer Services,Quick Commerce,B2B,$6.6 Mn,Series A,"Sorin Investments, Titan Capital, Sparrow Capital, Consumer Collective, Helios Holdings",Sorin Investments
20 Feb 2026,Myelin Foundry,AI,Application Layer,B2B,$5.3 Mn,–,ASM Technologies,ASM Technologies
17 Feb 2026,ToneTag,Fintech,Banking,B2B,$3.8 Mn,–,Qualcomm Ventures,Qualcomm Ventures
17 Feb 2026,CraftifAI,AI,Application Layer,B2B,$3 Mn,Seed,"Ankur Capital, IvyCap Ventures, Capital-A, Antler",Ankur Capital
19 Feb 2026,Pluto Mobility,Clean Tech,Electric Vehicles,B2B,$2 Mn,Seed,"Version One Ventures, Grad Capital",Version One Ventures
17 Feb 2026,Intrinsic Foundries,Clean Tech,Climate Tech,B2B,$1.4 Mn,Seed,Transition VC,Transition VC
16 Feb 2026,Otto Money,Fintech,Investment Tech,B2C,$1.3 Mn,Pre-Seed,Pravega Ventures,Pravega Ventures
17 Feb 2026,Beep,Edtech,Digital Learning Platform,B2C,$850K,Pre- Series A,"Knowhere Ventures, Pacific Global Solutions, LeadAngels FLV, Vipul Prakash (wowJobs), Sandeep Johri (Checkmarx)",–
20 Feb 2026,Roopya,Fintech,Fintech SaaS,B2B,$440K,Seed,Inflection Point Ventures,Inflection Point Ventures
20 Feb 2026,CoreShield Technologies,Advanced Hardware & Technology,Defence Tech,B2G,–,Seed,ThinKuvate,ThinKuvate
