Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
27 Feb 2026,Temple,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2C,$54.1 Mn,–,"NK Squared, Steadview Capital, Peak XV Partners, Deepinder Goyal",–
27 Feb 2026,Constelli,Advanced Hardware & Technology,Defence Tech,"B2B, B2G",$20 Mn,–,"General Catalyst, 360 One Asset Management, Pravega Ventures",General Catalyst
23 Feb 2026,Wishlink,Media & Entertainment,Creator Economy,B2B,$17.5 Mn,Series B,"Vertex Ventures Southeast Asia & India, Fundamentum, Elevation Capital",Vertex Ventures Southeast Asia & India
24 Feb 2026,XFlow,Fintech,Banking,B2B,$16.6 Mn,Series A,"General Catalyst, Square Peg, Stripe, Lightspeed, Moore Capital, PayPal Ventures",General Catalyst
26 Feb 2026,Prayaan,Fintech,Lending Tech,B2B,$12.1 Mn,Series A,Peak XV Partners,Peak XV Partners
26 Feb 2026,MeltPlan,AI,Application Layer,B2B,$10 Mn,Seed,"Bessemer Venture Partners, Noa",Bessemer Venture Partners
26 Feb 2026,Gushwork,AI,Application Layer,B2B,$9 Mn,Seed,"Susquehanna Asia VC, Lightspeed, B Capital, Seaborne Capital, Beenext, Sparrow Capital, 2.2 Capital",Susquehanna Asia VC
26 Feb 2026,Spintly,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$8 Mn,Series A,"Accel, Enrission India Capital, SucSEED Ventures, Alumni Ventures, Chakra Growth Fund",Accel
25 Feb 2026,HomeEssentials,Ecommerce,D2C,B2C,$7.7 Mn,Pre-Series B,"360 ONE Asset Management, India Quotient",360 ONE Asset
25 Feb 2026,ZeroHarm,Ecommerce,D2C,B2C,$7.2 Mn,–,"Kotak Alternate Asset Managers, Alkemi Growth Capital","Kotak Alternate Asset Managers, Alkemi Growth Capital"
26 Feb 2026,FREED,Fintech,Lending Tech,B2C,$6.6 Mn,–,"Aavishkaar Capital, Sorin Investments, Piper Serica, Sattva Ventures",Aavishkaar Capital
25 Feb 2026,Wootzwork,Enterprise Services,Manufacturing Solutions,B2B,$6.6 Mn,Series A,"Z47, Nexus Venture Partners, AdvantEdge Founders, Stride Ventures",Z47
23 Feb 2026,MyDesignation,Ecommerce,D2C,B2C,$4.8 Mn,Series A,"RPSG Capital Ventures and Veltis Capital, Multiply Ventures, Dominor Investments","RPSG Capital Ventures, Veltis Capital"
27 Feb 2026,Grevoro,Clean Tech,–,B2B,$4.7 Mn,Seed,"Atha Group Family Office, Misra Group Family Office","Atha Group Family Office, Misra Group Family Office"
25 Feb 2026,Pulse,Health Tech,Medical Equipments,B2B,$4 Mn,Seed,"3one4 Capital, Incubate Fund Asia, Stride Ventures",3one4 Capital
24 Feb 2026,Puresta,Ecommerce,D2C,B2C,$3.7 Mn,Pre-Seed,Spring Marketing Capital,Spring Marketing Capital
24 Feb 2026,Kris@Work,AI,Application Layer,B2B,$3 Mn,Seed,"Info Edge Ventures, JN Capital, Growth Advisory (Singapore)",Info Edge Ventures
24 Feb 2026,Oncare,Health Tech,In-Clinic Healthcare,B2B,$3 Mn,Series A,"Sky Impact Capital, Huddle Ventures, Lotus Herbal Group, SteerX, Tremis Capital",Sky Impact Capital
23 Feb 2026,Mojro,Logistics,Logistics SaaS,B2B,$3 Mn,–,"IAN Group, 1Crowd",IAN Group
24 Feb 2026,DATOMS,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$2.8 Mn,Series A,"Big Capital JSC, IvyCap Ventures, YourNest Venture Capital",Big Capital JSC
26 Feb 2026,Companion Labs,AI,Application Layer,B2C,$2.5 Mn,Seed,"Surge (Peak XV), All in Capital, DeVC, Untitled VC",Surge (Peak XV)
25 Feb 2026,Armatrix,Advanced Hardware & Technology,Robotics,B2B,$2.1 Mn,Pre-Seed,"pi Ventures, Inuka Capital, Boundless Ventures, Boost VC, Turbostart, gradCapital",pi Ventures
24 Feb 2026,HireBound,Enterprise Tech,Horizontal SaaS,B2B,$2 Mn,Seed,"Kalaari Capital, Antler, Infinyte Club, CareerNet",Kalaari Capital
24 Feb 2026,Basil,Ecommerce,D2C,B2C,$2 Mn,Pre-Series A,"Prime Venture Partners, Appreciate Capital, IIMA Ventures",Prime Venture Partners
25 Feb 2026,Tattvam,AI,Application Layer,B2B,$1.7 Mn,Pre-Seed,"Seedcamp, EWOR, Entropy Industrial Ventures, Concept Ventures, Stan Boland (Angel Investor)",Seedcamp
26 Feb 2026,Flabs,AI,Application Layer,B2B,$1.2 Mn,–,IndiaQuotient,IndiaQuotient
27 Feb 2026,The Artment,Ecommerce,D2C,B2C,$1.1 Mn,Pre-Series A,IAN Group,IAN Group
23 Feb 2026,Hycosys,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$1 Mn,Seed,MountTech Growth Fund,MountTech Growth Fund
25 Feb 2026,Gut Clinic,Health Tech,In-Clinic Healthcare,B2C,$1 Mn,Seed,"Amitoj Singh (University of Arizona), Aman Rajpal (University of California), Ankur Kathuria (Alpha Wave Global), Juhi Bhatnagar (Forj Capital), Deepak Garg (RIL)",–
26 Feb 2026,Nailnit,Ecommerce,D2C,B2C,$330K,Pre-Seed,"Gruhas Collective Consumer Fund, Mars Shot VC, Shashank Kumar (Razorpay), Arjit Johri (Mars Shot Ventures), Yash Jain (Angel), Karan Jindal (Meta), Jivraj Singh Sachar (Tribe Capital India), Nishank Jain (Angel), Yashvardhan Kanoi (Angel Investor), Ashwarya Garg (HYPD), Venus Dhuria (Phot.AI), Amishi Parasrampurian (The Whole Truth)","Gruhas Collective Consumer Fund, Mars Shot VC"
25 Feb 2026,Finanjo,Fintech,Banking,B2C,$165K,Pre-Seed,ajvc,ajvc
26 Feb 2026,Bubble Me,Ecommerce,D2C,B2C,$165K,Pre-Seed,ajvc,ajvc
27 Feb 2026,CURRYiT,Ecommerce,D2C,B2C,$165K,–,Mohit Yadav (Minimalist),Mohit Yadav (Minimalist)
