6 Mar 2026,Rozana,Ecommerce,Horizontal Marketplace,B2C,$31.6 Mn,Series B,"Bertelsmann India Investments, Spark Growth Ventures, Bikaji Family Office, FE Securities, Fireside Ventures",Bertelsmann India Investments
3 Mar 2026,Pronto,Consumer Services,Quick Commerce,B2C,$25 Mn,Series B,"Epiq Capital, Glade Brook Capital, General Catalyst, Bain Capital Ventures",Epiq Capital
28 Feb 2026,Innoviti*,Fintech,Payments,B2B,$11.4 Mn,Series M,"Bessemer Venture Partners, Ashutosh Joshi (Angel Investor), Arihant Patni (Patni Family Office), Deepak Vinchhi (JuliaHub)",–
2 Mar 2026,Inamo,Enterprise Services,–,B2B,$8 Mn**,Series A,"Prime Venture Partners, Five SB Limited, Shastra VC, Antler, Gemba Capital",Prime Venture Partners
3 Mar 2026,RAS Luxury,Ecommerce,D2C,B2C,$7.5 Mn,Series B,"Dabur Ventures, Unilever Ventures",Dabur Ventures
6 Mar 2026,Cent,Healthtech,Diagnostics,B2C,$5 Mn,Seed,"OneFlow Holdings, South Park Commons",–
2 Mar 2026,Turiyam.ai,Advanced Hardware & Technology,Semiconductors,B2B,$4 Mn,Pre-Seed,"Ankur Capital, Micelio Fund",Ankur Capital
2 Mar 2026,Bounce,Cleantech,Electric Vehicle,B2B,$3.9 Mn,Series F,"Accel, B Capital","Accel, B Capital"
5 Mar 2026,Cheerio,AI,Application Layer,B2B,$872K,Seed,"Artha Venture, Hyderabad Angels, TiE Angels, LetsVenture, Arjun Vaidya (V3 Ventures), Anand Shahni (WedMeGood), Vivek Mathur (ex-Elevation Capital), Nitin Verma (InstaAstro)",Artha Venture
5 Mar 2026,Peping,Ecommerce,D2C,B2C,$273K,–,IAN Group,IAN Group
3 Mar 2026,Bubble Me,Ecommerce,D2C,B2C,$163K,Pre-Seed,ajvc,ajvc
