Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
20 Mar 2026,Neo Group,Fintech,Investment Tech,"B2B,B2C",$53.4 Mn,–,TVS Capital,TVS Capital
16 Mar 2026,Ecofy,Fintech,Lending Tech,"B2B, B2C",$42 Mn,–,"British International Investment, Finnfund, FMO, Eversource Capital","British International Investment, Finnfund"
16 Mar 2026,Atlys,Travel Tech,Travel Solutions,B2C,$36 Mn,Series C,"Susquehanna Asia VC, MakeMyTrip, Elevation Capital, Long Journey Ventures, Peak XV Partners",Susquehanna Asia VC
19 Mar 2026,Assiduus,Enterprise Services,–,B2B,$25 Mn,Pre Series B,"Bajaj FinServ, Uncorrelated Ventures, Aaruda Technology Fund",Bajaj FinServ
18 Mar 2026,Aerchain,Logistics,Procurement Services,B2B,$13 Mn,Series A,"Pavestone, IndiaMART",Pavestone
18 Mar 2026,Burger Singh,Foodtech,QSR,B2C,$8.8 Mn,Series B,"Artal Asia, Negen Undiscovered Value Fund, Aurum Rising India Fund",Artal Asia
17 Mar 2026,OfficeBanao,Real Estate Tech,Real Estate Services,B2B,$7.7 Mn,–,"Lightspeed, Medra Family",Lightspeed
18 Mar 2026,VerbaFlo,AI,Application Layer,B2B,$7 Mn,Seed,"pi Labs, Haatch, Navigate Ventures, Old College Capital",Pi Labs
17 Mar 2026,BambooBox,Enterprise Tech,Horizontal SaaS,B2B,$6.6 Mn,–,"Peak XV Partners (Surge), Emergent Ventures, Arc180, Uncorrelated, HAF",Peak XV (Surge)
18 Mar 2026,CometChat,Enterprise Tech,Horizontal SaaS,B2B,$6.5 Mn,–,Run Ventures,Run Ventures
17 Mar 2026,IG Defence,Advanced Hardware & Technology,Defence Tech,B2B,$5 Mn,Pre-Series A,"India Accelerator, Finvolve",India Accelerator
16 Mar 2026,Grapevine,Media & Entertainment,Social Media,B2C,$4.1 Mn,–,"Kae Capital, Peak XV Partners, Ronnie Screwvala (upGrad)",–
17 Mar 2026,Velmenni,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$3.3 Mn,Pre-Series A,"pi Ventures, MountTech Growth Fund",pi Ventures
16 Mar 2026,AGNIT Semiconductors,Advanced Hardware & Technology,Semiconductor,B2B,$2.6 Mn**,Seed,"Shastra VC, 3one4 Capital, Zephyr Peacock",Shastra VC
17 Mar 2026,DrinkPrime,Ecommerce,D2C,B2C,$2.2 Mn,–,"Mirabilis Investment Trust, Artha Continuum Fund",–
19 Mar 2026,Mave Health,Health Tech,Healthcare Devices,B2C,$2.1 Mn,Seed,"Blume Ventures, All In Capital, Inuka Capital, Stanford Angels",Blume Ventures
17 Mar 2026,Canvaloop,Cleantech,Climate Tech,B2B,$1.4 Mn,–,"GVFL, Rockstud Capital",GVFL
19 Mar 2026,Rymo Technologies,Health Tech,Medical Equipments,B2B,$1.2 Mn,Seed,IAN Angel Fund,IAN Angel Fund
18 Mar 2026,Laani,Ecommerce,D2C,B2C,$973K,Pre-Seed,"V3 Ventures, Saama Capital, Arjun Purkayastha (Reckitt), Manish Taneja (Purplle), Kunal Bahl (AceVector), Aneesh Sheth (Dr. Sheth’s Skincare)","V3 Ventures, Saama Capital"
19 Mar 2026,Pinq Polka,Ecommerce,D2C,B2C,$479K,Pre-Series A,Inflection Point Ventures,Inflection Point Ventures
17 Mar 2026,Moe Puppy,Ecommerce,D2C,B2C,$214K,Pre-Seed,"PedalStart, Zindagi Live Angel Fund",PedalStart
