Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
24 Mar 2026,Euler Motors,Clean Tech,Electric Vehicles,B2B,$73.6 Mn,Series E*,"Lightrock, Hero MotoCorp, Blume Ventures, BlackSoil, Trifecta Capital, InnoVen Capital, Alteria Capital",Lightrock
25 Mar 2026,Rocketlane,Enterprise Tech,Horizontal SaaS,B2B,$60 Mn,Series C,Insight Partners,Insight Partners
24 Mar 2026,CureFit,Health Tech,Fitness & Wellness,B2C,$47.2 Mn,Series G,Temasek,Temasek
24 Mar 2026,Swish,Foodtech,Food Delivery,B2C,$38 Mn,Series B,"Hara Global, Bain Capital Ventures, Alteria Capital, Stride Ventures, Accel","Hara Global, Bain Capital Ventures"
25 Mar 2026,Fullife Healthcare,Ecommerce,D2C,B2C,$32 Mn,Series D,Elev8 Venture Partners,Elev8 Venture Partners
26 Mar 2026,Deccan AI,AI,AI Infrastructure & Development,B2B,$25 Mn,–,"A91 Partners, Susquehanna, Prosus",A91 Partners
26 Mar 2026,Plum,Fintech,Insurtech,B2B,$20.4 Mn,Series B,"Peak XV Ventures, Tanglin Venture Partners, GMO Venture Partners",Peak XV Ventures
24 Mar 2024,Pranos Fusion,Clean Tech,Climate Tech,B2B,$6.8 Mn,–,"pi Ventures, Ankur Capital, Industrial47, Lalit Keshre (Groww), Bhukhanwala Industries","pi Ventures, Ankur Capital"
23 Mar 2024,Bidso,Enterprise Services,Mnaufacturing Solutions,B2B,$6.8 Mn*,Series A,"Blume Ventures, Peer Capital, Sadev Capital, Alteria Capital",Blume Ventures
24 Mar 2026,OZi,Ecommerce,Vertical Marketplace,B2C,$6.2 Mn,Series A,"RTP Global, Blume Ventures, Huddle Ventures, Zeropearl VC",RTP Global
25 Mar 2026,Burma Burma,Foodtech,–,B2C,$4 Mn,–,"Negen Capital, Endurance Capital, Coheron Wealth",Negen Capital
23 Mar 2026,LetzRyd,Travel Tech,Booking Services,B2B,$4 Mn,–,"JIF Capital, 15th Rock, UNLEASH Capital Partners",JIF Capital
24 Mar 2026,Kidbea,Ecommerce,D2C,B2C,$3.2 Mn,Series A,"Enrission India Capital, Inflection Point Ventures, LetsVenture, FE Securities, Venture Catalysts, Nitish Mittersain (Nazara), Ritesh Malik (Innov8)",Enrission India Capital
27 Mar 2026,Uncia,Fintech,Fintech SaaS,B2B,$3 Mn,–,Pavestone VC,Pavestone VC
26 Mar 2026,ELMED Life Sciences,Health Tech,Lifescience,B2B,$2.7 Mn,Series A,AgriSURE Fund,AgriSURE Fund
23 Mar 2026,Finfinity,Fintech,Lending Tech,B2C,$2.4 Mn,Seed,"Mankind Pharma Promoter Family Office, Vi-John Group, Sanjay Singhvi (Indus Capital), Bavadekar Reddy (Angel Investor), Malani Ventures",Mankind Pharma Promoter Family Office
26 Mar 2026,BeastLife,Ecommerce,D2C,B2B,$2.1 Mn,Pre-Series A,"GVFL, Equentis",–
25 Mar 2026,Canvaloop,Clean Tech,Climate Tech,B2B,$1.5 Mn,–,"GVFL, Rockstud Capital",–
25 Mar 2026,Novelty Wealth,Fintech,Wealth Tech,B2C,$1.4 Mn,–,IndiaQuotient,IndiaQuotient
24 Mar 2026,RN Kids,Ecommerce,D2C,B2C,$750K,Pre-Seed,"Ashish Kacholia (Lucky Investment Managers), Lashit Sanghvi (Alchemy Capital), Mohit Sadaani (The Moms Co), Hitesh Dhingra (The Man Company), Ajay Mehra,Samir Palod (AUM Fund Advisors)","Ashish Kacholia, Lashit Sanghvi"
24 Mar 2026,Workroom Automation,Enterprise tech,Horizontal SaaS,B2B,$655K,Seed,"Equirus, Astir Ventures, Venture Catalysts Group,Bhavik Dholakia (Swatantra Wealth), Vishal Shah (Shah Invest), Dr. Varun Patel, Dr. Viraj Lavingia, Bhavin Sodavadiya (Bhagwat Realty)",Equirus
26 Mar 2026,Qweebi,Edtech,Digital Learning Platform,B2C,$500K,Seed,"Inflection Point Ventures, Jeroen Tas(Mphasis), Arpit Jain (SplashLearn)",Inflection Point Ventures
23 Mar 2026,Raanro Interior Technology,Real Estate Tech,Real Estate Services,B2C,$422K,Pre-Seed,"Stargazer Fund, Kunal Shah (CRED), Ankit Nagori (Curefoods), Gaurav Singh Kushwaha (BlueStone), Prashant Tandon (Tata 1MG), Gaurav Agarwal (Tata 1MG)",–
25 Mar 2026,Proxgy,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2C,$211K,–,Riyan Parag (Cricketer),Riyan Parag
24 Mar 2026,CuriousCats.ai,Media & Entertainment,Digital Content,B2C,–,Pre-Seed,"Sachin Shenoy (Healthify),Tushar Vashisht (Healthify), Abhijit Khasnis (Healthify), Issac John (Ivory), Nikhil Moorjani (Angel Investor)",Sachin Shenoy
