Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
3 Apr 2026,Noon,Enterprise Tech,Horizontal SaaS,B2B,$44 Mn,–,"Chemistry, First Round Capital, Scribble Ventures, Elevation Capital, Afore Capital",Chemistry
1 Apr 2026,Palmonas,Ecommerce,D2C,B2C,$40 Mn,Series B,"Xponentia Capital, Vertex Growth Fund, Vertex Ventures SE Asia & India","Xponentia Capital, Vertex Growth Fund"
31 Mar 2026,Bachatt,Fintech,Investment Tech,B2C,$12 Mn,Series A,"Accel, Lightspeed, Info Edge Ventures",Accel
31 Mar 2026,Gnani.ai,AI,Application Layer,B2B,$10 Mn,Series B,"Aavishkaar Capital, Info Edge Ventures",Aavishkaar Capital
1 Apr 2026,NowPurchase,Ecommerce,Vertical Marketplace,B2B,$8.5 Mn,–,"Bajaj Finserv, Info Edge Ventures, Orios Venture Partners, Real Ispat Group, S Four Capital partner Shikhar Raj, Madhur Gupta (Lloyds Group)",Bajaj Finserv
30 Mar 2026,Bacancy System,Enterprise Services,Manufacturing Solutions,B2B,$4.2 Mn,Series A,"Sabre Partners, Greenstone Capital","Sabre Partners, Greenstone Capital"
2 Apr 2026,Aquapulse,Agritech,Farmtech,B2C,$2.7 Mn,Series A,NABVENTURES,NABVENTURES
1 Apr 2026,Xovian Aerospace,Advanced Hardware & Technology,Spacetech,B2B,$2 Mn,–,Ashish Kacholia (Lucky Investment Managers),Ashish Kacholia
1 Apr 2026,TenderCuts,Ecommerce,D2C,B2C,$2 Mn,Debt,Lakme Finance,Lakme Finance
31 Mar 2026,Sign3,AI,Application Layer,B2B,$1.5 Mn,–,"Cedar Hill Capital, Smile Group, Rajesh Sawhney (GSF), Dinesh Agarwal (IndiaMart), Anup Agarwal (Kiwi), Vinay Bagri (Niyo)",Cedar Hill Capital
30 Mar 2026,Cropcoin,Agritech,Agri-BioTech,B2C,$1.3 Mn,Pre-Series A,"Unicorn India Ventures, Climate Angels",Unicorn India Ventures
2 Apr 2026,Navanc,Fintech,Fintech SaaS,B2B,$1.1 Mn,Pre-Series A*,"Equentis, GrowthCap Ventures, Navin Kukreja (Paisabazaar), Gaurav Aggarwal (ex-Paisabazaar), Prasanna Rao (Arya.ag), Brigade REAP, Prarambh Ventures, IIMA Ventures, Inflection Point Ventures",Equentis
1 Apr 2026,Fanon,Media & Entertainment,Social Netwroking Platform,B2C,$1 Mn,Pre-Seed,"Kalaari Capital, Gruhas","Kalaari Capital, Gruhas"
30 Mar 2026,Epik,Consumer Services,Quick Commerce,B2C,$1 Mn,Pre-Seed,"Info Edge Ventures, Anirudh Prasad (Angel Investor), Bhaskar Raju K (Angel Investor), Deepak K Gowda (Angel Investor), Vineet Jain (Angel Investor), Vedang Patel (Angel Investor)",Info Edge Ventures
2 Apr 2026,Gabify,Health Tech,Therapy,B2C,$175K,Pre-Seed,Inflection Point Ventures,Inflection Point Ventures
1 Apr 2026,InterCosmos,Advanced Hardware & Technology,Spacetech,B2B,–,–,IAN Group,IAN Group
30 Mar 2026,Kuku FM,Media & Entertainment,OTT,B2C,–,–,MS Dhoni,MS Dhoni
1 Apr 2026,CredResolve,Fintech,Lending Tech,B2B,–,Pre-Series A,"Merak Ventures, Unleash Capital Partners, CDM Capital",Merak Ventures
