Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
8 Apr 2026,KreditBee,Fintech,Lending Tech,B2C,$280 Mn,Series E,"Motilal Oswal Alternates, Hornbill Capital, Dragon Funds, WhiteOak Capital, A.P. Moller Holding, Premji Invest","Motilal Oswal Alternates, Hornbill Capital, Dragon Funds"
9 Apr 2026,Nava,AI,Application Layer,B2B,$22 Mn,Series A,"Greenoaks, RTP Global, Unicorn India Ventures",Greenoaks
7 Apr 2026,OFF/BEAT,Ecommerce***,–,–,$10.7 Mn,Seed,Bessemer Venture Partners,Bessemer Venture Partners
9 Apr 2026,Pluckk,Ecommerce,D2C,B2C,$10.7 Mn,Series A,Euro Gulf Investment,Euro Gulf Investment
9 Apr 2026,Astranova Mobility,Cleantech,Electric Vehicles,B2B,$6.4 Mn,Series A,"IvyCap Ventures, Trucks Venture Capital, Asian Development Bank, Advantedge Founders",IvyCap Ventures
8 Apr 2026,Atlas,AI,Application Layer,B2B,$6 Mn,Seed,"Accel, Stellaris Venture Partners","Accel, Stellaris Venture Partners"
6 Apr 2026,GoSats,Fintech,Banking,B2C,$5 Mn,Series A,"Konvoy, Y Combinator,Taisu Ventures",Konvoy
7 Apr 2026,KisaanSay,Ecommerce,D2C,B2C,$3.7 Mn,Series A,NABVENTURES,NABVENTURES
7 Apr 2026,Ecoil,Clean Tech,Climate Tech,B2B,$2.5 Mn,Series A,"Fundalogical Ventures, Caspian Impact Investment, Momentum Capital, Chennai Angels",Fundalogical Ventures
8 Apr 2026,RoshAi,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$2.4 Mn,–,IAN Group,IAN Group
7 Apr 2026,WorkOnGrid,Enterprise Tech,Horizontal SaaS,B2B,$2.4 Mn,–,"Transition VC, IAN Group",Transition VC
6 Apr 2026,SatLeo,Advanced Hardware & Technology,Space Tech,B2B,$2.2 Mn,Seed,"Unicorn India Ventures, Merak Ventures, Java Capital, IIMA Ventures",Unicorn India Ventures
7 Apr 2026,Helium Air,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2C,$2 Mn,Seed,India Quotient,India Quotient
7 Apr 2026,H2LooP,AI,AI Infrastructure & Development,B2B,$2 Mn,Seed,"Speciale Invest, 3one4 Capital","Speciale Invest, 3one4 Capital"
9 Apr 2026,Swageazy,Ecommerce,Vertical Marketplace,B2B,$583K,–,"Info Edge Ventures,OnGrid, HROne",Info Edge Ventures
8 Apr 2026,ClayCo,Ecommerce,D2C,B2C,$400K**,–,"Twenty Nine Capital Partners Ventures, ICMG Global Ventures",Twenty Nine Capital Partners Ventures
8 Apr 2026,Trev Mobility,Travel Tech,Ride-Hailing,B2C,$394K,–,–,–
7 Apr 2026,Cozy Farms,Real Estate Tech,–,B2C,$388K,–,–,–
9 Apr 2026,Angoor AI,AI,Application Layer,B2B,$215K,Pre-Seed,"Venturizer, Uday Sodhi (Founders Room Capital), Tarun Billa (JP Morgan), Mayank Singh Tomar",Venturizer
7 Apr 2026,Filli & Me,Ecommerce,D2C,B2C,$161K,Pre-Seed,Super Angels,Super Angels
9 Apr 2026,DAAKit,Logistics,Shipping & Delivery,B2B,$138K,Pre-Seed,Inflection Point Ventures,Inflection Point Ventures
7 Apr 2026,Xccelera,AI,Application Layer,B2B,$129K,–,"Ramakant Sharma (Livspace), Asad Khan (TestMu AI), Amiya Pathak (Zipdial)",–
6 Apr 2026,Satark AI,AI,Application Layer,B2B,–,Pre-Seed,–,–
