Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
16 Apr 2026,Hosteller,Travel Tech,Booking Services,B2C,$16 Mn,Series B,"PROMAFT Partners, V3 Ventures, ITI Growth Opportunities Fund, Merisis Wealth Trust","PROMAFT Partners, V3 Ventures"
15 Apr 2026,GobbleCube,AI,Application Layer,B2B,$15 Mn,Series A,"Susquehanna Venture Capital, Info Edge Ventures, Kae Capital",Susquehanna Venture Capital
18 Apr 2026,HOCCO,Ecommerce,D2C,B2C,$10.7 Mn,–,Sauce.vc,Sauce.vc
14 Apr 2026,TraqCheck,AI,Application Layer,B2B,$8 Mn,Series A,"IvyCap Ventures, IIFL",IvyCap Ventures
16 Apr 2026,Aliste Technologies,Clean Tech,–,B2C,$3.2 Mn,Pre-Series A,"Big Global JSC, YourNest Venture Capital, Hbeon Labs",Big Global JSC
16 Apr 2026,Intellithink,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$1.8 Mn,Seed,"Pentathlon Ventures, Anicut Capital, Veltis Capital",Pentathlon Ventures
16 Apr 2026,Sarla Aviation,Advanced Hardware & Technology,Aerial Vehicle,B2B,$1.1 Mn,–,IndiGo Ventures,IndiGo Ventures
15 Apr 2026,Ivory,Health Tech,Diagnostics,B2C,$1 Mn,Seed,"Draper Associates, SAGE Venture Fund, MoSJE, IFCI Ventures, SIDBI",–
16 Apr 2026,Unbound,Ecommerce,D2C,B2C,$862K,–,Fireside Ventures,Fireside Ventures
16 Apr 2026,FIFTH SENSE,Ecommerce,D2C,B2C,$679K,Pre-Seed,"OTP Ventures, Sadev Ventures, ISV Capital, Rohit Kapoor (Swigyy), Amit Damani (StayVista)",OTP Ventures
15 Apr 2026,Swageazy,Ecommerce,D2C,B2B,$579K,–,"Info Edge Ventures, OnGrid, HROne",Info Edge Ventures
16 Apr 2026,Cohoma Coffee,Ecommerce,D2C,B2B2C,$539K,Seed,"Inflection Point Ventures, Swishin VC",Inflection Point Venture
13 Apr 2026,Smart Garage,Consumer Services,Hyperlocal Services,B2C,$257K,Pre-Series A,–,–
16 Apr 2026,KingdomOfChess,Edtech,Digital Learning Platform,B2C,$177K,–,"BeyondSeed Angel Fund, Arjun Vaidya (V3 Ventures), Rakesh Amerneni (RevOptic), Jai Ostwal, Vikrant Potnis (FundEnable), FBSPL, Aeroflex Enterprises",BeyondSeed Angel Fund
13 Apr 2026,Dev Milk Foods,Ecommerce,D2C,B2C,–,–,"Fireside Ventures, Narotam Sekhsaria Family Office",–
