Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
23 Apr 2026,LightFury Games,Media & Entertainment,Gaming,B2C,$11 Mn,Pre-Series A,"Blume Ventures, V3 Ventures, MIXI, Times Internet, MS Dhoni, Jasprit Bumrah, Hardik Pandya, Shreyas Iyer, Ravindra Jadeja, Tilak Varma, Sai Sudharsan",–
22 Apr 2026,M,Real Estate Tech,Real Estate Services,B2C,$8.8 Mn,Seed,"Peak XV Partners, Blume Ventures, CRED",–
23 Apr 2026,STCH,Enterprise Services,–,B2B,$5.5 Mn,Pre-Series A,"Omnivore, Kae Capital, WVC",Omnivore
22 Apr 2026,Spill Games,Media & Entertainment,Gaming,B2C,$3.1 Mn,Seed,"Centre Court Capital, PeerCapital, All In Capital","Centre Court Capital, PeerCapital"
21 Apr 2026,NudgeBee,AI,Application Layer,B2B,$3 Mn,Seed,Kalaari Capital,Kalaari Capital
21 Apr 2026,Lawyered,AI,Application Layer,B2C,$2.5 Mn,Pre-Series A,"Rainmatter, Turbostart, Finvolve","Rainmatter, Turbostart"
21 Apr 2026,PrimeInvestor,Fintech,Investment Tech,B2C,$2.1 Mn,Seed,Rainmatter,Rainmatter Capital
23 Apr 2026,Deep Algorithm,AI,Application Layer,B2B,$1.7 Mn,Pre-Series A,"Unicorn India Ventures, SB Investment, Prakash Govindan (Gradiant), Himanshu Singhal (inMorphis India)",Unicorn India Ventures
21 Apr 2026,CureMeAbroad,Travel Tech,–,B2C,$600K,Pre-Seed,"Roman Saini (Unacademy), Himanshu Ratnoo (ex-CEO, Cars24 India), Kunal Gupta (EMotorad), Devaiah Bopanna (Moonshot), Vikrant Potnis (Indian Academy of Venture Capital)",–
21 Apr 2026,Açaí Theory,Foodtech,QSR,B2C,$424K,Seed,All In Capital,All In Capital
20 Apr 2026,Clarity Labs,Ecommerce,D2C,B2C,$424K,Seed,Artha Ventures,Artha Ventures
20 Apr 2026,Khetika,Ecommerce,D2C,B2C,–,–,"AYRA Ventures, NSFO, Anicut Capital",AYRA Ventures
22 Apr 2026,Chupps,Ecommerce,D2C,B2C,–,Pre-Series B,Ajinkya Rahane (Cricketer),Ajinkya Rahane
20 Apr 2026,Panoculon Labs,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2C,–,Seed,"India Accelerator, Finvolve","India Accelerator, Finvolve"
21 Apr 2026,Digital Paani,Clean Tech,Climate Tech,B2B-B2C,–,–,AWE Funds,AWE Funds
