Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
28 Apr 2026,Snabbit,Consumer Services,Hyperlocal Services,B2C,$56 Mn,Series D,"Susquehanna Venture Capital, Mirae Asset Venture Investments, Bertelsmann India Investments, Nexus Venture Partners, Lightspeed Ventures, FJ Labs","Susquehanna Venture Capital, Mirae Asset Venture Investments, Bertelsmann India Investments"
29 Apr 2026,Sahi,Fintech,Investment Tech,B2C,$33 Mn,Series B,"Accel, Elevation Capital",Accel
30 Apr 2026,Kimbal,Enterprise Services,–,B2B,$22 Mn,Series B,"GEF Capital Partners, Niveshaay",GEF Capital Partners
27 Apr 2026,Metasports Interactive,Media & Entertainment,Gaming,B2C,$20 Mn,Debt,Metica,Metica
28 Apr 2026,Battery Smart,Clean Tech,Electric Vehicles,B2C,$15 Mn,Debt,Mirova,Mirova
30 Apr 2026,Oolka,Fintech,Lending Tech,B2B,$14 Mn,Series A,"Accel, Lightspeed Ventures, Z47, Vidit Aatrey (Meesho), Sanjeev Barnwal (Meesho)",Accel
28 Apr 2026,HyugaLife,Ecommerce,Vertical Marketplace,B2C,$10.5 Mn,Series A,"IvyCap Ventures, First Bridge Fund",IvyCap Ventures
28 Apr 2026,Credilio,Fintech,Lending Tech,B2C,$10.5 Mn*,Series A,"Cornerstone Ventures, Shepherd Hill, Roots Ventures, ESV-Arthya AIF, Innoven Capital, Alteria Capital",Cornerstone Ventures
27 Apr 2026,Morphing Machines,Advanced Hardware & Technology,Semiconductors,B2B,$4.4 Mn**,Series A,"Hero Enterprise Partner Ventures, Colossa Ventures, Navam Capital",–
29 Apr 2026,SportVot,Media & Entertainment,Digital Content,B2C,$3.8 Mn,–,"Indian Angel Network, Anicut Capital, Lets Venture, Capital A, Succeed Innovation",Indian Angel Network
29 Apr 2026,Optimized Electrotech,Advanced Hardware & Technology,Defence Tech,B2B,$3.7 Mn,–,"Exfinity Ventures, Blume Ventures, Mela Ventures, Venture Catalysts",Exfinity Ventures
28 Apr 2026,House Of Chikankari,Ecommerce,D2C,B2C,$2.6 Mn,Series A,Cap Alpha Ventures,Cap Alpha Ventures
30 Apr 2026,Ctruh,Advanced Hardware & Technology,AR/VR,B2B,$2.5 Mn,Seed,"Inflection Point Ventures, Avinya Ventures, India Accelerator, Founder’s Avenue, Anthill Ventures, Finvolve, LVX, Vivek Sinha (Emversity), Shivakumar Ganesan (Exotel)","Inflection Point Ventures, Avinya Ventures"
28 Apr 2026,Mojro,Enterprise Tech,Horizontal SaaS,B2B,$2.5 Mn**,Series A,Dallas Venture Capital,Dallas Venture Capital
29 Apr 2026,Prithu,Clean Tech,Climate Tech,B2B,$1.1 Mn,–,Transition VC,Transition VC
30 Apr 2026,Ubiqedge,Advanced Hardware & Technology,Internet Of Things(IoT) & Hardware,B2B,$1.1 Mn,Seed,"Piper Serica, Shibam Das (Atomberg), Sumit Chhazed (OTO)",Piper Serica
30 Apr 2026,VIKRA Ocean Tech,Advanced Hardware & Technology,Maritime Tech,B2B,$1 Mn,Seed,"Finvolve, India Accelerator","Finvolve, India Accelerator"
28 Apr 2026,Kovon,Enterprise Tech,Horizontal SaaS,B2B,$250K,Pre-Seed,TDV Partners,TDV Partners
27 Apr 2026,EMoMee,Media & Entertainment,Digital Content,B2C,–,–,"Melody Investments, Aman Gupta (boAt), Gurmeet Nihal Singh (Nihal Singh Family Office), Jatin Aneja (Shardul Amarchand Mangaldas), Whiteboard Capital, Gruhas Collective Consumer Fund, DeVC",–
