Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
7 May 2026,Skyroot,Advanced Hardware & Technology,Space Tech,B2B,$60 Mn,–,Ram Shriram’s Sherpalo Ventures And Singapore’s sovereign wealth fund GIC,Ram Shriram’s Sherpalo Ventures And Singapore’s sovereign wealth fund GIC
7 May 2026,Pronto,Consumer Services,Hyperlocal Services,B2C,$20 Mn**,Series B,Lachy Groom,Lachy Groom
6 May 2026,Ecofy,Fintech,Lending Tech,B2B,$15 Mn,Debt,Mirova,Mirova
6 May 2026,BigEndian,Advanced Hardware & Technology,Semiconductors,B2B,$6 Mn,Pre-Series A,"IAN Alpha Fund, Vertex Ventures SEA & India, IvyCap Ventures",IAN Alpha Fund
4 May 2026,CHOSEN,Ecommerce,D2C,B2C,$5 Mn,Series A,"Fireside Ventures, BOLD, L’Oréal’s corporate venture capital fund, Alkemi Growth Capital",Fireside Ventures
4 May 2026,Tsavorite,AI,AI Infrastructure & Development,B2B,$5 Mn,–,Pavestone,Pavestone
4 May 2026,Aurm,Real Estate Tech,Real Estate Services,B2B,$4.4 Mn,Series A,"Earth Fund, Sattva Ventures","Earth Fund, Sattva Ventures"
7 May 2026,Alphadroid,Advanced Hardware & Technology,Robotics,B2B,$3.8 Mn,Pre-Series A,"Alkemi Growth Capital, Shree Vasu Logistics Limited (SVLL)",Alkemi Growth Capital
6 May 2026,General Autonomy,Advanced Hardware & Technology,Robotics,B2B,$3.6 Mn,Seed,"Elevation Capital, India Quotient, Blue Asva Varenya Fund, FBC Venture Partners, Spearhead Capital, Ishendra Agarwal","Elevation Capital, India Quotient"
5 May 2026,Jurisphere.ai,AI,Application layer,B2B,$2.2 Mn,–,"Info Edge Ventures, Flourish Ventures, Antler, 8i Ventures",–
4 May 2026,HealthFab,Ecommerce,D2C,B2C,$2.1 Mn,Series A,"Atomic Capital, Mistry Ventures",Atomic Capital
6 May 2026,MedVital,Health Tech,Medical Equipments,B2C,$1.9 Mn,–,"Alkemi Growth Capital, Dr. Sanjay Arora, Shubhan Ventures",Alkemi Growth Capital
7 May 2026,Blunav,Travel Tech,Travel Solutions,B2B,$1 Mn,Seed,Piper Serica,Piper Serica
4 May 2026,Banza,AI,Application Layer,B2C,$1 Mn,Pre-Seed,"Campus Fund, Avalanche",Campus Fund
5 May 2026,Vobiz.ai,AI,Application Layer,B2B,$1 Mn,Seed,Piper Serica VC Fund,Piper Serica VC Fund
6 May 2026,JobsUPI,Enterprise Tech,Horizontal SaaS,"B2C, B2B",$250K,Pre-Seed,"IIMA Ventures, Alok Bansal, Anshoo Sharma, Amit Jain, Manoj Sinsinwar","IIMA Ventures, Alok Bansal, Anshoo Sharma, Amit Jain, Manoj Sinsinwar"
6 May 2026,Figtree Pharmacy,Health Tech,–,B2C,–,Seed,AJVC Fund,AJVC Fund
6 May 2026,MochaTrade,Fintech,Investment Tech,B2C,–,Pre-Seed,"Y Combinator, Pioneer Fund",–
