Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
15 May 2026,Rapido,Travel Tech,Ride Hailing,B2C,$240 Mn*,–,"Prosus, WestBridge Capital, Accel",Prosus
12 May 2026,HrdWyr,Advanced Hardware & Technology,Semiconductors,B2B,$13 Mn,Series A,"Ideaspring Capital, Singularity AMC, Avatar Growth Capital, Persistent Systems",Ideaspring Capital
11 May 2026,Wingreens Farms,Ecommerce,D2C,B2C,$12.6 Mn,Series D,"Ashish Kacholia (Lucky Investment Managers), Alchemy Fund",Ashish Kacholia
14 May 2026,Dhruva Space,Advanced Hardware & Technology,Spacetech,B2B,$11 Mn,–,"Research, Development & Innovation Fund (RDIF)","Research, Development & Innovation Fund (RDIF)"
12 May 2026,Dil Foods,Foodtech,Cloud Kitchen,B2C,$7.7 Mn,Series B,"Bikaji Foods Family Office, V3 Ventures, MJV Ventures, Alteria Capital",Bikaji Foods Family Office
12 May 2026,Mekr,Enterprise Services,Manufacturing Solutions,B2B,$7 Mn,Series A,"Avaana Capital, Titan Capital",Avaana Capital
13 May 2026,Nivasa Finance,Fintech,Lending Tech,B2C,$2.6 Mn,Seed,"Prime Venture Partners, Blume Ventures, Whiteboard Capital",–
11 May 2026,Flo Mobility,Advanced Hardware & Technology,Robotics,B2B,$2.5 Mn,Pre-Series A,"Mela Ventures, Arali Ventures","Mela Ventures, Arali Ventures"
15 May 2026,Legend Of Toys,Ecommerce,D2C,B2C,$2.2 Mn,Pre-Series A,"Singularity AMC, Veltis Capital, Enzia Ventures, DeVC, Atrium Angels, Stride Ventures",–
12 May 2026,SCIKIQ,Enterprise Tech,Horizontal SaaS,B2B,$1.5 Mn,Pre-Series A,Triton Investment Advisors,Triton Investment Advisors
13 May 2026,The EleFant,Ecommerce,Recommerce,B2C,$1 Mn,–,"Growth Sense, JIIF, Arian Capital, Asit Oberoi (Angel investor), Vimal Saboo (Angel investor)",Growth Sense
13 May 2026,Instafix,Consumer Services,Hyperlocal Services,B2C,$787K,Pre-Seed,"Titan Capital, 8i Ventures, Anish Srivastava (Blinkit), Bharat Kalia (Lifelong)","Titan Capital, 8i Ventures"
11 May 2026,Bobakat,Foodtech,QSR,B2C,$638K,Pre-Series A,–,–
11 May 2026,NORI,Ecommerce,D2C,B2C,$350K,Pre-Seed,"Rebalance, Vijay Shekhar Sharma (Paytm), VSS Investco",Rebalance
14 May 2026,The Sweet Change,Ecommerce,D2C,B2C,$73K,–,"Indian Angel Network (IAN Angel Fund), Udaan Angel Partners",Indian Angel Network
