Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
21 May 2026,Scapia,Fintech,Lending Tech,B2C,$63 Mn,–,"General Catalyst, Peak XV Partners, Z47",General Catalyst
20 May 2026,Mythik,Media & Entertainment,Digital Media,B2C,$5 Mn,–,"Harsh Jain (Dream11), Blume Founder’s Fund, Rajat Gupta (ex-McKinsey & Co), Zubin Bharti Mittal (Bharti Mittal Family Office), Ishan Sinha (Point 72), Rooshabh Shah (SVAR Projects), Sakal Media Group, Patni Family Office, Parekh Family Office",–
20 May 2026,Anscer Robotics,Advanced Hardware & Technology,Robotics,B2B,$4.6 Mn,Series A,"India Angel Network (IAN Alpha Fund), Info Edge Ventures",India Angel Network
19 May 2026,Trackk,Fintech,Investment Tech,B2C,$3.7 Mn,Seed,"Lightspeed Ventures, Info Edge Ventures, Tanmay Bhatt (Content Creator), Varun Mayya (Aeos Group), Gaurav Munjal (Unacademy), Roman Saini (Unacademy), Gaurav Kapoor (Comedian)",Lightspeed Ventures
22 May 2026,Gabit,Ecommerce,D2C,B2C,$3.7 Mn,–,"Deepak Gupta (Angel Investor), Arnab Basu (Angel Investor), Manav Gupta (Angel Investor), Vilas Dhar (Angel Investor)",–
20 May 2026,Sychedelic,Healthtech,Fitness & Wellness,B2C,$3.5 Mn,Seed,"Cultadvisors LLP, TurboStart, Ideabaaz and Praveek Ventures",–
20 May 2026,EndureAir,Advanced Hardware & Technology,Aerial Vehicles,B2B,$3.1 Mn,–,"Research, Development, and Innovation Fund","Research, Development, and Innovation Fund"
18 May 2026,Cellogen Therapeutics,Healthtech,Lifesciences,B2B,$2.1 Mn,–,Kotak Alternate Asset Managers,Kotak Alternate Asset Managers
19 May 2026,ONO,Agritech,Market Linkage,B2C,$1.2 Mn,Pre-Series A,"Aeravti Ventures, Tremis Capital",Aeravti Ventures
14 May 2026,Bombay Banta,Ecommerce,D2C,B2C,$832K,Pre-Series A,DSG Consumer Partners,DSG Consumer Partners
20 May 2026,Damroo,Media & Entertainment,Digital Content,B2C,$520K,–,Hindustan Times,Hindustan Times
21 May 2026,Meta Fashion,Ecommerce,D2C,B2B,$400K,Pre-Seed,"Lumikai, Big Bets, Akshat Rathee, Pratham Mittal",Lumikai
19 May 2026,Kalpi,Fintech,Investment Tech,B2C,$390K,Seed,Rainmatter Capital,Rainmatter Capital
18 May 2026,Owners ID,Ecommerce,D2C,B2C,$260K,Pre-Seed,Crucifer Investments,Crucifer Investments
20 May 2026,Gamehok,Media & Entertainment,Gaming,B2C,$100K,Pre-Seed,–,–
18 May 2026,Nothing But,Ecommerce,D2C,B2C,–,Seed,"Atul Rajani, Deeksha Rajani (The Be Life), Sifat Khurana (Innovist), Dhruv Bhasin (Arata), Gaurav Khatri (Noise), Saurav Adlakha (DailyObjects.com)","Atul Rajani, Deeksha Rajani (The Be Life)"
22 May 2026,Yoho,Ecommerce,D2C,B2C,–,Pre-Series A,–,–
