Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
26 May 2026,Fairdeal.Market,Ecommerce,Horizontal Marketplace,B2B,$15 Mn,Series A,"Bertelsmann India Investments, WaterBridge Ventures, Incubate Asia Fund",Bertelsmann India Investments
25 May 2026,StrainX Bioworks,Health Tech,Lifescience,B2B,$13 Mn,–,"Prime Venture Partners, Leo Capital, Good Startup, Sparrow Capital, Sun Icon Ventures, Dholakia Ventures, WindT Angels","Prime Venture Partners, Leo Capital"
27 May 2026,TIEA Connectors,Enterprise Services,Manufacturing Solutions,B2B,$8 Mn,Series A,"IvyCap Ventures, Jamwant Ventures, 8X Ventures",IvyCap Ventures
25 May 2026,abCoffee,Ecommerce,D2C,B2C,$6.4 Mn,Pre-Series B,"Kliff Ventures, Hero Enterprise Partner Ventures, Merisis Venture Fund, Stride Ventures",Kliff Ventures
25 May 2026,Yes Madam,Consumer Services,Hyperlocal Services,B2C,$5.2 Mn,–,Info Edge Ventures,Info Edge Ventures
28 May 2026,C2i Semiconductors,Advanced Hardware & Technology,Semiconductor,B2B,$1.7 Mn*,Series A,TDK Ventures,TDK Ventures
26 May 2026,Flexprice,AI,Application Layer,B2B,$1.5 Mn,Seed,"Shastra VC, Anupam Mittal (People Group), TDV Partners","Shastra VC, Anupam Mittal (People Group)"
28 May 2026,ZeroDrag Technologies,Advanced Hardware & Technology,Aerial Vehicle,B2B,$682K,–,Transition VC,Transition VC
28 May 2026,Eazzy,Consumer Services,Hyperlocal Services,B2C,$440K,–,–,–
26 May 2026,Bucketlistt,Travel Tech,Booking Services,B2C,$112K,Pre-Seed,"Arvind Choudhar (Angel Investor), Aenik Shah (Angel Investor), Kartik Khatri (Angel Investor), Yash Mehta (Angel Investor)",–
25 May 2026,Yoho,Ecommerce,D2C,B2C,–,–,"Gulf Islamic Investments (GII), Rukam Capital, Rajeev Misra (ex-Softbank), Vijay Shekhar Sharma (Paytm)",–
25 May 2026,Pramatra Space,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,–,Pre-Seed,"Seafund Ventures, Rebalance, Magnivia Ventures, Peaceful Progress Fund, Awais Ahmed (Pixxel Space), Techstars, Neel Mehta (Roh Ventures), Raghunath Das (Almagest Space), Bhavya Doshi (KRISS Portfolio)",Seafund Ventures
26 May 2026,Quantum Tiger,AI,AI infrastructure & Development,B2B,–,–,–,–
25 May 2026,GIVA,Ecommerce,D2C,B2C,–,–,Kriti Sanon (Actor),Kriti Sanon (Actor)
