Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
4 Jun 2026,FirstClub,Consumer Services,Quick Commerce,B2C,$55 Mn,Series B,"Peak XV Partners, Sofina, Accel, RTP Global, Paramark Ventures","Peak XV Partners, Sofina"
5 Jun 2026,Innefu,Enterprise Tech,Horizontal SaaS,B2B,$30 Mn,Series B,Panthera Growth Partners,Panthera Growth Partners
1 Jun 2026,Simple Energy,Cleantech,Electric Vehicles,B2C,$26.3 Mn**,Series B,"Dr. Arokiaswamy Velumani Family Office, Suhas Rajkumar (Simple Energy), Ankit Gupta (Simple Energy)",Dr. Arokiaswamy Velumani Family Office
3 Jun 2026,Aglitias Sports,Ecommerce,D2C,B2C,$23.5 Mn,–,"Nexus Venture Partners, Rainmatter",Nexus Venture Partners
1 Jun 2026,Anveshan,Ecommerce,D2C,B2C,$15.8 Mn,Series B,"Vertex Ventures Southeast Asia & India, International Finance Corporation, Sriharsha Majety (Swiggy), Wipro Consumer Care Ventures, Titan Capital Winners Fund, Force Ventures, Aman Gupta (boAt), Sameer Mehta (boAt)",Vertex Ventures Southeast Asia & India
4 Jun 2026,TrueFan AI,AI,Application Layer,B2B,$10 Mn,Series A,"Baring Private Equity Partners India, Z3Partners, Indian Angel Network, 3Lines Venture Capital","Baring Private Equity Partners India, Z3Partners"
4 Jun 2026,WeRize,Fintech,–,B2C,$7 Mn,Pre-Series C,"Sony Innovation Fund, 3one4 Capital",Sony Innovation Fund
3 Jun 2026,Phab,Ecommerce,D2C,B2C,$4 Mn,Pre-Series A,"OTP Ventures, Chona Family Office","OTP Ventures, Chona Family Office"
2 Jun 2026,ProLearn,Edtech,Digital Learning Platform,B2C,$3.2 Mn,Pre-Seed,"BEENEXT, Eximius Ventures, Antler India",BEENEXT
3 Jun 2026,Fraganote,Ecommerce,D2C,B2C,$3 Mn,Series A,"V3 Ventures, Rukam Capital",V3 Ventures
2 Jun 2026,Aquapulse,Agritech,Farmtech,B2B,$2.1 Mn*,Series A,Indian Angel Network,Indian Angel Network
3 Jun 2026,Propsoch,Real Estate Tech,Property Listing & Discovery,B2C,$2 Mn,Seed,"Athera Venture Partners, Sparrow Capital, Vakil Group","Athera Venture Partners, Sparrow Capital, Vakil Group"
3 Jun 2026,Zuvees,Ecommerce,D2C,B2C,$1.6 Mn*,Series A,IvyCap Ventures,IvyCap Ventures
4 Jun 2026,VoltSeal,Cleantech,Electric Vehicle,B2B,$1.5 Mn,Pre-Seed,"Theia Ventures, Rainmatter, Momentum Capital, Social Alpha",Theia Ventures
1 Jun 2026,Rovia,Fintech,Wealthtech,B2C,$1 Mn,Pre-Seed,"Antler India, CDM Capital, AC Ventures, Operators Studio",Antler India
1 Jun 2026,KorinMi,Ecommerce,D2C,B2C,$1 Mn,Seed,Lotus Herbals Innovation Fund,Lotus Herbals Innovation Fund
4 Jun 2026,The Sweet Change,Ecommerce,D2C,B2C,$187K,Pre-Seed,Rebalance,Rebalance
5 Jun 2026,Estro Tech Robotics,Advanced Hardware & Technology,Robotics,B2B,$105K,Seed,Genrobotics,Genrobotics
1 Jun 2026,MediElaj,Healthtech,Diagnostics,B2C,$100K,–,–,–
1 Jun 2026,InterCosmos,Advanced Hardware & Technology,Spacetech,B2B,–,–,a99 VC,a99 VC
2 Jun 2026,Rosada,Ecommerce,D2C,B2C,–,–,Shilpa Shetty Kundra,Shilpa Shetty Kundra
