Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
8 Jun 2026,GPS Renewables,Cleantech,Climate Tech,B2B,$66.4 Mn,Series C,"Sojitz Corporation, PixelSky Capital, Spectrum Impact Family office",Sojitz Corporation
12 Jun 2026,Equal AI,AI,Application Layer,"B2B, B2C",$30 Mn,Series B,"Prosus Ventures, Tomales Bay Capital, Think Investments, Valiant Fund, Sameer Nigam (PhonePe), Zubin Bharti Mittal ( Airtel Family Office), Anshu Sharma (Skyflow AI), Sandhya Devanathan (Meta), Sridhar Pinnapureddy (CtrlS Datacenters)","Prosus Ventures, Tomales Bay Capital"
11 Jun 2026,Ethereal Machines,Advanced Hardware & Technology,–,B2B,$28.5 Mn,Series B,"Avataar Ventures, Peak XV Partners",Avataar Ventures
10 Jun 2026,MyGate,Real Estate Tech,Real Estate Services,B2B,$23.6 Mn,–,Dharana Capital,Dharana Capital
10 Jun 2026,Exponent Energy,Cleantech,Electric Vehicles,B2C,$21.1 Mn,–,"360 ONE Asset, TDK Ventures, Hitachi Ventures, Lightspeed, Eight Roads Ventures, 3one4 Capital, AdvantEdge VC","360 ONE Asset, TDK Ventures"
8 Jun 2026,Immuneel Theraputics,Healthtech,Lifesciences,B2B,$10.5 Mn,Series B,"Singularity AMC, Rainmatter, Kiran Mazumdar-Shaw, Eight Roads Ventures, F-Prime Capital","Singularity AMC, Rainmatter"
12 Jun 2026,Rekise Marine,Advanced Hardware & Technology,Maritime Tech,B2B,$9.7 Mn,Seed,"Accel, NKSquared, Sameer Brij Verma (Angel), Sandeep Singhal (Angel), Industrial47, Singularity AMC","Accel, NKSquared"
11 Jun 2026,Manam Chocolate,Foodtech,Bakery,B2C,$9 Mn,Series A,"Omnivore, Turner Morrison consortium","Omnivore, Turner Morrison consortium"
10 Jun 2026,Rivvun AI,AI,Application Layer,B2B,$7.5 Mn,Seed,"Sitara Capital, 3one4 Capital","Sitara Capital, 3one4 Capital"
9 Jun 2026,BazaarNow,Consumer Services,Quick Commerce,B2C,$7.5 Mn,–,"Peak XV Partners, Whiteboard Capital and Antler, Vidit Aatrey (Meesho), Karthik Gurumurthy (Ex- Swiggy), Prashant Sachan (AppsForBharat & Sri Mandir), Nitin Saluja (Chaayos).",Peak XV Partners
9 Jun 2026,Celebal Technologies,Enterprise Tech,Horizontal SaaS,B2B,$5.2 Mn,Debt,BlackSoil Capital,BlackSoil Capital
10 Jun 2026,Hoola Health,Healthtech,In-Clinic Healthcare,B2C,$5 Mn,–,"Surge (Peak XV), W Health Ventures, Ashish Gupta (MFV Partners), Abhishek Goyal (Tracxn), Bijou Kurien (Retail Association of India)","Peak XV’s Surge, W Health Ventures"
11 Jun 2026,4baseCare,Healthtech,Lifesciences,B2C,$4 Mn*,Series B,growX Ventures,growX Ventures
10 Jun 2026,Uni Seoul,Ecommerce,D2C,B2C,$3.6 Mn,Series A,"Riverwalk Holdings, Sauce.vc, Panthera Peak Ventures","Riverwalk Holdings, Sauce.vc"
9 Jun 2026,The Wedding Company,Consumer Services,Matrimony,B2C,$2.8 Mn,Seed,"Wellingdon Advisors LLP, LVX, Tremis Capital, Synergy Capital Partner, Vivek Mathur (ex-Elevation Capital), Rahul Garg (ex-Premji Invest)",Wellingdon Advisors LLP
10 Jun 2026,HyperNorm AI,AI,Application Layer,B2C,$2.2 Mn,Seed,"Capital 2B, SenseAI Ventures, Boundless Ventures, iOPEX Technologies, Amit Sheth (Angel), Bhavin Manek (Angel)",–
8 Jun 2026,Clear Robotics,Advanced Hardware & Technology,Maritime Tech,B2B,$1.8 Mn,Pre-Series A,"ShipsFocus Ventures, Katapult Ocean, SGInnovate, M7 Holdings, MSG Ventures",–
11 Jun 2026,Dream Aerospace,Advanced Hardware & Technology,Spacetech,B2B,$1.2 Mn,Pre-Series A,"247VC, Campus Angels Network, Chandigarh Angels Network","247VC, Campus Angels Network (CAN)"
9 Jun 2026,Integra Robotics,Advanced Hardware & Technology,Defence Tech,B2B,$1.1 Mn,Pre-Series A,"Finvolve, India Accerelator, GrowthCap Venture Fund",Finvolve
12 Jun 2026,Trevel,Travel Tech,Booking Services,B2C,$1 Mn,–,"India Accelerator, Finvolve, Haldiram Family Office, Rohit Qamra (Angel), RMRN Ventures, BP Jain Holdings, Bipin Preet Singh (MobiKwik), Aakash Goyal (Metro Buildtech), Aakash Anand (Bella Vita), Aditya Singh (All In Capital)","India Accelerator, Finvolve, Haldiram Family Office, Rohit Qamra (Angel)"
11 Jun 2026,Biodimension,Healthtech,Lifesciences,B2B,$841K,–,"Indian Angel Network, Campus Angels Network, Sampath Srisailam (Angel)",Indian Angel Network
11 Jun 2026,Dartle,Enterprise Services,–,B2C,$100K,Seed,Inflection Point Ventures,Inflection Point Ventures
10 Jun 2026,Fold,Fintech,Investment Tech,B2C,–,–,Rainmatter,Rainmatter
11 Jun 2026,QubeHealth-Pay,Fintech,Lending Tech,B2C,–,Series A,"Unicorn India Ventures, IA Growth Opportunities Fund, Brew Opportunities Fund, Finvolve Ventures, FirstPort Capital, Maithan Family Office",–
