Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
15 Jun 2026,Sarvam,AI,Foundation Model/ LLM,"B2C, B2B",$234 Mn*,Series B,"HCLTech, Bessemer Venture Partners, Khosla Ventures, Peak XV Partners",HCLTech
16 Jun 2026,SolarSquare,Clean Tech,Climate Tech,B2B,$53 Mn,Series C,"Lightspeed, Lowercarbon Capital, Rainmatter, Good Capital",Lightspeed
18 Jun 2026,Vetic,Health Tech,In-Clinic Healthcare,B2C,$40 Mn,–,"Bessemer Venture Partners, Greenoaks Capital, Lachy Groom, JSW Family Office",Bessemer Venture Partners
16 Jun 2026,TruNativ,Ecommerce,D2C,B2C,$30 Mn**,Series B,"OrbiMed, 100Unicorns, Rainmatter, Venture Catalysts",OrbiMed
17 Jun 2026,Pramaana Labs,AI,Aplication Layer,B2B,$27 Mn,Seed,"Khosla Ventures, Accel, BoldCap, Nexus Venture Partners, Premji Invest, Unbound",Khosla Ventures
18 Jun 2026,Rusk Media,Media & Entertainment,Digital Media,B2B,$10.6 Mn,Pre-Series C,"Nazara Technologies, InfoEdge Ventures, IvyCap Ventures, Audacity VC",Nazara Technologies
13 Jun 2026,Zumutor Biologics***,Health Tech,Lifescience,B2B,$7.3 Mn,Series B,"Accel, Bharat Innovation Fund, Premji Invest, Ashish Kacholia (Lucky Investment), Raj Dandu (Dandu Group)","Accel, Bharat Innovation Fund"
18 Jun 2026,Karo Sambhav,Clean Tech,Climate Tech,B2B,$5.9 Mn,Pre-Series A,Rainmatter,Rainmatter
15 Jun 2026,Foodstories,Foodtech,–,B2C,$5.2 Mn,Series B,Nikhil Kamath (Zerodha),Nikhil Kamath (Zerodha)
16 Jun 2026,CREST,Fintech,Investment Tech,B2C,$3.1 Mn,Pre-Seed,"Atrium Ventures, BEENEXT, DeVC, Sparrow, Shastra VC, Warmup Ventures, 91ventures, Amit Ranjan (SlideShare), Chirag Taneja (GoKwik), Revant Bhate (Mosaic Wellness), Shantanu Deshpande (Bombay Shaving Company)","Atrium Ventures, BEENEXT, DeVC, Sparrow, Shastra VC, Warmup Ventures, 91ventures"
16 Jun 2026,ContraVault,AI,Aplication Layer,B2B,$3.1 Mn,Pre-Series A,"Chiratae Ventures, Titan Capital",Chiratae Ventures
15 Jun 2026,AutoVRse,Advanced Hardware & Technology,AR/VR,B2B,$2.4 Mn,–,"Singularity AMC, Lumikai","Singularity AMC, Lumikai"
16 Jun 2026,Omli Kids,Edtech,Digital Learning Platform,B2C,$1.5 Mn,Seed,"IndiaQuotient, General Catalyst",IndiaQuotient
16 Jun 2026,Speedioo,Ecommerce,Recommerce,B2C,$1.1 Mn,Seed,Atomic Capital,Atomic Capital
16 Jun 2026,Gimi Michi,Ecommerce,D2C,B2C,$1 Mn,Seed,"IndiaQuotient, DeVC, Titan Capital, IIMA Ventures",IndiaQuotient
17 Jun 2026,Xtovia,Ecommerce,D2C,B2C,$731K,Pre-Seed,"V3 Ventures, Consumer Collective",V3 Ventures
16 Jun 2026,TrackerSuite,Enterprisetech,Horizontal SaaS,B2B,$635K,Pre-Series A,"Pontaq.VC, Shubhan Ventures, Candle Advisors",–
18 Jun 2026,Tringbox,AI,Aplication Layer,B2B,$530K,Seed,"Nikhil Gandhi (GIPL), MGB Family Office, Narendra Singh Yadav (Paytm)",Nikhil Gandhi (GIPL)
