Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
30 Jun 2026,The Indus Valley,Ecommerce,D2C,B2C,$17 Mn,Series B,"Gaja Capital, DSG Consumer Partners, Rukam Capital",Gaja Capital
29 Jun 2026,Incuspaze,Real Estate Tech,Property Listing & Discovery,B2B,$15.9 Mn,–,Bharat Value Fund,Bharat Value Fund
2 Jul 2026,BatX Energies,Clean Tech,Electric Vehicles,B2B,$11 Mn,Series A,"IvyCap Ventures, Zephyr Peacock, Mankind Pharma Family Office, Excel Industries Family Office, JITO",IvyCap Ventures
1 Jul 2026,Dovetail Capital,Fintech,Investment Tech,B2B,$10.5 Mn*,Series A,Elev8 Venture Partners,Elev8 Venture Partners
30 Jun 2026,Kapture CX,Enterprise Tech,Horizontal SaaS,B2B,$10 Mn,Series B,"Bajaj Finserv Ventures, Cactus Partners, India Alternatives",Bajaj Finserv Ventures
2 Jul 2026,Age Care Labs,Consumer Services,Hyperlocal Services,B2C,$9 Mn**,Series B,"Shrem Group, Rainmatter, Pegasus Finvest",–
2 Jul 2026,Ninjacart,Agritech,Market Linkage,B2B,$6 Mn**,–,"Accel, Tiger Global, Nandan Nilkeani (Infosys)","Accel, Tiger Global, Nandan Nilkeani"
1 Jul 2026,Supply6,Ecommerce,D2C,B2C,$5 Mn,–,"Unilever Ventures, Zeropearl VC, Kriti Sanon (Actor)","Unilever Ventures, Zeropearl VC"
1 Jul 2026,Data Science Wizards,Enterprise Tech,Horizontal SaaS,B2B,$5 Mn,Pre-Series A,–,–
2 Jul 2026,BCT Ventures,Ecommerce,Ecommerce Enablers,B2B2C,$4.4 Mn,Seed,3one4 Capital,3one4 Capital
1 Jul 2026,Spense,Fintech,Fintech SaaS,B2B,$2.8 Mn,Seed,"Arkam Ventures, Razorpay Ventures, GrowthCap Ventures, Atrium Ventures",Arkam Ventures
2 Jul 2026,PlayBlue,Ecommerce,D2C,B2C,$2.7 Mn,Seed,"Centre Court Capital, MIXI Global, WEH Ventures","Centre Court Capital, MIXI Global"
1 Jul 2026,Albatross Energetics,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$1.1 Mn,–,Transition VC,Transition VC
2 Jul 2026,Tulon Materials,Enterprise Services,Manufacturing Solutions,B2B,$1.1 Mn,Seed,"Karthik Sundar Iyer (Angel), Karan Goshar (Valour Capital), Prakhar Pandey (Valour Capital), Agam Shah (Angel)",Karthik Sundar Iyer (Angel)
29 Jun 2026,Mykare,AI,Application Layer,B2C,$1 Mn**,–,"Andrew Parker (Papa.com), Alfredo Vaamonde (Papa.com)",–
1 Jul 2026,YoLearn.AI,AI,Application Layer,B2C,$500K,Pre-Seed,"DataAlpha.ai, White Swan Global","DataAlpha.ai, White Swan Global"
30 Jun 2026,Clairva,AI,AI Infrastructure & Development,B2B,$500K,Pre-Seed,Venture Catalysts,Venture Catalysts
1 Jul 2026,CUNIN,Ecommerce,D2C,B2C,$450K,Pre-Seed,"All In Capital, Huddle Ventures","All In Capital, Huddle Ventures"
29 Jun 2026,Monk CI,AI,Application Layer,B2C,$450K,Pre-Seed,"Campus Fund, PointOne Capital",Campus Fund
2 Jul 2026,Heatronics,Health Tech,Fitness & Wellness,B2C,$189K,Seed,Inflection Point Ventures,Inflection Point Ventures
29 Jun 2026,Rusk Media,Media & Entertainment,Digital Media,B2C,–,–,Yash Raj Films,Yash Raj Films
