Date,Name,Sector,Subsector,Business Model,Round Size,Round Type,Investors,Lead Investor
2026-07-08,Elevate Education,Edtech,Offline Education,B2B,$17.7 Mn,Series D,WestBridge Capital,WestBridge Capital
2026-07-10,Purple Style Labs,Ecommerce,D2C,B2C,$17 Mn,Debt,"Kairos Ventures, Real Capital Financial Services, Texport International, Rupendra Periwal (Angel), Satyen Jitendra Mamtora (Angel), Andy Iyer Sankaranarayanan (Angel)",–
2026-07-10,Aukera,Ecommerce,D2C,B2C,$10 Mn,Debt,"Alteria Capital, InnoVen Capital, Lighthouse Canton",Alteria Capital
2026-07-09,Wheelocity,Agritech,Market Linkage,B2B,$8.5 Mn,–,"Lightspeed, Anicut Ventures, Elevar Equity, VML Karthikeyan (Angel), Lakshmi Narayanan Senthilnathan (Angel), VM Lakshminarayanan (Angel), L Gurusami (Angel), Unimix LLC",Elevar Equity
2026-07-07,Econovus Packaging,Logistics,Logistics Process Solutions,B2B,$4.2 Mn,Pre-Series A,"Rainmatter, Rockstud Capital",Rainmatter
2026-07-07,thumpN,Media & Entertainment,Listing & Bookings,B2C,$3.8 Mn,Pre-Seed,"VSS Investco, Madhur Deora (Paytm), VG Jairam (Hyperlink Brand Solutions), Shray Chandra (Capitalmind), Arijit Singh (Singer), Sunidhi Chauhan (Singer) Badshah (Singer)",–
2026-07-07,Mowito,Advanced IoT & Hardware,Robotics,B2B,$3 Mn,Pre-Seed,"Version One Ventures, All In Capital, Unisol, iSeed, Soumith Chintala (Thinking Machines Lab), Adarsh Kulkarni (Foundry Robotics), Ashish Kulkarni (Coformer.ai), Vaibhav Domkundwar (Better Capital)",Version One Ventures
2026-07-08,Milo Drive,Travel Tech,Booking Services,B2B2C,$2.4 Mn,Seed,"Caret Capital, Antler, Alteria Capital, India Angel Network Capital, Climate Angels, Aureolis Capital","Caret Capital, Antler"
2026-07-08,Doodhvale Farms,Ecommerce,D2C,B2C,$1 Mn,–,Atomic Capital,Atomic Capital
2026-07-07,Stylework,Real Estate Tech,Real Estate Services,B2B,$1 Mn,Pre- Series B,Auxano Capital,Auxano Capital
2026-07-09,Neothera,Ecommerce,D2C,B2C,$943K,–,"Blume Ventures, Barbershop Fund, Consumer Collective by Atrium, Veltis Capital, Arjun Purkayastha (Reckitt), Malika Datt Sadani (The Moms Co), Mohit Sadaani (DeVC), Mukul Rustagi (Classplus), Diksha Pande (Samosa Party), Shantanu Deshpande (Bombay Shaving Company)",Blume Ventures
2026-07-09,BAAS Technologies,Advanced IoT & Hardware,Space Tech,B2B,$525K,Pre-Seed,Inflection Point Ventures,Inflection Point Ventures
2026-07-08,Avni Wellness,Health Tech,Health & Wellness,B2C,$419K,–,"Proteus Partners, Puru Gupta, (True Elements), Sreejith Moolayil (True Elements), A Velumani (Thyrocare), Somya Nigam (Angel)",Proteus Partners
2026-07-07,Fizzy Goblet,Ecommerce,D2C,B2C,–,–,Kareena Kapoor Khan (Actor),–
2026-07-08,Rawbare,Ecommerce,D2C,B2C,–,–,Teamology Softech,Teamology Softech
2026-07-07,Rocketlane,AI,Application Layer,B2B,–,–,Atlassian Ventures,Atlassian Ventures
