Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
15 Jul 2026,Emergent,AI,Application Layer,B2C,$130 Mn,Series C,"Creaegis, MNI Ventures – Claypond Capital, Sentinel Global, Khosla Ventures, SoftBank, Lightspeed, Y Combinator","Creaegis, MNI Ventures – Claypond Capital, Sentinel Global"
16 Jul 2026,Neo Group,Fintech,Investment Tech,"B2C, B2B",$36.3 Mn,–,Peak XV Partners,Peak XV Partners
15 Jul 2026,Vorflux,AI,Application Layer,B2B,$15 Mn,–,"Y Combinator, Peak XV Partners, Powerset, Alliance, Parker Conrad (Rippling), Immad Akhund (Mercury), Balaji Srinivasan (ex-Coinbase)","Y Combinator, Peak XV Partners, Powerset, Alliance"
16 Jul 2026,Quick Clean,Consumer Services,Hyperlocal Services,B2C,$14 Mn,Series B,"Stakeboat Capital, Alkemi Growth Capital, Blue Ashva Capital",Stakeboat Capital
16 Jul 2026,Naturis Cosmetics,Enterprise Services,Manufacturing Solutions,B2B,$11.8 Mn,Series A,"Sharrp Ventures, Mirabilis Investment Trust, Anicut Capital, Niveshaay, Suyash Saraf (Hyperscale Ventures), Yogesh Kabra (XYXX Apparel)",Sharrp Ventures
16 Jul 2026,Reo.Dev,AI,Application Layer,B2B,$11.3 Mn,Series A,"Elevation Capital, Heavybit, India Quotient",Elevation Capital
15 Jul 2026,E3 Electric.AI,Clean Tech,Electric Vehicles,B2C,$10.4 Mn**,Series A,BluVenture Holdings,BluVenture Holdings
16 Jul 2026,Groyyo,Ecommerce,B2B Ecommerce,B2B,$9.3 Mn*,Series B,Cornerstone Ventures,Cornerstone Ventures
16 Jul 2026,SwitchOn,AI,Application Layer,B2B,$8 Mn**,Pre-Series B,"IvyCap Ventures, SIG Tattva, Trifecta Capital",IvyCap Ventures
13 Jul 2026,Dhruva Space,Advanced Hardware & IoT,Space Tech,"B2B, B2G",$6.3 Mn*,Pre-Series B,Antariksh Venture Capital Fund,Antariksh Venture Capital Fund
16 Jul 2026,Aina,AI,Application Layer,B2C,$5.5 Mn,Seed,"Redstart Labs (Info Edge Ventures), 360 ONE Asset, MIXI Global Investments, Antler, Blume Founders Fund (Blume Ventures), Kunal Shah (CEO, WhatsApp), Tikhon Bernstam (Scribd), Harshil Mathur (Razorpay) Shashank Kumar (Razorpay), Vaibhav Domkundwar (Better Capital)","Redstart Labs (Info Edge Ventures), 360 ONE Asset"
15 Jul 2026,Open Secret,Ecommerce,D2C,B2C,$5.2 Mn**,–,Desai Brothers Group,Desai Brothers Group
14 Jul 2026,BiofuelCircle,Clean Tech,Climate Tech,B2B,$3.6 Mn,–,"Spectrum Impact, Better Capital, Karma Capital Advisors",Spectrum Impact
15 Jul 2026,Promom,Ecommerce,D2C,B2C,$3.1 Mn,–,Fireside Ventures,Fireside Ventures
15 Jul 2026,Anmasa,Ecommerce,D2C,B2C,$3.1 Mn,–,"Fireside Ventures, Blume Ventures",Fireside Ventures
16 Jul 2026,logcat.ai,AI,Application Layer,B2B,$2.5 Mn,Pre-Seed,"Founders’ Co-op, Act One Ventures, TheFounderVC, Shorewind Capital, Clayoquot Capital, Alumni Ventures",Tanglin Venture Partners
16 Jul 2026,Mandrake Bio,Health Tech,Lifescience,B2B,$1.7 Mn,Pre-Seed,"Activate, Antler, Spectrum Impact, DeVC, Vijay Chandru (Angel), Paras Chopra (Angel), Sanjiv Rangrass (Angel), Vatsal Dusad (Angel)","Activate, Antler"
16 Jul 2026,KuhlTherm,Advanced Hardware & IoT,Semiconductors,B2B,$1.1 Mn,Seed,Arkam Ventures,Arkam Ventures
16 Jul 2026,NapTapGo,Real Estate Tech,Property Listing & Discovery,B2C,$831K,Seed,Inflection Point Ventures,Inflection Point Ventures
13 Jul 2026,Sortmyprep,Edtech,Digital Learning Platform,B2C,$350K,Pre-Seed,"Boman Irani (Rustomjee Group), Sameer Mehta (boAt), Subrat Pani (OneAssist), Rohini Kasturi (HG Insights), Ranjit Pawar (London Stock Exchange Group)",–
16 Jul 2026,Othor AI,AI,Application Layer,B2B,$70K,–,"Amit Ashu, Avinash Kumar (EasyShip), Balasubrahmanyan Sridhara (NVIDIA)",–
16 Jul 2026,Smytten,Ecommerce,D2C,B2C,–,–,VentureSoul Partners,VentureSoul Partners
15 Jul 2026,Hisabkitab,Fintech,Fintech SaaS,B2B,–,–,–,–
