Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
5 Aug 2026,River Mobility,Clean Tech,Electric Vehicles,B2C,$120 Mn,Series C,"Elev8 Venture Partners, Claypond Capital, Singularity AMC, Anicut Capital, 360 ONE Asset, JIIF, HDFC AMC, Yamaha Motor Corporation, Al Futtaim Group, Mitsui & Co","Elev8 Venture Partners, Claypond Capital"
5 Aug 2026,InRisk Labs,Fintech,Insurtech,B2C,$27 Mn,Series A,"Bessemer Venture Partners, Northpoint Capital","Bessemer Venture Partners, Northpoint Capital"
7 Aug 2026,BlissClub,Ecommerce,D2C,B2C,$16.8 Mn,–,"Singularity AMC, Elevation Capital, Eight Roads Ventures, Minu Margeret (BlissClub), Vidit Aatrey (Meesho)",Singularity AMC
3 Aug 2026,Matel Motion & Energy Solutions,Clean Tech,Electric Vehicles,B2B,$13.6 Mn,Series B,"UC Impower, Catamaran, Transition VC",UC Impower
6 Aug 2026,HomeRun,Consumer Services,Quick Commerce,B2B,$12 Mn,Series A,"Nexus Venture Partners, Sorin Investments, Titan Capital, Sparrow Capital, Consumer Collective by Atrium",Nexus Venture Partners
7 Aug 2026,Mitti Labs,Agritech,Modern Farming,B2B,$9.5 Mn,Series A,"Aramco Venture, Godrej Industries Group, Cisco Foundation, Volta Circle, Lightspeed India",Aramco Venture
5 Aug 2026,Pinegap,AI,Application Layer,B2B2C,$8 Mn,Series A,"Stellaris Venture Partners, Silicon Valley Quad, DeVC",Stellaris Venture Partners
4 Aug 2026,Vaaree,Ecommerce,D2C,B2C,$6.8 Mn,Series A,"Hero Enterprise, Cap Alpha Ventures","Hero Enterprise, Cap Alpha Ventures"
4 Aug 2026,GetVantage,Fintech,Lending Tech,B2B,$6.6 Mn,Series A,"Rajeev Ahuja (ex-RBL Bank MD), SanRaj Group, Chiratae Ventures, Varanium Fintech Fund, VCMint","Rajeev Ahuja (ex-RBL Bank MD), SanRaj Group"
6 Aug 2026,Solinas Integrity,Advanced Hardware & Technology,Robotics,"B2B, B2G",$5.5 Mn,Series A,"Mela Ventures, Hero Enterprise Family Office, Luthra Group, SBI Ventures Limited, Rainmatter Capital, 8X Ventures","Mela Ventures, Hero Enterprise Family Office"
4 Aug 2026,Superleap,AI,Application Layer,B2B,$4.2 Mn,Pre-Series A,Surge (Peak XV Partners),Surge (Peak XV Partners)
4 Aug 2026,Kily,AI,Application Layer,B2C,$3.2 Mn,–,"Sorin Investments, Razorpay, Wyser Capital",Sorin Investments
5 Aug 2026,Hulp,AI,Application Layer,B2C,$2.6 Mn,Seed,"Sparrow Capital, BITKRAFT Ventures, DeVC, Yashish Dahiya (PB Fintech)","Sparrow Capital, BITKRAFT Ventures"
6 Aug 2026,Consint.AI,AI,Application Layer,B2B,$2.3 Mn,Series A,"BIG Global Investment JSC, Equanimity Ventures Trust II, Seafund Venture India Scheme I.",–
5 Aug 2026,Typsy Beauty,Ecommerce,D2C,B2C,$2.1 Mn,–,"Saama Capital, Sanjay Kapoor (Genesis Luxury), SRF Family Office, Tanaaz Bhatia (Bottomline Media)",Saama Capital
4 Aug 2026,Profound,AI,Application Layer,B2C,$1.5 Mn,Seed,"Stellaris Venture Partners, 3one4 Capital, Sriharsha Majety (Swiggy), Nandan Reddy (Swiggy), Harshil Mathur (Razorpay), Kunal Shah (CRED), Bhuvan Gupta (OfBusiness), Pankaj Chaddah (Zomato)","Stellaris Venture Partners, 3one4 Capital"
4 Aug 2026,NYAI,AI,Application Layer,B2B,$1.5 Mn,Seed,–,–
3 Aug 2026,RoadGrid,Clean Tech,Electric Vehicles,B2B,$1.4 Mn,–,Technology Development Board,Technology Development Board
5 Aug 2026,Vingo,Ecommerce,Horizontal Marketplace,B2C,$1.2 Mn,Seed,"IndiaQuotient, Inuka Capital, Rishabh Goel (Credgenics)",IndiaQuotient
5 Aug 2026,Adiabatic Technologies,Clean Tech,Electric Vehicles,B2B,$872K,Seed,"Malpani Ventures, Avinya Ventures, Appreciate Capital, UPES Incubator, DeVC, Operators Studio",Malpani Ventures
4 Aug 2026,Zoppler Systems,Advanced Hardware & Technology,Defence Tech,"B2B, B2G",$683K,–,"Finvolve, India Accelerator","Finvolve, India Accelerator"
3 Aug 2026,UN:BLOC,Health Tech,–,B2C,–,–,Yuvraj Singh (cricketer),Yuvraj Singh
