Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
12 Aug 2026,Yulu,Clean Tech,Electric Vehicles,B2C,$93 Mn*,Series C,GEF Capital Partners,GEF Capital Partners
13 Aug 2026,Centricity,Fintech,Wealth Tech,B2C,$29 Mn*,–,"SMBC Asia Rising Fund, Lightspeed India Partners, Burman Family Office, RAAY Investments, Kuldeep Rathi Family Office, Stride Ventures, Innoven Capital",SMBC Asia Rising Fund
11 Aug 2026,Discovered Materials,Advanced Hardware & Technology,Semiconductors,B2B,$9 Mn,Seed,"Lightspeed India Partners, Y Combinator, Peak XV Partners, Paul Graham (angel), Gokul Rajaram (angel), Thariq Shihipar (angel)",Lightspeed India Partners
13 Aug 2026,Scrubsy,Ecommerce,D2C,B2C,$3 Mn,Seed,V3 Ventures,V3 Ventures
11 Aug 2026,Ayati Devices,Health Tech,Healthcare Devices,B2B,$1.6 Mn,Pre-Series A,Inflexor Ventures,Inflexor Ventures
12 Aug 2026,Wippi,AI,Application Layer,B2C,$1.2 Mn,Seed,"12 Flags, Warmup Ventures, Ventana Ventures, Ruvento Ventures",12 Flags
12 Aug 2026,Lane,Consumer Services,–,B2C,$891K,–,"Kae Capital, DeVC, Antler India, Panthera Peak",Kae Capital
11 Aug 2026,Vecton AI,AI,Application Layer,B2B,$629K,Pre-Seed,Zeropearl VC,Zeropearl VC
11 Aug 2026,FreightFox,Logistics,Logistics SaaS,B2B,$524K,Pre-Series A,HighLeaf,HighLeaf
13 Aug 2026,Invisel,Ecommerce,D2C,B2C,$420K,–,"IAN Group, BeyondSeed, FAAD Capital",IAN Group
12 Aug 2026,Quarkitech,Advanced Hardware & Technology,–,"B2B, B2G",$210K,Pre-Seed,"Artha Access (Artha Venture Fund II), Finvolve",Artha Access
13 Aug 2026,KshatraLabs,Advanced Hardware & Technology,Defence Tech,"B2B, B2G",–,–,"Finvolve, India Accelerator","Finvolve, India Accelerator"
