Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,
3 Sep 2026,Ultrahuman,Health Tech,Fitness & Wellness,B2C,$70 Mn,–,"Qualcomm Ventures, Alpha Wave, Blume, Nexus, Alteria",–
1 Sep 2026,Yuma Energy,Clean Tech,Electric Vehicles,B2B2C,$35 Mn,Series A,Magna International,Magna International
4 Sep 2026,SUGAR Cosmetics,Ecommerce,D2C,B2C,$15.3 Mn,–,A91 Partners,A91 Partners
2 Sep 2026,Cradlewise,Ecommerce,D2C,B2C,$12 Mn,Series A,"3one4 Capital, Prudent Investment Management.","3one4 Capital, Prudent Investment Management."
4 Sep 2026,Comet,Ecommerce,D2C,B2C,$10.6 Mn,Series B,"Verlinvest, Elevation Capital, Nexus Venture Partners, Ajit Mohan (Snapchat), Abhiraj Singh Bhal (Urban Company), Anand Ahuja (Bhaane)",Verlinvest
1 Aug 2026,Kepler Aerospace,Advanced Hardware & Technology,Space Tech,"B2B, B2G",$8 Mn,Seed,"Blue Ashva Capital, Finvolve, India Accelerator,",Blue Ashva Capital
2 Sep 2026,Aeron Systems,Advanced Hardware & Technology,Space Tech,"B2B, B2G",$4.7 Mn,Pre-Series B,"Riverwalk Holdings, MGF-Kavachh","Riverwalk Holdings, MGF-Kavachh"
1 Sep 2026,Zenergize,Clean Tech,Electric Vehicles,B2B,$4 Mn,Pre-Series A,"Giraffe Studios, Nikhil Sawhney (Triveni Turbine), Varun Agarwal (Ellenbarrie) , Shyam Bagri (Bagrry’s Holdings), Raoul Bajaj (Trafigura), Sunil Kalra, Ajith Pai (ex-Delhivery), Sandeep Barasia (ex-Delhivery) , Nitin Jain (Neo Group), Hemant Daga (New Bank CEO)",Giraffe Studios
1 Sep 2026,Minimac Systems,Clean Tech,Climate Tech,B2B,$3.2 Mn,–,Rainmatter,Rainmatter
1 Sep 2026,Alteon,Advanced Hardware & Technology,Aerial Vehicles,"B2B, B2G",$2.5 Mn,Pre-Seed,"Lachy Groom, Together Fund",Lachy Groom
4 Sep 2026,Medulance,Health Tech,–,"B2B2C, B2G",$2.5 Mn,Series A,"Auxano Capital, Alkemi, Equentis",–
31 Aug 2026,YOGa Clean Air,Clean Tech,Climate Tech,B2B2C,$2.1 Mn,Series A,"Info Edge Ventures, Deepider Goyal (Zomato), Three Words Capital",Info Edge Ventures
2 Sep 2026,DocPharma,Health Tech,–,B2B,$2 Mn,Pre-Series A,"Equentis,100Unicorns, Vinners",Equentis
4 Sep 2026,Leanwatts,Clean Tech,Electric Vehicles,"B2B, B2C",$2 Mn,Seed,"Trivest Partners, Abraham George, Alok Rungta",Trivest Partners
3 Sep 2026,Makr Microsystems,Advanced Hardware & Technology,Semiconductor,B2B,$1.1 Mn,Seed,"Bluehill VC, Artha Venture Fund",Bluehill VC
1 Sep 2026,72 Street,Fintech,Invest Tech,B2C,$480K,–,–,–
1 Sep 2026,Oppex AI,AI,Application Layer,B2B,$445K,Pre-Seed,Info Edge Ventures,Info Edge Ventures
31 Aug 2026,CHINI KUM,Ecommerce,D2C,B2C,$174K,–,–,–
1 Sep 2026,SpeakX,Edtech,Digital Learning Platform,B2C,–,–,MS Dhoni (cricketer),MS Dhoni
1 Sep 2026,WLDD,Enterprise Services,Advertising,B2B,–,–,"Adfactors, Vikas Khemani (Carnelian Asset Management & Advisors)",Adfactors
1 Sep 2026,xStep,Health Tech,–,B2C,–,–,Titan Capital,Titan Capital
