Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,
7 Sep 2026,Pixxel,Advanced Hardware & Technology,Spacetech,"B2B, B2G",$100 Mn,Series C,"Temasek, Seraphim, 360 ONE Asset, IMM Investment, Radical Ventures, growX ventures","Temasek, Seraphim"
11 Sep 2026,Popo Global,Foodtech,F&B,B2C,$56 Mn,–,Artal Asia,Artal Asia
7 Sep 2026 *,Nua,Ecommerce,D2C,B2C,$50 Mn,Series C,"Peak XV Partners, Filter Capital, Mirabilis Investment Trust, Footpath Ventures, Kae Capital, Lightbox VC, Existing Angle Investors","Peak XV Partners, Filter Capital"
10 Sep 2026,Swish,Consumer Services,Quick Commerce,B2C,$24 Mn,–,"Bertelsmann India Investments, Accel, Bain Capital Ventures, and Hara Global",Bertelsmann India Investments
9 Sep 2026,QNu Labs,Advanced Hardware & Technology,–,"B2B, B2G",$21 Mn,Series A,"National Quantum Mission, Speciale Invest, Sony Innovation Fund,Gaja Capital, Artha Ventures","National Quantum Mission, Speciale Invest"
5 Sep 2026 ***,Mokobara,Ecommerce,D2C,B2C,$18 Mn,Series C,"Sauce.vc, Peak XV Partners, AYRA Ventures, Niveshaay Investment",Sauce.vc
10 Sep 2026,Graph AI,AI,Application Layer,B2B,$13.3 Mn,Series A,"Insight Partners, Bessemer Venture Partners",Insight Partners
9 Sep 2026 **,Carrum Mobility,Travel Tech,Electric MaaS,B2B,$10 Mn,Series B,Uber,Uber
10 Sep 2026,Theater,Ecommerce,D2C,B2C,$7.8 Mn,Series A,"Niveshaay, Physis Capital, Prath Ventures",Niveshaay
8 Sep 2026,Circolife,Clean Tech,Climate Tech,B2B,$4.5 Mn,Pre-Series A,"Bharat Jaisinghani (Polycab India), Nitish Mittersain (Nazara), Intelliquity Ventures, Param Capital, Siddharth Ladsariya (Everest Fleet), Anand Ladsariya (Everest Flavours), Anant Goenka (Indian Express), Sky Impact Capital, Rohit Dev (Ideas91), family offices S N Damani, Vyom Wealth",Bharat Jaisinghani
7 Sep 2026,Navana.ai,AI,Application Layer,B2B,$4.2 Mn,Series A,"Ronnie Screwala (upGrad), Antler India, Sharad Sanghi (Neysa.ai), Sandeep Singhal (Avaana Capital)",Ronnie Screwala (upGrad Cofounder)
8 Sep 2026,Fundly.ai,AI,Application Layer,B2B,$4 Mn,Pre-Series A,"Accel, Multiply, Rajeev Ahuja (ex-RBL)","Accel, Multiply"
8 Sep 2026,DigitalPaani,Clean Tech,Climate Tech,B2B,$2.3 Mn,–,"Navam Capital, Enzia Ventures, Chakra Growth Capital, 3one4 Capital, Momentum Capital, Achieving Women Entrepreneurs Early Growth Fund, Echo River Capital",Navam Capital
7 Sep 2026,Lickicious,Ecommerce,D2C,B2C,$2.1 Mn,–,"Prath Ventures, ISV Capital",Prath Ventures
11 Sep 2026,Peep Beauty,Ecommerce,D2C,B2C,$1.2 Mn,–,"Triptii Dimri (Actor), Sadev Ventures, iSeed, ISV, TDV Partners",–
8 Sep 2026,Iztri,Consumer Services,Hyperlocal Services,B2C,$1.2 Mn,Seed,"All In Capital, Suashish Group, Kunal Shah (Meta), Anupam Mittal (Shaadi), Tanmay Bhat (Influencer), Roman Saini (Unacademy), Gaurav Munjal (Unacademy), Abhishek Goyal (Tracxn), PedalStart, JK Tyre Family Office","All In Capital, Suashish Group"
9 Sep 2026,ARC,Media & Entertainment,Gaming,B2C,$1.1 Mn,Pre-seed,"Chimera VC, MIXI Global Investments, Dhruv Vohra (Meta)","Chimera VC, MIXI Global Investments"
8 Sep 2026,Sorry Sugar,Ecommerce,D2C,B2C,$1 Mn,Seed,"Dhanuka Family, Amishi London","Dhanuka Family, Amishi London"
10 Sep 2026,Dialflo,AI,Application Layer,B2B,$178K,–,"ajvc, Afsar Ahmad (Gameberry Labs), Arpit Dave (Smartstaff)",ajvc
8 Sep 2026,TrueFan AI,AI,Application Layer,B2B,–,–,Bajaj Finserv,Bajaj Finserv
