Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
15 Sep 2026,Flam,Enterprise Services,Advertising,B2B,$40 Mn*,Series B,"QED Investors, RTP Global, Dovetail Shah Rukh Khan family office, Claypond Capital, Australian Gulf Capital, Martin Chavez (Angel), Olivier Pomel (Angel).",QED Investors
17 Sep 2026,DheyaTech,Advanced Hardware & Technology,Aerial Vehicles,B2B,$5.1 Mn,–,"Avaana Capital, Unimech Aerospace and Manufacturing",Avaana Capital
16 Sep 2026,VerifAIX,Advanced Hardware & Technology,Semiconductor,B2B,$5 Mn,Seed,"Endiya Partners, Bluehill VC","Endiya Partners, Bluehill VC"
16 Sep 2026,Firi,Consumer Services,Quick Commerce,B2C,$3 Mn,Seed,"360 ONE Asset, Better Capital, Kunal Shah (WhatsApp)",360 ONE Asset
17 Sep 2026,Enlight Metals,Enterprise Services,Manufacturing Solutions,B2B,$1.5 Mn,–,Exar North Group,Exar North Group
17 Sep 2026,Kiddo,Consumer Services,Quick Commerce,B2C,$1.3 Mn,Pre-Seed,Campus Fund,Campus Fund
16 Sep 2026,TRUE ARTIS,Health Tech,In-Clinic Healthcare,B2C,$1.2 Mn,Seed,"Zeropearl VC, Eleven, Sunil Sachdeva (Medanta)",Zeropearl VC
17 Sep 2026,Factrika,Enterprise Services,Manufacturing Solutions,B2B,$928K,Seed,Info Edge Ventures,Info Edge Ventures
17 Sep 2026,Ecosys,Consumer Services,Hyperlocal Services,B2C,$521K,Pre-Series A,"GVFL Prarambh Fund, Proteus Partners, Puru Gupta (Angel), Sreejith Moolayil (Angel)",GVFL Prarambh Fund
18 Sep 2026,MoroMaa,Ecommerce,D2C,B2C,$156K,–,AJVC,AJVC
16 Sep 2026,Slayd,Ecommerce,Ecommerce Enablers,B2C,$156K,–,AJVC,AJVC
18 Sep 2026,Beijan,Advanced Hardware & Technology,Defence Tech,"B2B, B2G",$156K,–,AJVC,AJVC
15 Sep 2026,Darwinbox,Enterprise Tech,Horizontal SaaS,B2B,–,–,Teachers’ Venture Growth,Teachers’ Venture Growth
18 Sep 2026,Zinara,Ecommerce,D2C,B2C,–,–,Nikita Dutta,Nikita Dutta
